Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.00"	""	
"2p"	"2P*"	"1/2"	"("	"13934726.547"	")"	
"2p"	"2P*"	"3/2"	"("	"13945240.194"	")"	
"2s"	"2S"	"1/2"	"("	"13935135.55"	")"	
"3p"	"2P*"	"1/2"	"("	"16518905.64"	")"	
"3p"	"2P*"	"3/2"	"("	"16522021.18"	")"	
"3s"	"2S"	"1/2"	"("	"16519027.22"	")"	
"3d"	"2D"	"3/2"	"("	"16522015.827"	")"	
"3d"	"2D"	"5/2"	"("	"16523050.055"	")"	
"4p"	"2P*"	"1/2"	"("	"17422940.26"	")"	
"4p"	"2P*"	"3/2"	"("	"17424254.38"	")"	
"4s"	"2S"	"1/2"	"("	"17422991.75"	")"	
"4d"	"2D"	"3/2"	"("	"17424252.101"	")"	
"4d"	"2D"	"5/2"	"("	"17424688.491"	")"	
"4f"	"2F*"	"5/2"	"("	"17424687.708"	")"	
"4f"	"2F*"	"7/2"	"("	"17424905.681"	")"	
"5p"	"2P*"	"1/2"	"("	"17841196.54"	")"	
"5p"	"2P*"	"3/2"	"("	"17841869.234"	")"	
"5s"	"2S"	"1/2"	"("	"17841222.96"	")"	
"5d"	"2D"	"3/2"	"("	"17841868.054"	")"	
"5d"	"2D"	"5/2"	"("	"17842091.494"	")"	
"5f"	"2F*"	"5/2"	"("	"17842091.090"	")"	
"5f"	"2F*"	"7/2"	"("	"17842202.704"	")"	
"5g"	"2G"	"7/2"	"("	"17842202.4926"	")"	
"5g"	"2G"	"9/2"	"("	"17842269.4336"	")"	
"6p"	"2P*"	"1/2"	"("	"18068321.319"	")"	
"6p"	"2P*"	"3/2"	"("	"18068710.539"	")"	
"6s"	"2S"	"1/2"	"("	"18068336.618"	")"	
"6d"	"2D"	"3/2"	"("	"18068709.847"	")"	
"6d"	"2D"	"5/2"	"("	"18068839.150"	")"	
"6f"	"2F*"	"5/2"	"("	"18068838.914"	")"	
"6f"	"2F*"	"7/2"	"("	"18068903.508"	")"	
"6g"	"2G"	"7/2"	"("	"18068903.3855"	")"	
"6g"	"2G"	"9/2"	"("	"18068942.1275"	")"	
"6h"	"2H*"	"9/2"	"("	"18068942.0516"	")"	
"6h"	"2H*"	"11/2"	"("	"18068967.8739"	")"	
"7p"	"2P*"	"1/2"	"("	"18205235.167"	")"	
"7p"	"2P*"	"3/2"	"("	"18205480.237"	")"	
"7s"	"2S"	"1/2"	"("	"18205244.807"	")"	
"7d"	"2D"	"3/2"	"("	"18205479.799"	")"	
"7d"	"2D"	"5/2"	"("	"18205561.223"	")"	
"7f"	"2F*"	"5/2"	"("	"18205561.075"	")"	
"7f"	"2F*"	"7/2"	"("	"18205601.752"	")"	
"7g"	"2G"	"7/2"	"("	"18205601.6750"	")"	
"7g"	"2G"	"9/2"	"("	"18205626.0720"	")"	
"7h"	"2H*"	"9/2"	"("	"18205626.0243"	")"	
"7h"	"2H*"	"11/2"	"("	"18205642.2862"	")"	
"7i"	"2I"	"11/2"	"("	"18205642.25366"	")"	
"7i"	"2I"	"13/2"	"("	"18205653.86786"	")"	
"8p"	"2P*"	"1/2"	"("	"18294079.617"	")"	
"8p"	"2P*"	"3/2"	"("	"18294243.777"	")"	
"8s"	"2S"	"1/2"	"("	"18294086.072"	")"	
"8d"	"2D"	"3/2"	"("	"18294243.483"	")"	
"8d"	"2D"	"5/2"	"("	"18294298.028"	")"	
"8f"	"2F*"	"5/2"	"("	"18294297.929"	")"	
"8f"	"2F*"	"7/2"	"("	"18294325.179"	")"	
"8g"	"2G"	"7/2"	"("	"18294325.1273"	")"	
"8g"	"2G"	"9/2"	"("	"18294341.4723"	")"	
"8h"	"2H*"	"9/2"	"("	"18294341.4401"	")"	
"8h"	"2H*"	"11/2"	"("	"18294352.3345"	")"	
"8i"	"2I"	"11/2"	"("	"18294352.31263"	")"	
"8i"	"2I"	"13/2"	"("	"18294360.09353"	")"	
"8k"	"2K*"	"13/2"	"("	"18294360.07762"	")"	
"8k"	"2K*"	"15/2"	"("	"18294365.91281"	")"	
"9p"	"2P*"	"1/2"	"("	"18354981.256"	")"	
"9p"	"2P*"	"3/2"	"("	"18355096.540"	")"	
"9s"	"2S"	"1/2"	"("	"18354985.795"	")"	
"9d"	"2D"	"3/2"	"("	"18355096.3332"	")"	
"9d"	"2D"	"5/2"	"("	"18355134.6412"	")"	
"9f"	"2F*"	"5/2"	"("	"18355134.5702"	")"	
"9f"	"2F*"	"7/2"	"("	"18355153.7092"	")"	
"9g"	"2G"	"7/2"	"("	"18355153.6728"	")"	
"9g"	"2G"	"9/2"	"("	"18355165.1522"	")"	
"9h"	"2H*"	"9/2"	"("	"18355165.1297"	")"	
"9h"	"2H*"	"11/2"	"("	"18355172.7812"	")"	
"9i"	"2I"	"11/2"	"("	"18355172.76591"	")"	
"9i"	"2I"	"13/2"	"("	"18355178.23071"	")"	
"9k"	"2K*"	"13/2"	"("	"18355178.21952"	")"	
"9k"	"2K*"	"15/2"	"("	"18355182.31784"	")"	
"9l"	"2L"	"15/2"	"("	"18355182.309357"	")"	
"9l"	"2L"	"17/2"	"("	"18355185.496777"	")"	
"10p"	"2P*"	"1/2"	"("	"18398538.100"	")"	
"10p"	"2P*"	"3/2"	"("	"18398622.135"	")"	
"10s"	"2S"	"1/2"	"("	"18398541.410"	")"	
"10d"	"2D"	"3/2"	"("	"18398621.9844"	")"	
"10d"	"2D"	"5/2"	"("	"18398649.9094"	")"	
"10f"	"2F*"	"5/2"	"("	"18398649.8584"	")"	
"10f"	"2F*"	"7/2"	"("	"18398663.8104"	")"	
"10g"	"2G"	"7/2"	"("	"18398663.7837"	")"	
"10g"	"2G"	"9/2"	"("	"18398672.1522"	")"	
"10h"	"2H*"	"9/2"	"("	"18398672.1357"	")"	
"10h"	"2H*"	"11/2"	"("	"18398677.7137"	")"	
"10i"	"2I"	"11/2"	"("	"18398677.70251"	")"	
"10i"	"2I"	"13/2"	"("	"18398681.68641"	")"	
"10k"	"2K*"	"13/2"	"("	"18398681.67825"	")"	
"10k"	"2K*"	"15/2"	"("	"18398684.66596"	")"	
"10l"	"2L"	"15/2"	"("	"18398684.65977"	")"	
"10l"	"2L"	"17/2"	"("	"18398686.98343"	")"	
"10m"	"2M*"	"17/2"	"("	"18398686.978568"	")"	
"10m"	"2M*"	"19/2"	"("	"18398688.837428"	")"	
"11p"	"2P*"	"1/2"	"("	"18430761.709"	")"	
"11p"	"2P*"	"3/2"	"("	"18430824.8418"	")"	
"11s"	"2S"	"1/2"	"("	"18430764.196"	")"	
