Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	""	"0"	""	
"1s.2s"	"3S"	"1"	"("	"87487150"	")"	
"1s.2p"	"3P*"	"0"	"("	"87804095"	")"	
"1s.2p"	"3P*"	"1"	"("	"87826016"	")"	
"1s.2p"	"3P*"	"2"	"("	"88179004"	")"	
"1s.2s"	"1S"	"0"	"("	"87827539"	")"	
"1s.2p"	"1P*"	"1"	"("	"88355622"	")"	
"1s.3s"	"3S"	"1"	"("	"103740760"	")"	
"1s.3p"	"3P*"	"0"	"("	"103828030"	")"	
"1s.3p"	"3P*"	"1"	"("	"103834180"	")"	
"1s.3p"	"3P*"	"2"	"("	"103939620"	")"	
"1s.3s"	"1S"	"0"	"("	"103830740"	")"	
"1s.3d"	"3D"	"2"	"("	"103983440"	")"	
"1s.3d"	"3D"	"1"	"("	"103985380"	")"	
"1s.3d"	"3D"	"3"	"("	"104020940"	")"	
"1s.3p"	"1P*"	"1"	"("	"103987720"	")"	
"1s.3d"	"1D"	"2"	"("	"104024560"	")"	
"1s.4s"	"3S"	"1"	"("	"109373000"	")"	
"1s.4p"	"3P*"	"0"	"("	"109408840"	")"	
"1s.4p"	"3P*"	"1"	"("	"109411390"	")"	
"1s.4p"	"3P*"	"2"	"("	"109455910"	")"	
"1s.4s"	"1S"	"0"	"("	"109409440"	")"	
"1s.4d"	"3D"	"2"	"("	"109474050"	")"	
"1s.4d"	"3D"	"1"	"("	"109474740"	")"	
"1s.4d"	"3D"	"3"	"("	"109489760"	")"	
"1s.4p"	"1P*"	"1"	"("	"109475600"	")"	
"1s.4f"	"3F*"	"3"	"("	"109490940"	")"	
"1s.4f"	"3F*"	"2"	"("	"109491510"	")"	
"1s.4f"	"3F*"	"4"	"("	"109499010"	")"	
"1s.4d"	"1D"	"2"	"("	"109491500"	")"	
"1s.4f"	"1F*"	"3"	"("	"109499450"	")"	
"1s.5s"	"3S"	"1"	"("	"111964330"	")"	
"1s.5p"	"3P*"	"0"	"("	"111982440"	")"	
"1s.5p"	"3P*"	"1"	"("	"111983730"	")"	
"1s.5p"	"3P*"	"2"	"("	"112006520"	")"	
