Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	""	"0.000"	""	
"1s.2s"	"3S"	"1"	"["	"1601556"	"]"	
"1s.2s"	"1S"	"0"	"["	"1635734"	"]"	
"1s.2p"	"3P*"	"1"	"["	"1636933"	"]"	
"1s.2p"	"3P*"	"0"	"["	"1636949"	"]"	
"1s.2p"	"3P*"	"2"	"["	"1636986"	"]"	
"1s.2p"	"1P*"	"1"	"["	"1657995"	"]"	
"1s.3s"	"3S"	"1"	"["	"1882763.5"	"]"	
"1s.3s"	"1S"	"0"	"["	"1891795"	"]"	
"1s.3p"	"3P*"	"0"	"["	"1892246.5"	"]"	
"1s.3p"	"3P*"	"1"	"["	"1892246.5"	"]"	
"1s.3p"	"3P*"	"2"	"["	"1892246.5"	"]"	
"1s.3d"	"3D"	"1"	"["	"1896705.5"	"]"	
"1s.3d"	"3D"	"2"	"["	"1896705.5"	"]"	
"1s.3d"	"3D"	"3"	"["	"1896705.5"	"]"	
"1s.3d"	"1D"	"2"	"["	"1896851.5"	"]"	
"1s.3p"	"1P*"	"1"	"["	"1898241"	"]"	
"1s.4s"	"3S"	"1"	"["	"1976457.7"	"]"	
"1s.4s"	"1S"	"0"	"["	"1980107"	"]"	
"1s.4p"	"3P*"	"0"	"["	"1980311.7"	"]"	
"1s.4p"	"3P*"	"1"	"["	"1980311.7"	"]"	
"1s.4p"	"3P*"	"2"	"["	"1980311.7"	"]"	
"1s.4d"	"3D"	"1"	"["	"1982160.8"	"]"	
"1s.4d"	"3D"	"2"	"["	"1982160.8"	"]"	
"1s.4d"	"3D"	"3"	"["	"1982160.8"	"]"	
"1s.4d"	"1D"	"2"	"["	"1982238.5"	"]"	
"1s.4f"	"3F*"	"2"	"["	"1982254"	"]"	
"1s.4f"	"3F*"	"3"	"["	"1982254"	"]"	
"1s.4f"	"3F*"	"4"	"["	"1982254"	"]"	
"1s.4f"	"1F*"	"3"	"["	"1982256.0"	"]"	
