Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.000"	""	
"2p"	"2P*"	"1/2"	"("	"2057998.1095"	")"	
"2p"	"2P*"	"3/2"	"("	"2058227.082266"	")"	
"2s"	"2S"	"1/2"	"("	"2058011.603"	")"	
"3p"	"2P*"	"1/2"	"("	"2439195.6667"	")"	
"3p"	"2P*"	"3/2"	"("	"2439263.51151"	")"	
"3s"	"2S"	"1/2"	"("	"2439199.6934"	")"	
"3d"	"2D"	"3/2"	"("	"2439263.398890"	")"	
"3d"	"2D"	"5/2"	"("	"2439286.000230"	")"	
"4p"	"2P*"	"1/2"	"("	"2572605.50321"	")"	
"4p"	"2P*"	"3/2"	"("	"2572634.12441"	")"	
"4s"	"2S"	"1/2"	"("	"2572607.2068"	")"	
"4d"	"2D"	"3/2"	"("	"2572634.0763"	")"	
"4d"	"2D"	"5/2"	"("	"2572643.6115"	")"	
"4f"	"2F*"	"5/2"	"("	"2572643.59431"	")"	
"4f"	"2F*"	"7/2"	"("	"2572648.36121"	")"	
"5p"	"2P*"	"1/2"	"("	"2634351.22480"	")"	
"5p"	"2P*"	"3/2"	"("	"2634365.87841"	")"	
"5s"	"2S"	"1/2"	"("	"2634352.09830"	")"	
"5d"	"2D"	"3/2"	"("	"2634365.85360"	")"	
"5d"	"2D"	"5/2"	"("	"2634370.73560"	")"	
"5f"	"2F*"	"5/2"	"("	"2634370.72680"	")"	
"5f"	"2F*"	"7/2"	"("	"2634373.16740"	")"	
"5g"	"2G"	"7/2"	"("	"2634373.16283"	")"	
"5g"	"2G"	"9/2"	"("	"2634374.62715"	")"	
"6p"	"2P*"	"1/2"	"("	"2667890.45198"	")"	
"6p"	"2P*"	"3/2"	"("	"2667898.93187"	")"	
"6s"	"2S"	"1/2"	"("	"2667890.95780"	")"	
"6d"	"2D"	"3/2"	"("	"2667898.91740"	")"	
"6d"	"2D"	"5/2"	"("	"2667901.74260"	")"	
"6f"	"2F*"	"5/2"	"("	"2667901.73750"	")"	
"6f"	"2F*"	"7/2"	"("	"2667903.14990"	")"	
"6g"	"2G"	"7/2"	"("	"2667903.14721"	")"	
"6g"	"2G"	"9/2"	"("	"2667903.99462"	")"	
"6h"	"2H*"	"9/2"	"("	"2667903.992966"	")"	
"6h"	"2H*"	"11/2"	"("	"2667904.557891"	")"	
"7p"	"2P*"	"1/2"	"("	"2688112.78079"	")"	
"7p"	"2P*"	"3/2"	"("	"2688118.12078"	")"	
"7s"	"2S"	"1/2"	"("	"2688113.09950"	")"	
"7d"	"2D"	"3/2"	"("	"2688118.11160"	")"	
"7d"	"2D"	"5/2"	"("	"2688119.89070"	")"	
"7f"	"2F*"	"5/2"	"("	"2688119.88749"	")"	
"7f"	"2F*"	"7/2"	"("	"2688120.77695"	")"	
"7g"	"2G"	"7/2"	"("	"2688120.77526"	")"	
"7g"	"2G"	"9/2"	"("	"2688121.30891"	")"	
"7h"	"2H*"	"9/2"	"("	"2688121.307862"	")"	
"7h"	"2H*"	"11/2"	"("	"2688121.663622"	")"	
"7i"	"2I"	"11/2"	"("	"2688121.662903"	")"	
