Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5p6"	"1S"	"0"	""	"0.00"	""	
"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	""	"132770.79"	""	
"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	""	"134568.12"	""	
"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	""	"137983.14"	""	
"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"1"	""	"153054.62"	""	
"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	""	"138931.25"	""	
"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	""	"140472.87"	""	
"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	""	"142929.99"	""	
"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	""	"147066.86"	""	
"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	""	"152135.02"	""	
"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	""	"154494.21"	""	
"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"	""	"156736.25"	""	
"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"3"	""	"161109.28"	""	
"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"2"	""	"159509.20"	""	
"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"1"	""	"180026.71"	""	
"5p5.(2P*<3/2>).4f"	"2[3/2]"	"1"	""	"166544.02"	""	
"5p5.(2P*<3/2>).4f"	"2[3/2]"	"2"	""	"168583.77"	""	
"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"0"	""	"169297.15"	""	
"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	""	"170192.53"	""	
"5p5.(2P*<3/2>).4f"	"2[9/2]"	"5"	""	"171398.38"	""	
"5p5.(2P*<3/2>).4f"	"2[9/2]"	"4"	""	"172522.89"	""	
"5p5.(2P*<3/2>).4f"	"2[5/2]"	"3"	""	"171728.66"	""	
"5p5.(2P*<3/2>).4f"	"2[5/2]"	"2"	""	"182598.59"	""	
"5p5.(2P*<3/2>).4f"	"2[7/2]"	"3"	""	"175778.09"	""	
"5p5.(2P*<3/2>).4f"	"2[7/2]"	"4"	""	"178776.59"	""	
"5p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	""	"177593.45"	""	
"5p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	""	"187660.61"	""	
"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	""	"179530.58"	""	
"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	""	"181816.17"	""	
"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	""	"182722.42"	""	
"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	""	"184342.92"	""	
"5p5.(2P*<1/2>).4f"	"2[7/2]"	"3"	""	"189195.30"	""	
"5p5.(2P*<1/2>).4f"	"2[7/2]"	"4"	""	"192011.93"	""	
"5p5.(2P*<1/2>).4f"	"2[5/2]"	"3"	""	"191112.15"	""	
"5p5.(2P*<1/2>).4f"	"2[5/2]"	"2"	""	"196410.28"	""	
"5p5.(2P*<1/2>).6p"	"2[3/2]"	"1"	""	"196643.31"	""	
"5p5.(2P*<1/2>).6p"	"2[3/2]"	"2"	""	"200608.56"	""	
"5p5.(2P*<1/2>).6p"	"2[1/2]"	"1"	""	"199872.92"	""	
"5p5.(2P*<1/2>).6p"	"2[1/2]"	"0"	""	"201309.00"	""	
"5p5.(2P*<3/2>).6d"	"2[1/2]*"	"0"	""	"216847.43"	""	
"5p5.(2P*<3/2>).6d"	"2[1/2]*"	"1"	""	"217420.70"	""	
"5p5.(2P*<3/2>).7s"	"2[3/2]*"	"2"	""	"217975.27"	""	
"5p5.(2P*<3/2>).7s"	"2[3/2]*"	"1"	""	"218837.25"	""	
"5p5.(2P*<3/2>).6d"	"2[7/2]*"	"4"	""	"218225.00"	""	
"5p5.(2P*<3/2>).6d"	"2[7/2]*"	"3"	""	"218422.03"	""	
"5p5.(2P*<3/2>).6d"	"2[3/2]*"	"2"	""	"218725.50"	""	
"5p5.(2P*<3/2>).6d"	"2[3/2]*"	"1"	""	"222743.50"	""	
"5p5.(2P*<3/2>).6d"	"2[5/2]*"	"2"	""	"219262.27"	""	
"5p5.(2P*<3/2>).6d"	"2[5/2]*"	"3"	""	"219844.60"	""	
"5p5.(2P*<3/2>).5f"	"2[3/2]"	"1"	""	"228167.18"	""	
"5p5.(2P*<3/2>).5f"	"2[3/2]"	"2"	""	"228310.67"	""	
"5p5.(2P*<3/2>).7p"	"2[1/2]"	"1"	""	"228369.60"	""	
"5p5.(2P*<3/2>).7p"	"2[1/2]"	"0"	""	"232029.83"	""	
"5p5.(2P*<3/2>).5f"	"2[9/2]"	"5"	""	"228724.37"	""	
"5p5.(2P*<3/2>).5f"	"2[9/2]"	"4"	""	"228729.53"	""	
"5p5.(2P*<3/2>).7p"	"2[5/2]"	"2"	""	"229058.57"	""	
"5p5.(2P*<3/2>).7p"	"2[5/2]"	"3"	""	"230007.57"	""	
"5p5.(2P*<3/2>).5f"	"2[5/2]"	"3"	""	"229106.94"	""	
"5p5.(2P*<3/2>).5f"	"2[5/2]"	"2"	""	"229456.10"	""	
"5p5.(2P*<3/2>).5f"	"2[7/2]"	"3"	""	"229753.55"	""	
"5p5.(2P*<3/2>).5f"	"2[7/2]"	"4"	""	"229896.89"	""	
"5p5.(2P*<3/2>).7p"	"2[3/2]"	"1"	""	"230176.70"	""	
"5p5.(2P*<3/2>).7p"	"2[3/2]"	"2"	""	"230671.94"	""	
