Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5s2.5p"	"2P*"	"1/2"	""	"0.0"	""	
"5s2.5p"	"2P*"	"3/2"	""	"23592.0"	""	
"5s.5p2"	"4P"	"1/2"	""	"115922.0"	""	
"5s.5p2"	"4P"	"3/2"	""	"128550.0"	""	
"5s.5p2"	"4P"	"5/2"	""	"137739.0"	""	
"5s2.4f"	"2F*"	"5/2"	""	"137385.0"	""	
"5s2.4f"	"2F*"	"7/2"	""	"138675.0"	""	
"5s.5p2"	"2D"	"3/2"	""	"157727.0"	""	
"5s.5p2"	"2D"	"5/2"	""	"165778.0"	""	
"5s.5p2"	"2P"	"1/2"	""	"174563.0"	""	
"5s.5p2"	"2P"	"3/2"	""	"200220.0"	""	
"5s.5p2"	"2S"	"1/2"	""	"199015.0"	""	
"5s2.5d"	"2D"	"3/2"	""	"230416.0"	""	
"5s2.5d"	"2D"	"5/2"	""	"234064.0"	""	
"5s.5p.(3P*).4f"	"4G"	"5/2"	""	"243636.0"	""	
"5s.5p.(3P*).4f"	"4G"	"7/2"	""	"245873.0"	""	
"5s.5p.(3P*).4f"	"4G"	"9/2"	"["	"268188"	"]"	
"5s.5p.(3P*).4f"	"4G"	"11/2"	"["	"270087"	"]"	
"5s.5p.(3P*).4f"	"4D"	"7/2"	""	"249919.0"	""	
"5s.5p.(3P*).4f"	"4D"	"5/2"	""	"272237.0"	""	
"5s.5p.(3P*).4f"	"4D"	"3/2"	""	"274837.0"	""	
"5s.5p.(3P*).4f"	"4D"	"1/2"	""	"275994.0"	""	
"5s.5p.(3P*).4f"	"4F"	"3/2"	""	"250399.0"	""	
"5s.5p.(3P*).4f"	"4F"	"5/2"	""	"250871.0"	""	
"5s.5p.(3P*).4f"	"4F"	"9/2"	""	"250909.0"	""	
"5s.5p.(3P*).4f"	"4F"	"7/2"	""	"269368.0"	""	
"5s.5p.(3P*).4f"	"2F"	"5/2"	""	"257721.0"	""	
"5s.5p.(3P*).4f"	"2F"	"7/2"	""	"259737.0"	""	
"5s.5p.(3P*).4f"	"2G"	"7/2"	""	"275417.0"	""	
"5s.5p.(3P*).4f"	"2G"	"9/2"	""	"284034.0"	""	
"5s.5p.(3P*).4f"	"2D"	"5/2"	""	"281118.0"	""	
"5s.5p.(3P*).4f"	"2D"	"3/2"	""	"289185.0"	""	
"5p3"	"2D*"	"3/2"	""	"288845.0"	""	
"5p3"	"2D*"	"5/2"	""	"304207.0"	""	
"5s.5p.(1P*).4f"	"2F"	"5/2"	""	"299380.0"	""	
"5s.5p.(1P*).4f"	"2F"	"7/2"	""	"300662.0"	""	
"5p3"	"4S*"	"3/2"	""	"302863.0"	""	
"5s.5p.(1P*).4f"	"2G"	"9/2"	""	"304604.0"	""	
"5s.5p.(1P*).4f"	"2G"	"7/2"	""	"305109.0"	""	
"5s.5p.(1P*).4f"	"2D"	"3/2"	""	"311771.0"	""	
"5s.5p.(1P*).4f"	"2D"	"5/2"	""	"313718.0"	""	
"5s2.6s"	"2S"	"1/2"	""	"326361.0"	""	
