Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2.2s2"	"1S"	"0"	""	"0.0000"	""	
"1s2.2s.2p"	"3P*"	"0"	""	"21978.31"	""	
"1s2.2s.2p"	"3P*"	"1"	""	"21978.925"	""	
"1s2.2s.2p"	"3P*"	"2"	""	"21981.26"	""	
"1s2.2s.2p"	"1P*"	"1"	""	"42565.4502"	""	
"1s2.2s.3s"	"3S"	"1"	""	"52080.943"	""	
"1s2.2s.3s"	"1S"	"0"	""	"54677.349"	""	
"1s2.2p2"	"1D"	"2"	""	"56882.5474"	""	
"1s2.2s.3p"	"3P*"	"0"	""	"58907.472"	""	
"1s2.2s.3p"	"3P*"	"1"	""	"58907.472"	""	
"1s2.2s.3p"	"3P*"	"2"	""	"58907.839"	""	
"1s2.2p2"	"3P"	"0"	""	"59693.60"	""	
"1s2.2p2"	"3P"	"1"	""	"59694.99"	""	
"1s2.2p2"	"3P"	"2"	""	"59696.98"	""	
"1s2.2s.3p"	"1P*"	"1"	""	"60187.4434"	""	
"1s2.2s.3d"	"3D"	"1"	""	"62053.7385"	""	
"1s2.2s.3d"	"3D"	"2"	""	"62053.742"	""	
"1s2.2s.3d"	"3D"	"3"	""	"62053.742"	""	
"1s2.2s.3d"	"1D"	"2"	""	"64428.4032"	""	
"1s2.2s.4s"	"3S"	"1"	""	"64506.483"	""	
"1s2.2s.4s"	"1S"	"0"	""	"65245.437"	""	
"1s2.2s.4p"	"3P*"	"0"	""	"66811.89"	""	
"1s2.2s.4p"	"3P*"	"1"	""	"66811.89"	""	
"1s2.2s.4p"	"3P*"	"2"	""	"66811.89"	""	
"1s2.2s.4p"	"1P*"	"1"	""	"67034.80"	""	
"1s2.2s.4d"	"3D"	"1"	""	"67941.63"	""	
"1s2.2s.4d"	"3D"	"2"	""	"67941.65"	""	
"1s2.2s.4d"	"3D"	"3"	""	"67941.68"	""	
"1s2.2s.4f"	"3F*"	"4"	""	"68241.04"	""	
"1s2.2s.4f"	"3F*"	"2"	""	"68241.041"	""	
"1s2.2s.4f"	"3F*"	"3"	""	"68241.044"	""	
"1s2.2s.4f"	"1F*"	"3"	""	"68241.30"	""	
"1s2.2s.4d"	"1D"	"2"	""	"68780.96"	""	
"1s2.2s.5s"	"3S"	"1"	""	"69010.18"	""	
"1s2.2s.5s"	"1S"	"0"	""	"69322.30"	""	
"1s2.2s.5p"	"3P*"	"0"	"["	"70065.40"	"]"	
"1s2.2s.5p"	"3P*"	"1"	"["	"70065.40"	"]"	
