Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.0000"	""	
"2p"	"2P*"	"1/2"	"("	"1316979.24398"	")"	
"2p"	"2P*"	"3/2"	"("	"1317073.002568"	")"	
"2s"	"2S"	"1/2"	"("	"1316985.2405"	")"	
"3p"	"2P*"	"1/2"	"("	"1560900.52810"	")"	
"3p"	"2P*"	"3/2"	"("	"1560928.30867"	")"	
"3s"	"2S"	"1/2"	"("	"1560902.3163"	")"	
"3d"	"2D"	"3/2"	"("	"1560928.262702"	")"	
"3d"	"2D"	"5/2"	"("	"1560937.519341"	")"	
"4p"	"2P*"	"1/2"	"("	"1646269.16610"	")"	
"4p"	"2P*"	"3/2"	"("	"1646280.88582"	")"	
"4s"	"2S"	"1/2"	"("	"1646269.92250"	")"	
"4d"	"2D"	"3/2"	"("	"1646280.86620"	")"	
"4d"	"2D"	"5/2"	"("	"1646284.77140"	")"	
"4f"	"2F*"	"5/2"	"("	"1646284.76436"	")"	
"4f"	"2F*"	"7/2"	"("	"1646286.71678"	")"	
"5p"	"2P*"	"1/2"	"("	"1685781.02269"	")"	
"5p"	"2P*"	"3/2"	"("	"1685787.023070"	")"	
"5s"	"2S"	"1/2"	"("	"1685781.41051"	")"	
"5d"	"2D"	"3/2"	"("	"1685787.01290"	")"	
"5d"	"2D"	"5/2"	"("	"1685789.01240"	")"	
"5f"	"2F*"	"5/2"	"("	"1685789.00879"	")"	
"5f"	"2F*"	"7/2"	"("	"1685790.00844"	")"	
"5g"	"2G"	"7/2"	"("	"1685790.006540"	")"	
"5g"	"2G"	"9/2"	"("	"1685790.606310"	")"	
"6p"	"2P*"	"1/2"	"("	"1707243.57429"	")"	
"6p"	"2P*"	"3/2"	"("	"1707247.04668"	")"	
"6s"	"2S"	"1/2"	"("	"1707243.79888"	")"	
"6d"	"2D"	"3/2"	"("	"1707247.04076"	")"	
"6d"	"2D"	"5/2"	"("	"1707248.19786"	")"	
"6f"	"2F*"	"5/2"	"("	"1707248.19575"	")"	
"6f"	"2F*"	"7/2"	"("	"1707248.77425"	")"	
"6g"	"2G"	"7/2"	"("	"1707248.773150"	")"	
"6g"	"2G"	"9/2"	"("	"1707249.120240"	")"	
"6h"	"2H*"	"9/2"	"("	"1707249.119559"	")"	
"6h"	"2H*"	"11/2"	"("	"1707249.350946"	")"	
"7p"	"2P*"	"1/2"	"("	"1720184.50175"	")"	
"7p"	"2P*"	"3/2"	"("	"1720186.68841"	")"	
"7s"	"2S"	"1/2"	"("	"1720184.64325"	")"	
"7d"	"2D"	"3/2"	"("	"1720186.68466"	")"	
"7d"	"2D"	"5/2"	"("	"1720187.41333"	")"	
"7f"	"2F*"	"5/2"	"("	"1720187.41200"	")"	
"7f"	"2F*"	"7/2"	"("	"1720187.77630"	")"	
"7g"	"2G"	"7/2"	"("	"1720187.775610"	")"	
"7g"	"2G"	"9/2"	"("	"1720187.994180"	")"	
"7h"	"2H*"	"9/2"	"("	"1720187.993756"	")"	
"7h"	"2H*"	"11/2"	"("	"1720188.139470"	")"	
"7i"	"2I"	"11/2"	"("	"1720188.1391780"	")"	
"7i"	"2I"	"13/2"	"("	"1720188.2432580"	")"	
"8p"	"2P*"	"1/2"	"("	"1728583.50168"	")"	
"8p"	"2P*"	"3/2"	"("	"1728584.96656"	")"	
"8s"	"2S"	"1/2"	"("	"1728583.59649"	")"	
"8d"	"2D"	"3/2"	"("	"1728584.96403"	")"	
"8d"	"2D"	"5/2"	"("	"1728585.45218"	")"	
"8f"	"2F*"	"5/2"	"("	"1728585.45129"	")"	
"8f"	"2F*"	"7/2"	"("	"1728585.69534"	")"	
"8g"	"2G"	"7/2"	"("	"1728585.694880"	")"	
"8g"	"2G"	"9/2"	"("	"1728585.841300"	")"	
"8h"	"2H*"	"9/2"	"("	"1728585.841013"	")"	
"8h"	"2H*"	"11/2"	"("	"1728585.938631"	")"	
"8i"	"2I"	"11/2"	"("	"1728585.938434"	")"	
"8i"	"2I"	"13/2"	"("	"1728586.008160"	")"	
"8k"	"2K*"	"13/2"	"("	"1728586.0080179"	")"	
"8k"	"2K*"	"15/2"	"("	"1728586.0603119"	")"	
"9p"	"2P*"	"1/2"	"("	"1734341.74068"	")"	
"9p"	"2P*"	"3/2"	"("	"1734342.76950"	")"	
"9s"	"2S"	"1/2"	"("	"1734341.807280"	")"	
