Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5d10"	"1S"	"0"	""	"0.0"	""	
"5d9.6s"	"(5/2,1/2)"	"3"	""	"149493.9"	""	
"5d9.6s"	"(5/2,1/2)"	"2"	""	"153736.5"	""	
"5d9.6s"	"(3/2,1/2)"	"1"	""	"175017.3"	""	
"5d9.6s"	"(3/2,1/2)"	"2"	""	"178477.3"	""	
"5d9.6p"	"(5/2,1/2)*"	"2"	""	"244720.5"	""	
"5d9.6p"	"(5/2,1/2)*"	"3"	""	"247162.0"	""	
"5d9.6p"	"(3/2,1/2)*"	"2"	""	"270602.3"	""	
"5d9.6p"	"(3/2,1/2)*"	"1"	""	"274158.0"	""	
"5d9.6p"	"(5/2,3/2)*"	"4"	""	"277861.1"	""	
"5d9.6p"	"(5/2,3/2)*"	"2"	""	"280937.4"	""	
"5d9.6p"	"(5/2,3/2)*"	"1"	""	"284035.2"	""	
"5d9.6p"	"(5/2,3/2)*"	"3"	""	"284056.0"	""	
"5d9.6p"	"(3/2,3/2)*"	"0"	""	"299449.1"	""	
"5d9.6p"	"(3/2,3/2)*"	"3"	""	"305268.6"	""	
"5d9.6p"	"(3/2,3/2)*"	"1"	""	"305901.3"	""	
"5d9.6p"	"(3/2,3/2)*"	"2"	""	"308611.3"	""	
"5d9.6d"	"(5/2,3/2)"	"1"	""	"400019.5"	""	
"5d9.6d"	"(5/2,3/2)"	"4"	""	"403603.3"	""	
"5d9.6d"	"(5/2,3/2)"	"2"	""	"404652.6"	""	
"5d9.6d"	"(5/2,3/2)"	"3"	""	"406236.9"	""	
"5d9.6d"	"(5/2,5/2)"	"1"	""	"406834.3"	""	
"5d9.6d"	"(5/2,5/2)"	"5"	""	"407171.3"	""	
"5d9.6d"	"(5/2,5/2)"	"3"	""	"409898.2"	""	
"5d9.6d"	"(5/2,5/2)"	"2"	""	"410299.3"	""	
"5d9.6d"	"(5/2,5/2)"	"4"	""	"411152.6"	""	
"5d9.6d"	"(5/2,5/2)"	"0"	""	"416569.3"	""	
