Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	""	"0"	""	
"1s.2s"	"3S"	"1"	"("	"98773485"	")"	
"1s.2p"	"3P*"	"0"	"("	"99116743"	")"	
"1s.2p"	"3P*"	"1"	"("	"99138312"	")"	
"1s.2p"	"3P*"	"2"	"("	"99598517"	")"	
"1s.2s"	"1S"	"0"	"("	"99140736"	")"	
"1s.2p"	"1P*"	"1"	"("	"99784250"	")"	
"1s.3s"	"3S"	"1"	"("	"117150850"	")"	
"1s.3p"	"3P*"	"0"	"("	"117245280"	")"	
"1s.3p"	"3P*"	"1"	"("	"117251310"	")"	
"1s.3p"	"3P*"	"2"	"("	"117388670"	")"	
"1s.3s"	"1S"	"0"	"("	"117247940"	")"	
"1s.3d"	"3D"	"2"	"("	"117435110"	")"	
"1s.3d"	"3D"	"1"	"("	"117437590"	")"	
"1s.3d"	"3D"	"3"	"("	"117483160"	")"	
"1s.3p"	"1P*"	"1"	"("	"117439410"	")"	
"1s.3d"	"1D"	"2"	"("	"117487260"	")"	
"1s.4s"	"3S"	"1"	"("	"123519000"	")"	
"1s.4p"	"3P*"	"0"	"("	"123557760"	")"	
"1s.4p"	"3P*"	"1"	"("	"123560250"	")"	
"1s.4p"	"3P*"	"2"	"("	"123618240"	")"	
"1s.4s"	"1S"	"0"	"("	"123558320"	")"	
"1s.4d"	"3D"	"2"	"("	"123637480"	")"	
"1s.4d"	"3D"	"1"	"("	"123638390"	")"	
"1s.4d"	"3D"	"3"	"("	"123657640"	")"	
"1s.4p"	"1P*"	"1"	"("	"123639040"	")"	
"1s.4f"	"3F*"	"3"	"("	"123658890"	")"	
"1s.4f"	"3F*"	"2"	"("	"123659580"	")"	
"1s.4f"	"3F*"	"4"	"("	"123669190"	")"	
"1s.4d"	"1D"	"2"	"("	"123659590"	")"	
"1s.4f"	"1F*"	"3"	"("	"123669710"	")"	
"1s.5s"	"3S"	"1"	"("	"126448410"	")"	
"1s.5p"	"3P*"	"0"	"("	"126467990"	")"	
"1s.5p"	"3P*"	"1"	"("	"126469250"	")"	
"1s.5p"	"3P*"	"2"	"("	"126498910"	")"	
"1s.5s"	"1S"	"0"	"("	"126468140"	")"	
"1s.5d"	"3D"	"2"	"("	"126508680"	")"	
"1s.5d"	"3D"	"1"	"("	"126509110"	")"	
"1s.5d"	"3D"	"3"	"("	"126518970"	")"	
"1s.5p"	"1P*"	"1"	"("	"126509410"	")"	
"1s.5f"	"3F*"	"3"	"("	"126519670"	")"	
"1s.5f"	"3F*"	"2"	"("	"126520020"	")"	
"1s.5f"	"3F*"	"4"	"("	"126524940"	")"	
"1s.5d"	"1D"	"2"	"("	"126520020"	")"	
"1s.5g"	"3G"	"4"	"("	"126524980"	")"	
"1s.5g"	"3G"	"5"	"("	"126528130"	")"	
"1s.5g"	"3G"	"3"	"("	"126525180"	")"	
"1s.5f"	"1F*"	"3"	"("	"126525210"	")"	
"1s.5g"	"1G"	"4"	"("	"126528290"	")"	
"1s.6s"	"3S"	"1"	"("	"128033030"	")"	
"1s.6p"	"3P*"	"0"	"("	"128044260"	")"	
"1s.6p"	"3P*"	"1"	"("	"128044990"	")"	
