Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"2s2.2p"	"2P*"	"1/2"	""	"0.000000"	""	
"2s2.2p"	"2P*"	"3/2"	""	"63.395090"	""	
"2s.2p2"	"4P"	"1/2"	""	"43002.8"	""	
"2s.2p2"	"4P"	"3/2"	""	"43024.9"	""	
"2s.2p2"	"4P"	"5/2"	""	"43053.2"	""	
"2s.2p2"	"2D"	"5/2"	""	"74930.077"	""	
"2s.2p2"	"2D"	"3/2"	""	"74932.602"	""	
"2s.2p2"	"2S"	"1/2"	""	"96493.646"	""	
"2s.2p2"	"2P"	"1/2"	""	"110624.18"	""	
"2s.2p2"	"2P"	"3/2"	""	"110665.59"	""	
"2s2.3s"	"2S"	"1/2"	""	"116537.648"	""	
"2s2.3p"	"2P*"	"1/2"	""	"131724.382"	""	
"2s2.3p"	"2P*"	"3/2"	""	"131735.528"	""	
"2p3"	"4S*"	"3/2"	""	"142026.24"	""	
"2s2.3d"	"2D"	"3/2"	""	"145549.25"	""	
"2s2.3d"	"2D"	"5/2"	""	"145550.70"	""	
"2p3"	"2D*"	"5/2"	""	"150461.58"	""	
"2p3"	"2D*"	"3/2"	""	"150466.70"	""	
"2s2.4s"	"2S"	"1/2"	""	"157234.05"	""	
"2s2.4p"	"2P*"	"1/2"	""	"162517.90"	""	
"2s2.4p"	"2P*"	"3/2"	""	"162524.56"	""	
"2s.2p.(3P*).3s"	"4P*"	"1/2"	""	"166967.16"	""	
"2s.2p.(3P*).3s"	"4P*"	"3/2"	""	"166990.74"	""	
"2s.2p.(3P*).3s"	"4P*"	"5/2"	""	"167035.73"	""	
"2s2.4d"	"2D"	"3/2"	""	"168124.17"	""	
"2s2.4d"	"2D"	"5/2"	""	"168124.37"	""	
"2p3"	"2P*"	"1/2"	""	"168729.51"	""	
"2p3"	"2P*"	"3/2"	""	"168748.26"	""	
"2s2.4f"	"2F*"	"5/2"	""	"168978.24"	""	
"2s2.4f"	"2F*"	"7/2"	""	"168978.42"	""	
"2s2.5s"	"2S"	"1/2"	""	"173347.94"	""	
"2s2.5p"	"2P*"	"1/2"	""	"175287.36"	""	
"2s2.5p"	"2P*"	"3/2"	""	"175294.74"	""	
"2s.2p.(3P*).3s"	"2P*"	"1/2"	""	"177774.55"	""	
"2s.2p.(3P*).3s"	"2P*"	"3/2"	""	"177793.52"	""	
"2s2.5d"	"2D"	"3/2"	""	"178495.29"	""	
"2s2.5d"	"2D"	"5/2"	""	"178495.54"	""	
"2s2.5f"	"2F*"	"5/2"	""	"178956.38"	""	
"2s2.5f"	"2F*"	"7/2"	""	"178956.46"	""	
"2s2.5g"	"2G"	"7/2"	""	"179073.02"	""	
"2s2.5g"	"2G"	"9/2"	""	"179073.09"	""	
"2s2.6s"	"2S"	"1/2"	""	"181264.23"	""	
"2s.2p.(3P*).3p"	"4D"	"1/2"	""	"181696.69"	""	
"2s.2p.(3P*).3p"	"4D"	"3/2"	""	"181711.05"	""	
"2s.2p.(3P*).3p"	"4D"	"5/2"	""	"181736.06"	""	
"2s.2p.(3P*).3p"	"4D"	"7/2"	""	"181772.40"	""	
"2s.2p.(3P*).3p"	"2P"	"1/2"	""	"182023.89"	""	
"2s.2p.(3P*).3p"	"2P"	"3/2"	""	"182043.39"	""	
"2s2.6p"	"2P*"	"1/2"	""	"182992.91"	""	
"2s2.6p"	"2P*"	"3/2"	""	"182993.12"	""	
"2s2.6d"	"2D"	"3/2"	""	"184074.67"	""	
"2s2.6d"	"2D"	"5/2"	""	"184075.36"	""	
"2s2.6f"	"2F*"	"5/2"	""	"184376.15"	""	
"2s2.6f"	"2F*"	"7/2"	""	"184376.19"	""	
"2s2.6g"	"2G"	"7/2"	""	"184449.50"	""	
"2s2.6g"	"2G"	"9/2"	""	"184449.54"	""	
"2s2.6h"	"2H*"	"9/2"	"["	"184464.11"	"]"	
"2s2.6h"	"2H*"	"11/2"	"["	"184464.11"	"]"	
"2s.2p.(3P*).3p"	"4S"	"3/2"	""	"184691.00"	""	
"2s2.7s"	"2S"	"1/2"	""	"185732.93"	""	
"2s.2p.(3P*).3p"	"4P"	"1/2"	""	"186427.37"	""	
"2s.2p.(3P*).3p"	"4P"	"3/2"	""	"186443.71"	""	
"2s.2p.(3P*).3p"	"4P"	"5/2"	""	"186466.03"	""	
"2s2.7p"	"2P*"	"1/2"	""	"186745.36"	""	
"2s2.7p"	"2P*"	"3/2"	""	"186746.33"	""	
"2s2.7d"	"2D"	"3/2"	""	"187353.4"	""	
"2s2.7d"	"2D"	"5/2"	""	"187353.4"	""	
"2s2.7f"	"2F*"	"5/2"	""	"187641.88"	""	
"2s2.7f"	"2F*"	"7/2"	""	"187641.90"	""	
"2s2.7g"	"2G"	"7/2"	""	"187691.33"	""	
"2s2.7g"	"2G"	"9/2"	""	"187691.36"	""	
"2s2.7h"	"2H*"	"9/2"	"["	"187700.90"	"]"	
"2s2.7h"	"2H*"	"11/2"	"["	"187700.90"	"]"	
"2s2.7i"	"2I"	"11/2"	"["	"187703.78"	"]"	
"2s2.7i"	"2I"	"13/2"	"["	"187703.78"	"]"	
"2s2.8s"	"2S"	"1/2"	"["	"188504.50"	"]"	
"2s.2p.(3P*).3p"	"2D"	"3/2"	""	"188581.26"	""	
"2s.2p.(3P*).3p"	"2D"	"5/2"	""	"188615.01"	""	
"2s2.8f"	"2F*"	"5/2"	""	"189761.84"	""	
"2s2.8f"	"2F*"	"7/2"	""	"189761.85"	""	
"2s2.8g"	"2G"	"7/2"	""	"189795.17"	""	
"2s2.8g"	"2G"	"9/2"	""	"189795.18"	""	
"2s2.8h"	"2H*"	"9/2"	""	"189801.92"	""	
"2s2.8h"	"2H*"	"11/2"	""	"189801.93"	""	
"2s2.8i"	"2I"	"11/2"	"["	"189803.73"	"]"	
"2s2.8i"	"2I"	"13/2"	"["	"189803.73"	"]"	
"2s2.8k"	"2K*"	"13/2"	"["	"189804.46"	"]"	
"2s2.8k"	"2K*"	"15/2"	"["	"189804.46"	"]"	
"2s2.8d"	"2D"	"3/2"	""	"189808"	""	
"2s2.8d"	"2D"	"5/2"	""	"189812"	""	
"2s2.9s"	"2S"	"1/2"	"["	"190341.4"	"]"	
"2s2.9d"	"2D"	"3/2"	""	"191210.0"	""	
"2s2.9d"	"2D"	"5/2"	""	"191210.5"	""	
"2s2.9f"	"2F*"	"5/2"	""	"191213.28"	""	
"2s2.9f"	"2F*"	"7/2"	""	"191213.29"	""	
"2s2.9g"	"2G"	"7/2"	""	"191237.24"	""	
"2s2.9g"	"2G"	"9/2"	""	"191237.25"	""	
"2s2.9h"	"2H*"	"9/2"	"["	"191242.01"	"]"	
"2s2.9h"	"2H*"	"11/2"	"["	"191242.01"	"]"	
"2s2.9i"	"2I"	"11/2"	"["	"191243.45"	"]"	
"2s2.9i"	"2I"	"13/2"	"["	"191243.45"	"]"	
"2s2.9k"	"2K*"	"13/2"	"["	"191243.99"	"]"	
"2s2.9k"	"2K*"	"15/2"	"["	"191243.99"	"]"	
"2s2.10d"	"2D"	"3/2"	""	"192235.3"	""	
"2s2.10d"	"2D"	"5/2"	""	"192235.5"	""	
"2s2.10f"	"2F*"	"5/2"	"["	"192251.08"	"]"	
"2s2.10f"	"2F*"	"7/2"	"["	"192251.08"	"]"	
"2s2.10g"	"2G"	"7/2"	""	"192268.75"	""	
"2s2.10g"	"2G"	"9/2"	""	"192268.76"	""	
"2s2.10h"	"2H*"	"9/2"	""	"192272.36"	""	
"2s2.10h"	"2H*"	"11/2"	""	"192272.37"	""	
"2s2.10i"	"2I"	"11/2"	"["	"192273.28"	"]"	
"2s2.10i"	"2I"	"13/2"	"["	"192273.28"	"]"	
"2s2.10k"	"2K*"	"13/2"	"["	"192273.68"	"]"	
"2s2.10k"	"2K*"	"15/2"	"["	"192273.68"	"]"	
"2s2.11d"	"2D"	"3/2"	""	"192995.6"	""	
"2s2.11d"	"2D"	"5/2"	""	"192995.7"	""	
"2s2.11f"	"2F*"	"5/2"	""	"193018.08"	""	
"2s2.11f"	"2F*"	"7/2"	""	"193018.08"	""	
"2s2.11g"	"2G"	"7/2"	""	"193031.68"	""	
"2s2.11g"	"2G"	"9/2"	""	"193031.69"	""	
"2s2.11h"	"2H*"	"9/2"	"["	"193034.41"	"]"	
"2s2.11h"	"2H*"	"11/2"	"["	"193034.41"	"]"	
"2s2.11i"	"2I"	"11/2"	"["	"193035.22"	"]"	
"2s2.11i"	"2I"	"13/2"	"["	"193035.22"	"]"	
"2s2.11k"	"2K*"	"13/2"	"["	"193035.53"	"]"	
"2s2.11k"	"2K*"	"15/2"	"["	"193035.53"	"]"	
"2s2.12d"	"2D"	"3/2"	""	"193596.1"	""	
"2s2.12d"	"2D"	"5/2"	""	"193596.2"	""	
"2s2.12f"	"2F*"	"5/2"	""	"193601.23"	""	
"2s2.12f"	"2F*"	"7/2"	""	"193601.23"	""	
"2s2.12g"	"2G"	"7/2"	""	"193612.15"	""	
"2s2.12g"	"2G"	"9/2"	""	"193612.15"	""	
"2s2.12h"	"2H*"	"9/2"	"["	"193614.11"	"]"	
"2s2.12h"	"2H*"	"11/2"	"["	"193614.11"	"]"	
"2s2.12i"	"2I"	"11/2"	"["	"193614.74"	"]"	
"2s2.12i"	"2I"	"13/2"	"["	"193614.74"	"]"	
"2s2.12k"	"2K*"	"13/2"	"["	"193614.98"	"]"	
"2s2.12k"	"2K*"	"15/2"	"["	"193614.98"	"]"	
"2s2.13f"	"2F*"	"5/2"	"["	"194055.41"	"]"	
"2s2.13f"	"2F*"	"7/2"	"["	"194055.41"	"]"	
"2s2.13g"	"2G"	"7/2"	"["	"194063.62"	"]"	
"2s2.13g"	"2G"	"9/2"	"["	"194063.62"	"]"	
