Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	""	"0.00"	""	
"1s.2s"	"3S"	"1"	"("	"2411292.798"	")"	
"1s.2s"	"1S"	"0"	"("	"2455052.913"	")"	
"1s.2p"	"3P*"	"1"	"("	"2455179.0754"	")"	
"1s.2p"	"3P*"	"0"	"("	"2455191.5845"	")"	
"1s.2p"	"3P*"	"2"	"("	"2455314.8725"	")"	
"1s.2p"	"1P*"	"1"	"("	"2483400.8420"	")"	
"1s.3s"	"3S"	"1"	"("	"2839589.7"	")"	
"1s.3s"	"1S"	"0"	"("	"2851173.0"	")"	
"1s.3p"	"3P*"	"1"	"("	"2851424.3"	")"	
"1s.3p"	"3P*"	"0"	"("	"2851425.7"	")"	
"1s.3p"	"3P*"	"2"	"("	"2851464.4"	")"	
"1s.3d"	"3D"	"1"	"("	"2857323.6"	")"	
"1s.3d"	"3D"	"2"	"("	"2857324.5"	")"	
"1s.3d"	"3D"	"3"	"("	"2857335.9"	")"	
"1s.3d"	"1D"	"2"	"("	"2857555.6"	")"	
"1s.3p"	"1P*"	"1"	"("	"2859389.2"	")"	
"1s.4s"	"3S"	"1"	"("	"2983556.8"	")"	
"1s.4s"	"1S"	"0"	"("	"2988241.7"	")"	
"1s.4p"	"3P*"	"1"	"("	"2988381.9"	")"	
"1s.4p"	"3P*"	"0"	"("	"2988382.2"	")"	
"1s.4p"	"3P*"	"2"	"("	"2988398.8"	")"	
"1s.4d"	"3D"	"1"	"("	"2990814.4"	")"	
"1s.4d"	"3D"	"2"	"("	"2990815.4"	")"	
"1s.4d"	"3D"	"3"	"("	"2990819.2"	")"	
"1s.4d"	"1D"	"2"	"("	"2990941.6"	")"	
"1s.4f"	"3F*"	"3"	"("	"2990941.7"	")"	
"1s.4f"	"3F*"	"2"	"("	"2990943.1"	")"	
"1s.4f"	"3F*"	"4"	"("	"2990945.5"	")"	
"1s.4f"	"1F*"	"3"	"("	"2990947.7"	")"	
"1s.4p"	"1P*"	"1"	"("	"2991677.3"	")"	
"1s.5s"	"3S"	"1"	"("	"3048945.7"	")"	
"1s.5s"	"1S"	"0"	"("	"3051294.2"	")"	
"1s.5p"	"3P*"	"0"	"("	"3051374.0"	")"	
"1s.5p"	"3P*"	"1"	"("	"3051374.0"	")"	
"1s.5p"	"3P*"	"2"	"("	"3051382.6"	")"	
"1s.5d"	"3D"	"2"	"("	"3052604.9"	")"	
"1s.5d"	"3D"	"1"	"("	"3052605.1"	")"	
"1s.5d"	"3D"	"3"	"("	"3052606.2"	")"	
"1s.5d"	"1D"	"2"	"("	"3052674.3"	")"	
"1s.5f"	"3F*"	"3"	"("	"3052680.6"	")"	
"1s.5f"	"3F*"	"2"	"("	"3052681.0"	")"	
"1s.5f"	"3F*"	"4"	"("	"3052681.9"	")"	
"1s.5f"	"1F*"	"3"	"("	"3052681.9"	")"	
"1s.5g"	"3G"	"4"	"("	"3052685.9"	")"	
"1s.5g"	"3G"	"3"	"("	"3052686.6"	")"	
"1s.5g"	"3G"	"5"	"("	"3052686.7"	")"	
"1s.5g"	"1G"	"4"	"("	"3052686.9"	")"	
"1s.5p"	"1P*"	"1"	"("	"3053045.1"	")"	
"1s.6s"	"3S"	"1"	"("	"3084069.3"	")"	
"1s.6s"	"1S"	"0"	"("	"3085411.4"	")"	
"1s.6p"	"3P*"	"0"	"("	"3085460.3"	")"	
"1s.6p"	"3P*"	"1"	"("	"3085460.3"	")"	
"1s.6p"	"3P*"	"2"	"("	"3085465.3"	")"	
"1s.6d"	"3D"	"1"	"("	"3086166.8"	")"	
"1s.6d"	"3D"	"2"	"("	"3086167.0"	")"	
"1s.6d"	"3D"	"3"	"("	"3086167.7"	")"	
"1s.6d"	"1D"	"2"	"("	"3086198.3"	")"	
"1s.6f"	"3F*"	"3"	"("	"3086213.4"	")"	
"1s.6f"	"3F*"	"2"	"("	"3086213.7"	")"	
"1s.6f"	"3F*"	"4"	"("	"3086214.2"	")"	
"1s.6f"	"1F*"	"3"	"("	"3086214.0"	")"	
"1s.6g"	"3G"	"4"	"("	"3086216.3"	")"	
"1s.6g"	"3G"	"3"	"("	"3086216.6"	")"	
"1s.6g"	"3G"	"5"	"("	"3086216.9"	")"	
"1s.6g"	"1G"	"4"	"("	"3086217.0"	")"	
"1s.6h"	"3H*"	"5"	"("	"3086219.2"	")"	
"1s.6h"	"3H*"	"4"	"("	"3086219.3"	")"	
"1s.6h"	"3H*"	"6"	"("	"3086219.5"	")"	
"1s.6h"	"1H*"	"5"	"("	"3086219.7"	")"	
"1s.6p"	"1P*"	"1"	"("	"3086422.1"	")"	
"1s.7s"	"3S"	"1"	"("	"3105089.6"	")"	
"1s.7s"	"1S"	"0"	"("	"3105927.5"	")"	
"1s.7p"	"3P*"	"0"	"("	"3105959.7"	")"	
"1s.7p"	"3P*"	"1"	"("	"3105959.7"	")"	
"1s.7p"	"3P*"	"2"	"("	"3105962.8"	")"	
"1s.7d"	"3D"	"1"	"("	"3106403.4"	")"	
"1s.7d"	"3D"	"2"	"("	"3106403.5"	")"	
"1s.7d"	"3D"	"3"	"("	"3106404.0"	")"	
"1s.7d"	"1D"	"2"	"("	"3106428.4"	")"	
"1s.7g"	"1G"	"4"	"("	"3106435.2"	")"	
"1s.7g"	"3G"	"3"	"("	"3106435.2"	")"	
"1s.7g"	"3G"	"4"	"("	"3106435.2"	")"	
"1s.7g"	"3G"	"5"	"("	"3106435.2"	")"	
"1s.7h"	"1H*"	"5"	"("	"3106437.2"	")"	
"1s.7h"	"3H*"	"4"	"("	"3106437.2"	")"	
"1s.7h"	"3H*"	"5"	"("	"3106437.2"	")"	
"1s.7h"	"3H*"	"6"	"("	"3106437.2"	")"	
"1s.7i"	"1I"	"6"	"("	"3106437.5"	")"	
"1s.7i"	"3I"	"5"	"("	"3106437.5"	")"	
"1s.7i"	"3I"	"6"	"("	"3106437.5"	")"	
"1s.7i"	"3I"	"7"	"("	"3106437.5"	")"	
"1s.7p"	"1P*"	"1"	"("	"3106563.2"	")"	
"1s.8s"	"3S"	"1"	"("	"3118659.6"	")"	
"1s.8s"	"1S"	"0"	"("	"3119218.4"	")"	
"1s.8p"	"3P*"	"0"	"("	"3119239.8"	")"	
"1s.8p"	"3P*"	"1"	"("	"3119239.8"	")"	
"1s.8p"	"3P*"	"2"	"("	"3119241.9"	")"	
"1s.8d"	"3D"	"1"	"("	"3119536.0"	")"	
"1s.8d"	"3D"	"2"	"("	"3119536.1"	")"	
"1s.8d"	"3D"	"3"	"("	"3119536.4"	")"	
"1s.8d"	"1D"	"2"	"("	"3119553.0"	")"	
"1s.8h"	"1H*"	"5"	"("	"3119559.0"	")"	
"1s.8h"	"3H*"	"4"	"("	"3119559.0"	")"	
"1s.8h"	"3H*"	"6"	"("	"3119559.0"	")"	
"1s.8h"	"3H*"	"5"	"("	"3119559.0"	")"	
"1s.8i"	"1I"	"6"	"("	"3119559.3"	")"	
"1s.8i"	"3I"	"5"	"("	"3119559.3"	")"	
"1s.8i"	"3I"	"6"	"("	"3119559.3"	")"	
"1s.8i"	"3I"	"7"	"("	"3119559.3"	")"	
"1s.8p"	"1P*"	"1"	"("	"3119643.1"	")"	
"1s.9s"	"3S"	"1"	"("	"3127925.3"	")"	
"1s.9s"	"1S"	"0"	"("	"3128316.1"	")"	
"1s.9p"	"3P*"	"0"	"("	"3128331.3"	")"	
"1s.9p"	"3P*"	"1"	"("	"3128331.4"	")"	
"1s.9p"	"3P*"	"2"	"("	"3128332.8"	")"	
"1s.9d"	"3D"	"1"	"("	"3128539.0"	")"	
"1s.9d"	"3D"	"2"	"("	"3128539.0"	")"	
"1s.9d"	"3D"	"3"	"("	"3128539.2"	")"	
"1s.9d"	"1D"	"2"	"("	"3128551.0"	")"	
"1s.9p"	"1P*"	"1"	"("	"3128614.2"	")"	
"1s.10s"	"3S"	"1"	"("	"3134532.0"	")"	
"1s.10s"	"1S"	"0"	"("	"3134816.0"	")"	
"1s.10p"	"3P*"	"0"	"("	"3134827.2"	")"	
"1s.10p"	"3P*"	"1"	"("	"3134827.2"	")"	
"1s.10p"	"3P*"	"2"	"("	"3134828.2"	")"	
"1s.10d"	"3D"	"1"	"("	"3134978.3"	")"	
"1s.10d"	"3D"	"2"	"("	"3134978.3"	")"	
"1s.10d"	"3D"	"3"	"("	"3134978.5"	")"	
"1s.10d"	"1D"	"2"	"("	"3134987.1"	")"	
"1s.10p"	"1P*"	"1"	"("	"3135033.1"	")"	
"C VI (1s 2S<1/2>)"	"Limit"	"---"	"("	"3162423.60"	")"	
"2s2"	"1S"	"0"	"("	"5294200"	")"	
"2s.2p"	"3P*"	"0"	"("	"5307100"	")"	
"2s.2p"	"3P*"	"1"	"("	"5307200"	")"	
"2s.2p"	"3P*"	"2"	"("	"5307500"	")"	
"2p2"	"3P"	"0"	"("	"5346000"	")"	
"2p2"	"3P"	"1"	"("	"5346100"	")"	
"2p2"	"3P"	"2"	"("	"5346300"	")"	
"2p2"	"1D"	"2"	"("	"5364200"	")"	
"2s.2p"	"1P*"	"1"	"("	"5369500"	")"	
"2p2"	"1S"	"0"	"("	"5434100"	")"	
"2p.3p"	"3D"	"1"	"("	"5788700"	")"	
"2p.3p"	"3D"	"2"	"("	"5788900"	")"	
"2p.3p"	"3D"	"3"	"("	"5789100"	")"	
"2p.3s"	"3P*"	"0"	"("	"5791700"	")"	
"2p.3s"	"3P*"	"1"	"("	"5791800"	")"	
"2p.3s"	"3P*"	"2"	"("	"5792000"	")"	
"2p.3p"	"3P"	"0"	"("	"5806300"	")"	
