Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.0000"	""	
"2p"	"2P*"	"1/2"	"("	"2963878.2865"	")"	
"2p"	"2P*"	"3/2"	"("	"2964353.25787"	")"	
"2s"	"2S"	"1/2"	"("	"2963904.3682"	")"	
"3p"	"2P*"	"1/2"	"("	"3512921.8585"	")"	
"3p"	"2P*"	"3/2"	"("	"3513062.5938"	")"	
"3s"	"2S"	"1/2"	"("	"3512929.6430"	")"	
"3d"	"2D"	"3/2"	"("	"3513062.35914"	")"	
"3d"	"2D"	"5/2"	"("	"3513109.23022"	")"	
"4p"	"2P*"	"1/2"	"("	"3705067.7966"	")"	
"4p"	"2P*"	"3/2"	"("	"3705127.1670"	")"	
"4s"	"2S"	"1/2"	"("	"3705071.0906"	")"	
"4d"	"2D"	"3/2"	"("	"3705127.0668"	")"	
"4d"	"2D"	"5/2"	"("	"3705146.8413"	")"	
"4f"	"2F*"	"5/2"	"("	"3705146.8056"	")"	
"4f"	"2F*"	"7/2"	"("	"3705156.6907"	")"	
"5p"	"2P*"	"1/2"	"("	"3793995.6723"	")"	
"5p"	"2P*"	"3/2"	"("	"3794026.06860"	")"	
"5s"	"2S"	"1/2"	"("	"3793997.3614"	")"	
"5d"	"2D"	"3/2"	"("	"3794026.0169"	")"	
"5d"	"2D"	"5/2"	"("	"3794036.1415"	")"	
"5f"	"2F*"	"5/2"	"("	"3794036.1231"	")"	
"5f"	"2F*"	"7/2"	"("	"3794041.1844"	")"	
"5g"	"2G"	"7/2"	"("	"3794041.17482"	")"	
"5g"	"2G"	"9/2"	"("	"3794044.21132"	")"	
"6p"	"2P*"	"1/2"	"("	"3842298.73212"	")"	
"6p"	"2P*"	"3/2"	"("	"3842316.32191"	")"	
"6s"	"2S"	"1/2"	"("	"3842299.7104"	")"	
"6d"	"2D"	"3/2"	"("	"3842316.2917"	")"	
"6d"	"2D"	"5/2"	"("	"3842322.1508"	")"	
"6f"	"2F*"	"5/2"	"("	"3842322.14011"	")"	
"6f"	"2F*"	"7/2"	"("	"3842325.06911"	")"	
"6g"	"2G"	"7/2"	"("	"3842325.06357"	")"	
"6g"	"2G"	"9/2"	"("	"3842326.82083"	")"	
"6h"	"2H*"	"9/2"	"("	"3842326.817395"	")"	
"6h"	"2H*"	"11/2"	"("	"3842327.988855"	")"	
"7p"	"2P*"	"1/2"	"("	"3871422.36198"	")"	
"7p"	"2P*"	"3/2"	"("	"3871433.43858"	")"	
"7s"	"2S"	"1/2"	"("	"3871422.97834"	")"	
