Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	""	"0.0"	""	
"1s.2s"	"3S"	"1"	"("	"31142728.4"	")"	
"1s.2p"	"3P*"	"0"	"("	"31313397.9"	")"	
"1s.2p"	"3P*"	"1"	"("	"31321065.6"	")"	
"1s.2p"	"3P*"	"2"	"("	"31356907.2"	")"	
"1s.2s"	"1S"	"0"	"("	"31328460.5"	")"	
"1s.2p"	"1P*"	"1"	"("	"31474801.6"	")"	
"1s.3s"	"3S"	"1"	"("	"36871380"	")"	
"1s.3p"	"3P*"	"0"	"("	"36918460"	")"	
"1s.3p"	"3P*"	"1"	"("	"36920746"	")"	
"1s.3p"	"3P*"	"2"	"("	"36931430"	")"	
"1s.3s"	"1S"	"0"	"("	"36920431"	")"	
"1s.3d"	"3D"	"2"	"("	"36957377"	")"	
"1s.3d"	"3D"	"1"	"("	"36957473"	")"	
"1s.3d"	"3D"	"3"	"("	"36961631"	")"	
"1s.3d"	"1D"	"2"	"("	"36963072"	")"	
"1s.3p"	"1P*"	"1"	"("	"36963303"	")"	
"1s.4s"	"3S"	"1"	"("	"38851339"	")"	
"1s.4p"	"3P*"	"0"	"("	"38870710"	")"	
"1s.4p"	"3P*"	"1"	"("	"38871674"	")"	
"1s.4p"	"3P*"	"2"	"("	"38876188"	")"	
"1s.4s"	"1S"	"0"	"("	"38871215"	")"	
"1s.4d"	"3D"	"1"	"("	"38886872"	")"	
"1s.4d"	"3D"	"2"	"("	"38886881"	")"	
"1s.4d"	"3D"	"3"	"("	"38888627"	")"	
"1s.4p"	"1P*"	"1"	"("	"38889211"	")"	
"1s.4f"	"3F*"	"3"	"("	"38889285"	")"	
"1s.4f"	"3F*"	"2"	"("	"38889404"	")"	
"1s.4f"	"3F*"	"4"	"("	"38890288"	")"	
"1s.4d"	"1D"	"2"	"("	"38889367"	")"	
"1s.4f"	"1F*"	"3"	"("	"38890383"	")"	
"1s.5s"	"3S"	"1"	"("	"39762002"	")"	
"1s.5p"	"3P*"	"0"	"("	"39771800"	")"	
"1s.5p"	"3P*"	"1"	"("	"39772294"	")"	
"1s.5p"	"3P*"	"2"	"("	"39774605"	")"	
