Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d5.(6S).4s"	"a 7S"	"3"	""	"0.0000"	""	
"3d5.(6S).4s"	"a 5S"	"2"	""	"7593.1484"	""	
"3d4.4s2"	"a 5D"	"0"	""	"7750.7465"	""	
"3d4.4s2"	"a 5D"	"1"	""	"7810.7795"	""	
"3d4.4s2"	"a 5D"	"2"	""	"7927.4410"	""	
"3d4.4s2"	"a 5D"	"3"	""	"8095.1842"	""	
"3d4.4s2"	"a 5D"	"4"	""	"8307.5753"	""	
"3d5.(4G).4s"	"a 5G"	"2"	""	"20517.4222"	""	
"3d5.(4G).4s"	"a 5G"	"6"	""	"20519.5515"	""	
"3d5.(4G).4s"	"a 5G"	"3"	""	"20520.9029"	""	
"3d5.(4G).4s"	"a 5G"	"4"	""	"20523.6290"	""	
"3d5.(4G).4s"	"a 5G"	"5"	""	"20523.8999"	""	
"3d5.(4P).4s"	"a 5P"	"3"	""	"21840.8096"	""	
"3d5.(4P).4s"	"a 5P"	"2"	""	"21847.8349"	""	
"3d5.(4P).4s"	"a 5P"	"1"	""	"21856.9287"	""	
"3d4.4s2"	"a 3P"	"0"	""	"23163.2205"	""	
"3d4.4s2"	"a 3P"	"1"	""	"23511.9739"	""	
"3d4.4s2"	"a 3P"	"2"	""	"24093.1182"	""	
"3d5.(6S).4p"	"z 7P*"	"2"	""	"23305.0026"	""	
"3d5.(6S).4p"	"z 7P*"	"3"	""	"23386.3419"	""	
"3d5.(6S).4p"	"z 7P*"	"4"	""	"23498.8156"	""	
"3d4.4s2"	"a 3H"	"4"	""	"23933.8561"	""	
"3d4.4s2"	"a 3H"	"5"	""	"24056.0404"	""	
"3d4.4s2"	"a 3H"	"6"	""	"24200.1980"	""	
"3d5.(4D).4s"	"b 5D"	"0"	""	"24277.0546"	""	
"3d5.(4D).4s"	"b 5D"	"4"	""	"24282.3486"	""	
"3d5.(4D).4s"	"b 5D"	"1"	""	"24286.5418"	""	
"3d5.(4D).4s"	"b 5D"	"2"	""	"24299.8419"	""	
"3d5.(4D).4s"	"b 5D"	"3"	""	"24303.9025"	""	
"3d5.(4G).4s"	"a 3G"	"3"	""	"24833.7957"	""	
"3d5.(4G).4s"	"a 3G"	"4"	""	"24897.4635"	""	
"3d5.(4G).4s"	"a 3G"	"5"	""	"25038.4981"	""	
"3d4.4s2"	"a 3F"	"2"	""	"24940.594"	""	
"3d4.4s2"	"a 3F"	"3"	""	"25106.2953"	""	
"3d4.4s2"	"a 3F"	"4"	""	"25177.3539"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"0"	""	"24971.092"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"1"	""	"25010.6397"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"2"	""	"25089.2497"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"3"	""	"25205.9980"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"4"	""	"25359.6141"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"5"	""	"25548.6093"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"6"	""	"25771.417"	""	
"3d5.(6S).4p"	"z 5P*"	"3"	""	"26787.4640"	""	
"3d5.(6S).4p"	"z 5P*"	"2"	""	"26796.2691"	""	
"3d5.(6S).4p"	"z 5P*"	"1"	""	"26801.9009"	""	
"3d5.(4P).4s"	"b 3P"	"0"	""	"27163.1052"	""	
"3d5.(4P).4s"	"b 3P"	"1"	""	"27176.1072"	""	
"3d5.(4P).4s"	"b 3P"	"2"	""	"27222.9417"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7D*"	"1"	""	"27300.1433"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7D*"	"2"	""	"27382.1739"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7D*"	"3"	""	"27500.3699"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7D*"	"4"	""	"27649.6960"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 7D*"	"5"	""	"27825.3207"	""	
"3d4.4s2"	"b 3G"	"3"	""	"27597.2409"	""	
"3d4.4s2"	"b 3G"	"4"	""	"27703.7743"	""	
"3d4.4s2"	"b 3G"	"5"	""	"27816.7783"	""	
"3d4.(5D).4s.4p.(3P*)"	"y 7P*"	"2"	""	"27728.8110"	""	
"3d4.(5D).4s.4p.(3P*)"	"y 7P*"	"3"	""	"27820.1975"	""	
"3d4.(5D).4s.4p.(3P*)"	"y 7P*"	"4"	""	"27935.2412"	""	
"3d5.(4D).4s"	"a 3D"	"3"	""	"28636.9634"	""	
"3d5.(4D).4s"	"a 3D"	"1"	""	"28679.4239"	""	
"3d5.(4D).4s"	"a 3D"	"2"	""	"28682.2050"	""	
"3d4.(5D).4s.4p.(3P*)"	"y 5P*"	"1"	""	"29420.8645"	""	
"3d4.(5D).4s.4p.(3P*)"	"y 5P*"	"2"	""	"29584.5708"	""	
"3d4.(5D).4s.4p.(3P*)"	"y 5P*"	"3"	""	"29824.6909"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"1"	""	"30787.2817"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"2"	""	"30858.7516"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"3"	""	"30965.3799"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"4"	""	"31106.3170"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"5"	""	"31280.3147"	""	
"3d5.(2D3).4s"	"b 3D"	"3"	""	"31008.9708"	""	
"3d5.(2D3).4s"	"b 3D"	"2"	""	"31028.2590"	""	
"3d5.(2D3).4s"	"b 3D"	"1"	""	"31048.7488"	""	
"3d5.(2I).4s"	"a 3I"	"7"	""	"31047.9572"	""	
"3d5.(2I).4s"	"a 3I"	"6"	""	"31049.2155"	""	
"3d5.(2I).4s"	"a 3I"	"5"	""	"31055.2777"	""	
"3d5.(4F).4s"	"a 5F"	"1"	""	"31352.3828"	""	
"3d5.(4F).4s"	"a 5F"	"2"	""	"31355.1192"	""	
"3d5.(4F).4s"	"a 5F"	"3"	""	"31364.2327"	""	
"3d5.(4F).4s"	"a 5F"	"4"	""	"31377.8624"	""	
"3d5.(4F).4s"	"a 5F"	"5"	""	"31393.2968"	""	
"3d4.4s2"	"a 1G"	"4"	""	"31986.786"	""	
"3d4.4s2"	"a 1I"	"6"	""	"32097.2978"	""	
"3d5.(2F1).4s"	"b 3F"	"2"	""	"33039.969"	""	
"3d5.(2F1).4s"	"b 3F"	"3"	""	"33060.661"	""	
"3d5.(2F1).4s"	"b 3F"	"4"	""	"33113.212"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5D*"	"0"	""	"33338.2563"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5D*"	"1"	""	"33423.7845"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5D*"	"2"	""	"33542.0985"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5D*"	"3"	""	"33671.5273"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 5D*"	"4"	""	"33816.0334"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 3P*"	"0"	""	"33762.5326"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	""	"33897.2506"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 3P*"	"2"	""	"34190.4320"	""	
"3d5.(2I).4s"	"b 1I"	"6"	""	"33762.6622"	""	
"3d4.4s2"	"c 3D"	"1"	""	"33906.539"	""	
"3d4.4s2"	"c 3D"	"3"	""	"33934.757"	""	
"3d4.4s2"	"c 3D"	"2"	""	"33935.613"	""	
"3d6"	"c 5D"	"4"	""	"35397.9566"	""	
"3d6"	"c 5D"	"3"	""	"35501.1774"	""	
"3d6"	"c 5D"	"2"	""	"35572.9194"	""	
"3d6"	"c 5D"	"1"	""	"35618.4806"	""	
"3d6"	"c 5D"	"0"	""	"35640.6434"	""	
"3d5.(4F).4s"	"c 3F"	"2"	""	"35807.707"	""	
"3d5.(4F).4s"	"c 3F"	"3"	""	"35813.685"	""	
"3d5.(4F).4s"	"c 3F"	"4"	""	"35862.764"	""	
"3d5.(2H).4s"	"b 3H"	"4"	""	"35870.458"	""	
"3d5.(2H).4s"	"b 3H"	"5"	""	"35884.255"	""	
"3d5.(2H).4s"	"b 3H"	"6"	""	"35933.906"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 3F*"	"2"	""	"35897.7833"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 3F*"	"3"	""	"36034.1524"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 3F*"	"4"	""	"36212.1339"	""	
"3d5.(2F2).4s"	"d 3F"	"3"	""	"36552.1351"	""	
"3d5.(2F2).4s"	"d 3F"	"2"	""	"36558.446"	""	
"3d5.(2F2).4s"	"d 3F"	"4"	""	"36577.6545"	""	
"3d5.(6S).5s"	"e 7S"	"3"	""	"36895.8060"	""	
"3d5.(2G2).4s"	"c 3G"	"3"	""	"37205.851"	""	
"3d5.(2G2).4s"	"c 3G"	"5"	""	"37233.423"	""	
"3d5.(2G2).4s"	"c 3G"	"4"	""	"37244.011"	""	
"3d5.(6S).5s"	"e 5S"	"2"	""	"37883.4010"	""	
"3d5.(2H).4s"	"a 1H"	"5"	""	"38537.591"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 3D*"	"1"	""	"38596.9917"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 3D*"	"2"	""	"38730.6379"	""	
"3d4.(5D).4s.4p.(3P*)"	"z 3D*"	"3"	""	"38911.3046"	""	
"3d5.(2G2).4s"	"b 1G"	"4"	""	"39158.64"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5F*"	"1"	""	"40906.418"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5F*"	"2"	""	"40971.2599"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5F*"	"3"	""	"41086.218"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5F*"	"4"	""	"41224.7429"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5F*"	"5"	""	"41393.446"	""	
"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"1"	""	"40930.2744"	""	
"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"2"	""	"40982.7898"	""	
"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"3"	""	"41043.3464"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"0"	""	"41224.751"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"1"	""	"41289.1133"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"2"	""	"41408.9840"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"3"	""	"41575.099"	""	
"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"4"	""	"41782.1313"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5H*"	"3"	""	"42025.4956"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5H*"	"4"	""	"42079.7263"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5H*"	"5"	""	"42153.499"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5H*"	"6"	""	"42252.141"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5H*"	"7"	""	"42387.260"	""	
"3d4.(3P1).4s.4p.(3P*)"	"x 5D*"	"0"	""	"42218.321"	""	
"3d4.(3P1).4s.4p.(3P*)"	"x 5D*"	"1"	""	"42292.8417"	""	
"3d4.(3P1).4s.4p.(3P*)"	"x 5D*"	"2"	""	"42438.751"	""	
"3d4.(3P1).4s.4p.(3P*)"	"x 5D*"	"3"	""	"42648.2577"	""	
"3d4.(3P1).4s.4p.(3P*)"	"x 5D*"	"4"	""	"42908.3681"	""	
"3d5.(6S).5p"	"x 7P*"	"2"	""	"42237.957"	""	
"3d5.(6S).5p"	"x 7P*"	"3"	""	"42253.966"	""	
"3d5.(6S).5p"	"x 7P*"	"4"	""	"42275.19"	""	
"3d5.(6S).4d"	"e 7D"	"1"	""	"42253.2416"	""	
"3d5.(6S).4d"	"e 7D"	"2"	""	"42254.3929"	""	
"3d5.(6S).4d"	"e 7D"	"3"	""	"42256.0868"	""	
"3d5.(6S).4d"	"e 7D"	"4"	""	"42258.3607"	""	
"3d5.(6S).4d"	"e 7D"	"5"	""	"42261.2258"	""	
"3d5.(4G).4p"	"z 5G*"	"2"	""	"42515.3342"	""	
"3d5.(4G).4p"	"z 5G*"	"3"	""	"42538.7424"	""	
"3d5.(4G).4p"	"z 5G*"	"4"	""	"42564.7783"	""	
"3d5.(4G).4p"	"z 5G*"	"5"	""	"42589.1721"	""	
"3d5.(4G).4p"	"z 5G*"	"6"	""	"42605.7080"	""	
"3d5.(4P).4p"	"z 5S*"	"2"	""	"43124.806"	""	
"3d5.(6S).4d"	"e 5D"	"4"	""	"44050.9786"	""	
"3d5.(6S).4d"	"e 5D"	"3"	""	"44068.8470"	""	
"3d5.(6S).4d"	"e 5D"	"2"	""	"44080.9973"	""	
"3d5.(6S).4d"	"e 5D"	"1"	""	"44088.9776"	""	
"3d5.(6S).4d"	"e 5D"	"0"	""	"44092.9034"	""	
"3d5.(6S).5p"	"w 5P*"	"1"	""	"44125.7144"	""	
"3d5.(6S).5p"	"w 5P*"	"2"	""	"44186.7624"	""	
"3d5.(6S).5p"	"w 5P*"	"3"	""	"44259.182"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5I*"	"4"	""	"44246.557"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5I*"	"5"	""	"44307.97"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5I*"	"6"	""	"44393.02"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5I*"	"7"	""	"44514.35"	""	
"3d4.(3H).4s.4p.(3P*)"	"z 5I*"	"8"	""	"44666.532"	""	
