Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"2s2.2p5"	"2P*"	"3/2"	""	"0"	""	
"2s2.2p5"	"2P*"	"1/2"	"["	"2935100"	"]"	
"2s.2p6"	"(1/2,0)"	"1/2"	"["	"5448700"	"]"	
"(2s2.2p2<1/2>.2p2<3/2>).3s"	"(2,1/2)"	"5/2"	"("	"36264638"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3s"	"(2,1/2)"	"3/2"	"("	"36327406"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3s"	"(0,1/2)"	"1/2"	"("	"36600316"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3p"	"(2,1/2)*"	"3/2"	"("	"36973962"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3p"	"(2,1/2)*"	"5/2"	"("	"36994922"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3p"	"(0,1/2)*"	"1/2"	"("	"37291644"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3p"	"(2,3/2)*"	"5/2"	"("	"37776012"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3p"	"(2,3/2)*"	"7/2"	"("	"37780512"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3p"	"(2,3/2)*"	"1/2"	"("	"37787754"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3p"	"(2,3/2)*"	"3/2"	"("	"38040802"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3p"	"(0,3/2)*"	"3/2"	"("	"38168204"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(2,3/2)"	"3/2"	"("	"38599351"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(2,3/2)"	"5/2"	"("	"38611641"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(2,3/2)"	"1/2"	"("	"38631832"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(2,3/2)"	"7/2"	"("	"38634027"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(2,5/2)"	"7/2"	"("	"38790618"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(2,5/2)"	"9/2"	"("	"38799397"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(2,5/2)"	"1/2"	"("	"38875882"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(2,5/2)"	"5/2"	"("	"39010636"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(2,5/2)"	"3/2"	"("	"39042459"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(0,3/2)"	"3/2"	"("	"38904084"	")"	
"(2s2.2p2<1/2>.2p2<3/2>).3d"	"(0,5/2)"	"5/2"	"("	"39184785"	")"	
"(2s2.2p<1/2>.2p3<3/2>).3s"	"(1,1/2)"	"3/2"	"("	"39193673"	")"	
"(2s2.2p<1/2>.2p3<3/2>).3s"	"(1,1/2)"	"1/2"	"("	"39243273"	")"	
"(2s2.2p<1/2>.2p3<3/2>).3s"	"(2,1/2)"	"5/2"	"("	"39344668"	")"	
"(2s2.2p<1/2>.2p3<3/2>).3s"	"(2,1/2)"	"3/2"	"("	"39365298"	")"	
"(2s2.2p<1/2>.2p3<3/2>).3p"	"(1,1/2)*"	"1/2"	"("	"39875235"	")"	
