Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.000"	""	
"2p"	"2P*"	"1/2"	"("	"6672121.7826"	")"	
"2p"	"2P*"	"3/2"	"("	"6674529.9291"	")"	
"2s"	"2S"	"1/2"	"("	"6672233.275"	")"	
"3p"	"2P*"	"1/2"	"("	"7908567.746"	")"	
"3p"	"2P*"	"3/2"	"("	"7909281.312"	")"	
"3s"	"2S"	"1/2"	"("	"7908601.002"	")"	
"3d"	"2D"	"3/2"	"("	"7909280.1079"	")"	
"3d"	"2D"	"5/2"	"("	"7909517.4952"	")"	
"4p"	"2P*"	"1/2"	"("	"8341225.878"	")"	
"4p"	"2P*"	"3/2"	"("	"8341526.886"	")"	
"4s"	"2S"	"1/2"	"("	"8341239.957"	")"	
"4d"	"2D"	"3/2"	"("	"8341526.371"	")"	
"4d"	"2D"	"5/2"	"("	"8341626.528"	")"	
"4f"	"2F*"	"5/2"	"("	"8341626.3472"	")"	
"4f"	"2F*"	"7/2"	"("	"8341676.4012"	")"	
"5p"	"2P*"	"1/2"	"("	"8541442.977"	")"	
"5p"	"2P*"	"3/2"	"("	"8541597.0775"	")"	
"5s"	"2S"	"1/2"	"("	"8541450.197"	")"	
"5d"	"2D"	"3/2"	"("	"8541596.8115"	")"	
"5d"	"2D"	"5/2"	"("	"8541648.0925"	")"	
"5f"	"2F*"	"5/2"	"("	"8541647.9995"	")"	
"5f"	"2F*"	"7/2"	"("	"8541673.6275"	")"	
"5g"	"2G"	"7/2"	"("	"8541673.5794"	")"	
"5g"	"2G"	"9/2"	"("	"8541688.9536"	")"	
"6p"	"2P*"	"1/2"	"("	"8650185.4365"	")"	
"6p"	"2P*"	"3/2"	"("	"8650274.6075"	")"	
"6s"	"2S"	"1/2"	"("	"8650189.619"	")"	
"6d"	"2D"	"3/2"	"("	"8650274.4525"	")"	
"6d"	"2D"	"5/2"	"("	"8650304.1285"	")"	
"6f"	"2F*"	"5/2"	"("	"8650304.0745"	")"	
"6f"	"2F*"	"7/2"	"("	"8650318.9065"	")"	
"6g"	"2G"	"7/2"	"("	"8650318.8781"	")"	
"6g"	"2G"	"9/2"	"("	"8650327.7755"	")"	
"6h"	"2H*"	"9/2"	"("	"8650327.75814"	")"	
"6h"	"2H*"	"11/2"	"("	"8650333.68913"	")"	
"7p"	"2P*"	"1/2"	"("	"8715745.6403"	")"	
"7p"	"2P*"	"3/2"	"("	"8715801.7913"	")"	
"7s"	"2S"	"1/2"	"("	"8715748.2756"	")"	
"7d"	"2D"	"3/2"	"("	"8715801.6933"	")"	
"7d"	"2D"	"5/2"	"("	"8715820.3813"	")"	
"7f"	"2F*"	"5/2"	"("	"8715820.3467"	")"	
"7f"	"2F*"	"7/2"	"("	"8715829.6868"	")"	
"7g"	"2G"	"7/2"	"("	"8715829.6690"	")"	
"7g"	"2G"	"9/2"	"("	"8715835.2721"	")"	
"7h"	"2H*"	"9/2"	"("	"8715835.26113"	")"	
"7h"	"2H*"	"11/2"	"("	"8715838.99623"	")"	
"7i"	"2I"	"11/2"	"("	"8715838.98873"	")"	
"7i"	"2I"	"13/2"	"("	"8715841.65646"	")"	
"8p"	"2P*"	"1/2"	"("	"8758292.6336"	")"	
"8p"	"2P*"	"3/2"	"("	"8758330.2479"	")"	
"8s"	"2S"	"1/2"	"("	"8758294.3991"	")"	
"8d"	"2D"	"3/2"	"("	"8758330.1817"	")"	
"8d"	"2D"	"5/2"	"("	"8758342.7009"	")"	
"8f"	"2F*"	"5/2"	"("	"8758342.6779"	")"	
"8f"	"2F*"	"7/2"	"("	"8758348.9351"	")"	
"8g"	"2G"	"7/2"	"("	"8758348.9231"	")"	
"8g"	"2G"	"9/2"	"("	"8758352.6768"	")"	
"8h"	"2H*"	"9/2"	"("	"8758352.66935"	")"	
"8h"	"2H*"	"11/2"	"("	"8758355.17155"	")"	
"8i"	"2I"	"11/2"	"("	"8758355.16653"	")"	
"8i"	"2I"	"13/2"	"("	"8758356.95373"	")"	
"8k"	"2K*"	"13/2"	"("	"8758356.950081"	")"	
"8k"	"2K*"	"15/2"	"("	"8758358.290431"	")"	
"9p"	"2P*"	"1/2"	"("	"8787460.4599"	")"	
"9p"	"2P*"	"3/2"	"("	"8787486.8765"	")"	
"9s"	"2S"	"1/2"	"("	"8787461.7005"	")"	
"9d"	"2D"	"3/2"	"("	"8787486.8299"	")"	
"9d"	"2D"	"5/2"	"("	"8787495.6223"	")"	
"9f"	"2F*"	"5/2"	"("	"8787495.6062"	")"	
"9f"	"2F*"	"7/2"	"("	"8787500.0007"	")"	
"9g"	"2G"	"7/2"	"("	"8787499.99232"	")"	
"9g"	"2G"	"9/2"	"("	"8787502.62872"	")"	
"9h"	"2H*"	"9/2"	"("	"8787502.62349"	")"	
"9h"	"2H*"	"11/2"	"("	"8787504.38088"	")"	
"9i"	"2I"	"11/2"	"("	"8787504.37735"	")"	
"9i"	"2I"	"13/2"	"("	"8787505.63256"	")"	
"9k"	"2K*"	"13/2"	"("	"8787505.629996"	")"	
"9k"	"2K*"	"15/2"	"("	"8787506.571366"	")"	
"9l"	"2L"	"15/2"	"("	"8787506.569421"	")"	
"9l"	"2L"	"17/2"	"("	"8787507.301587"	")"	
"10p"	"2P*"	"1/2"	"("	"8808322.7189"	")"	
"10p"	"2P*"	"3/2"	"("	"8808341.9759"	")"	
"10s"	"2S"	"1/2"	"("	"8808323.6235"	")"	
"10d"	"2D"	"3/2"	"("	"8808341.9418"	")"	
"10d"	"2D"	"5/2"	"("	"8808348.3514"	")"	
"10f"	"2F*"	"5/2"	"("	"8808348.3396"	")"	
"10f"	"2F*"	"7/2"	"("	"8808351.5433"	")"	
"10g"	"2G"	"7/2"	"("	"8808351.53713"	")"	
"10g"	"2G"	"9/2"	"("	"8808353.45903"	")"	
"10h"	"2H*"	"9/2"	"("	"8808353.45524"	")"	
"10h"	"2H*"	"11/2"	"("	"8808354.73639"	")"	
"10i"	"2I"	"11/2"	"("	"8808354.73381"	")"	
"10i"	"2I"	"13/2"	"("	"8808355.64886"	")"	
"10k"	"2K*"	"13/2"	"("	"8808355.646993"	")"	
"10k"	"2K*"	"15/2"	"("	"8808356.333263"	")"	
"10l"	"2L"	"15/2"	"("	"8808356.331837"	")"	
"10l"	"2L"	"17/2"	"("	"8808356.865589"	")"	
"10m"	"2M*"	"17/2"	"("	"8808356.864471"	")"	
"10m"	"2M*"	"19/2"	"("	"8808357.291466"	")"	
"11p"	"2P*"	"1/2"	"("	"8823757.6222"	")"	
"11p"	"2P*"	"3/2"	"("	"8823772.0896"	")"	
"11s"	"2S"	"1/2"	"("	"8823758.3018"	")"	
"11d"	"2D"	"3/2"	"("	"8823772.0640"	")"	
"11d"	"2D"	"5/2"	"("	"8823776.8796"	")"	
"11f"	"2F*"	"5/2"	"("	"8823776.8707"	")"	
"11f"	"2F*"	"7/2"	"("	"8823779.2776"	")"	
"11g"	"2G"	"7/2"	"("	"8823779.27305"	")"	
"11g"	"2G"	"9/2"	"("	"8823780.71705"	")"	
"11h"	"2H*"	"9/2"	"("	"8823780.71416"	")"	
"11h"	"2H*"	"11/2"	"("	"8823781.67670"	")"	
"11i"	"2I"	"11/2"	"("	"8823781.67476"	")"	
"11i"	"2I"	"13/2"	"("	"8823782.36226"	")"	
"11k"	"2K*"	"13/2"	"("	"8823782.360850"	")"	
"11k"	"2K*"	"15/2"	"("	"8823782.876450"	")"	
"11l"	"2L"	"15/2"	"("	"8823782.875383"	")"	
"11l"	"2L"	"17/2"	"("	"8823783.276401"	")"	
"11m"	"2M*"	"17/2"	"("	"8823783.275561"	")"	
"11m"	"2M*"	"19/2"	"("	"8823783.596370"	")"	
"11n"	"2N"	"19/2"	"("	"8823783.5956905"	")"	
"11n"	"2N"	"21/2"	"("	"8823783.8581675"	")"	
"12p"	"2P*"	"1/2"	"("	"8835496.6126"	")"	
"12s"	"2S"	"1/2"	"("	"8835497.1362"	")"	
"12o"	"2O*"	"23/2"	"("	"8835516.9886583"	")"	
"13p"	"2P*"	"1/2"	"("	"8844631.9622"	")"	
"13s"	"2S"	"1/2"	"("	"8844632.3740"	")"	
"13q"	"2Q"	"25/2"	"("	"8844648.1000455"	")"	
"14p"	"2P*"	"1/2"	"("	"8851880.34553"	")"	
"14s"	"2S"	"1/2"	"("	"8851880.67535"	")"	
"14r"	"2R*"	"27/2"	"("	"8851893.3430230"	")"	
"15p"	"2P*"	"1/2"	"("	"8857727.80473"	")"	
"15s"	"2S"	"1/2"	"("	"8857728.07287"	")"	
"15t"	"2T"	"29/2"	"("	"8857738.42606444"	")"	
"16p"	"2P*"	"1/2"	"("	"8862513.40144"	")"	
"16s"	"2S"	"1/2"	"("	"8862513.62241"	")"	
"16u"	"2U*"	"31/2"	"("	"8862522.19206546"	")"	
"17p"	"2P*"	"1/2"	"("	"8866479.49867"	")"	
"17s"	"2S"	"1/2"	"("	"8866479.68290"	")"	
"17v"	"2V"	"33/2"	"("	"8866486.85607702"	")"	
"18p"	"2P*"	"1/2"	"("	"8869803.06070"	")"	
"18s"	"2S"	"1/2"	"("	"8869803.21594"	")"	
"18w"	"2W*"	"35/2"	"("	"8869809.28014689"	")"	
"19p"	"2P*"	"1/2"	"("	"8872615.74095"	")"	
"19s"	"2S"	"1/2"	"("	"8872615.87288"	")"	
"19x"	"2X"	"37/2"	"("	"8872621.04541422"	")"	
"20p"	"2P*"	"1/2"	"("	"8875017.12296"	")"	
"20s"	"2S"	"1/2"	"("	"8875017.23610"	")"	
"20y"	"2Y*"	"39/2"	"("	"8875021.68348590"	")"	
""	"Limit"	"---"	"("	"8897242.908"	")"	
