Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d6"	"5D"	"4"	""	"0.00"	""	
"3d6"	"5D"	"3"	""	"436.19"	""	
"3d6"	"5D"	"2"	""	"738.87"	""	
"3d6"	"5D"	"1"	""	"932.52"	""	
"3d6"	"5D"	"0"	""	"1027.26"	""	
"3d6"	"a 3P"	"2"	""	"19404.42"	""	
"3d6"	"a 3P"	"1"	""	"20688.12"	""	
"3d6"	"a 3P"	"0"	""	"21208.12"	""	
"3d6"	"3H"	"6"	""	"20051.36"	""	
"3d6"	"3H"	"5"	""	"20300.59"	""	
"3d6"	"3H"	"4"	""	"20481.72"	""	
"3d6"	"a 3F"	"4"	""	"21461.92"	""	
"3d6"	"a 3F"	"3"	""	"21699.79"	""	
"3d6"	"a 3F"	"2"	""	"21857.08"	""	
"3d6"	"3G"	"5"	""	"24558.44"	""	
"3d6"	"3G"	"4"	""	"24941.12"	""	
"3d6"	"3G"	"3"	""	"25142.12"	""	
"3d5.(6S).4s"	"7S"	"3"	""	"30089.69"	""	
"3d6"	"1I"	"6"	""	"30355.88"	""	
"3d6"	"3D"	"2"	""	"30715.98"	""	
"3d6"	"3D"	"1"	""	"30725.46"	""	
"3d6"	"3D"	"3"	""	"30857.69"	""	
"3d6"	"a 1G"	"4"	""	"30886.19"	""	
"3d6"	"a 1S"	"0"	""	"34811.9"	""	
"3d6"	"a 1D"	"2"	""	"35803.01"	""	
"3d5.(6S).4s"	"5S"	"2"	""	"41000.31"	""	
"3d6"	"1F"	"3"	""	"42896.27"	""	
"3d6"	"b 3P"	"0"	""	"49149.58"	""	
"3d6"	"b 3P"	"1"	""	"49577.27"	""	
"3d6"	"b 3P"	"2"	""	"50411.95"	""	
"3d6"	"b 3F"	"2"	""	"50184.97"	""	
"3d6"	"b 3F"	"4"	""	"50276.19"	""	
"3d6"	"b 3F"	"3"	""	"50295.10"	""	
"3d6"	"b 1G"	"4"	""	"57221.20"	""	
"3d5.(4G).4s"	"5G"	"6"	""	"63425.74"	""	
"3d5.(4G).4s"	"5G"	"5"	""	"63466.85"	""	
"3d5.(4G).4s"	"5G"	"4"	""	"63487.32"	""	
"3d5.(4G).4s"	"5G"	"3"	""	"63494.73"	""	
"3d5.(4G).4s"	"5G"	"2"	""	"63495.00"	""	
"3d5.(4P).4s"	"5P"	"3"	""	"66465.04"	""	
"3d5.(4P).4s"	"5P"	"2"	""	"66523.30"	""	
"3d5.(4P).4s"	"5P"	"1"	""	"66592.08"	""	
"3d5.(4D).4s"	"5D"	"4"	""	"69696.16"	""	
"3d5.(4D).4s"	"5D"	"0"	""	"69747.95"	""	
"3d5.(4D).4s"	"5D"	"1"	""	"69788.52"	""	
"3d5.(4D).4s"	"5D"	"3"	""	"69837.15"	""	
"3d5.(4D).4s"	"5D"	"2"	""	"69838.15"	""	
"3d5.(4G).4s"	"3G"	"5"	""	"70694.40"	""	
"3d5.(4G).4s"	"3G"	"3"	""	"70725.46"	""	
"3d5.(4G).4s"	"3G"	"4"	""	"70729.12"	""	
"3d5.(4P).4s"	"3P"	"2"	""	"73728.05"	""	
"3d5.(4P).4s"	"3P"	"1"	""	"73849.35"	""	
"3d5.(4P).4s"	"3P"	"0"	""	"73936.34"	""	
"3d5.(4D).4s"	"3D"	"3"	""	"76957.02"	""	
"3d5.(4D).4s"	"3D"	"1"	""	"77075.66"	""	
"3d5.(4D).4s"	"3D"	"2"	""	"77102.66"	""	
"3d6"	"b 1D"	"2"	""	"77044.67"	""	
"3d5.(2I).4s"	"3I"	"7"	""	"79840.34"	""	
"3d5.(2I).4s"	"3I"	"6"	""	"79845.04"	""	
"3d5.(2I).4s"	"3I"	"5"	""	"79860.75"	""	
"3d5.(6S).4p"	"7P*"	"2"	""	"82002.12"	""	
"3d5.(6S).4p"	"7P*"	"3"	""	"82334.43"	""	
"3d5.(6S).4p"	"7P*"	"4"	""	"82846.99"	""	
"3d5.(a 2D).4s"	"3D"	"3"	""	"82383.08"	""	
"3d5.(a 2D).4s"	"3D"	"2"	""	"82411.15"	""	
"3d5.(a 2D).4s"	"3D"	"1"	""	"82495.15"	""	
"3d5.(4F).4s"	"5F"	"5"	""	"83138.66"	""	
"3d5.(4F).4s"	"5F"	"4"	""	"83161.80"	""	
"3d5.(4F).4s"	"5F"	"3"	""	"83238.19"	""	
"3d5.(4F).4s"	"5F"	"2"	""	"83359.20"	""	
"3d5.(4F).4s"	"5F"	"1"	""	"83647.26"	""	
"3d5.(2I).4s"	"1I"	"6"	""	"83429.86"	""	
"3d5.(a 2F).4s"	"3F"	"4"	""	"84159.77"	""	
"3d5.(a 2F).4s"	"3F"	"2"	""	"84370.15"	""	
"3d5.(a 2F).4s"	"3F"	"3"	""	"84672.08"	""	
"3d5.(a 2D).4s"	"1D"	"2"	""	"86847.15"	""	
"3d5.(a 2F).4s"	"1F"	"3"	""	"87902.06"	""	
"3d5.(2H).4s"	"3H"	"4"	""	"88664.08"	""	
"3d5.(2H).4s"	"3H"	"5"	""	"88694.86"	""	
"3d5.(2H).4s"	"3H"	"6"	""	"88923.29"	""	
"3d5.(6S).4p"	"5P*"	"3"	""	"89085.20"	""	
"3d5.(6S).4p"	"5P*"	"2"	""	"89334.88"	""	
"3d5.(6S).4p"	"5P*"	"1"	""	"89491.77"	""	
"3d5.(a 2G).4s"	"3G"	"3"	""	"89697.74"	""	
"3d5.(a 2G).4s"	"3G"	"4"	""	"89783.78"	""	
"3d5.(a 2G).4s"	"3G"	"5"	""	"89908.09"	""	
"3d5.(4F).4s"	"3F"	"2"	""	"90423.78"	""	
"3d5.(4F).4s"	"3F"	"4"	""	"90472.61"	""	
"3d5.(4F).4s"	"3F"	"3"	""	"90484.18"	""	
"3d5.(2H).4s"	"1H"	"5"	""	"92523.93"	""	
"3d5.(b 2F).4s"	"3F"	"4"	""	"93388.77"	""	
"3d5.(b 2F).4s"	"3F"	"3"	""	"93392.55"	""	
"3d5.(b 2F).4s"	"3F"	"2"	""	"93413.07"	""	
"3d5.(a 2G).4s"	"1G"	"4"	""	"93512.71"	""	
"3d5.(b 2F).4s"	"1F"	"3"	""	"97041.49"	""	
"3d5.(2S).4s"	"3S"	"1"	""	"98662.78"	""	
"3d5.(2S).4s"	"1S"	"0"	""	"102410.35"	""	
"3d5.(b 2D).4s"	"3D"	"1"	""	"105895.34"	""	
"3d5.(b 2D).4s"	"3D"	"2"	""	"105906.27"	""	
"3d5.(b 2D).4s"	"3D"	"3"	""	"105929.25"	""	
"3d5.(b 2D).4s"	"1D"	"2"	""	"109570.98"	""	
"3d5.(4G).4p"	"5G*"	"2"	""	"113584.31"	""	
"3d5.(4G).4p"	"5G*"	"3"	""	"113605.74"	""	
"3d5.(4G).4p"	"5G*"	"4"	""	"113635.56"	""	
"3d5.(4G).4p"	"5G*"	"5"	""	"113677.29"	""	
"3d5.(4G).4p"	"5G*"	"6"	""	"113739.99"	""	
"3d5.(b 2G).4s"	"3G"	"5"	""	"114325.49"	""	
"3d5.(b 2G).4s"	"3G"	"4"	""	"114340.26"	""	
"3d5.(b 2G).4s"	"3G"	"3"	""	"114352.21"	""	
"3d5.(4G).4p"	"5H*"	"3"	""	"114948.83"	""	
"3d5.(4G).4p"	"5H*"	"4"	""	"115111.37"	""	
"3d5.(4G).4p"	"5H*"	"5"	""	"115290.31"	""	
"3d5.(4G).4p"	"5H*"	"6"	""	"115474.52"	""	
"3d5.(4G).4p"	"5H*"	"7"	""	"115642.70"	""	
"3d5.(4G).4p"	"5F*"	"5"	""	"116316.85"	""	
"3d5.(4G).4p"	"5F*"	"4"	""	"116467.59"	""	
"3d5.(4G).4p"	"5F*"	"3"	""	"116475.56"	""	
"3d5.(4G).4p"	"5F*"	"2"	""	"116898.44"	""	
"3d5.(4G).4p"	"5F*"	"1"	""	"116937.86"	""	
"3d5.(4P).4p"	"5D*"	"0"	""	"116365.03"	""	
"3d5.(4P).4p"	"5D*"	"1"	""	"116380.24"	""	
"3d5.(4P).4p"	"5D*"	"2"	""	"116419.72"	""	
"3d5.(4P).4p"	"5D*"	"3"	""	"117068.82"	""	
"3d5.(4P).4p"	"5D*"	"4"	""	"117521.99"	""	
"3d5.(4P).4p"	"5S*"	"2"	""	"116975.21"	""	
"3d5.(b 2G).4s"	"1G"	"4"	""	"117950.17"	""	
"3d5.(4G).4p"	"3F*"	"2"	""	"118163.70"	""	
"3d5.(4G).4p"	"3F*"	"4"	""	"118350.42"	""	
"3d5.(4G).4p"	"3F*"	"3"	""	"118443.27"	""	
"3d5.(4P).4p"	"5P*"	"3"	""	"118246.74"	""	
"3d5.(4P).4p"	"5P*"	"2"	""	"118721.77"	""	
"3d5.(4P).4p"	"5P*"	"1"	""	"118868.04"	""	
"3d5.(4G).4p"	"3H*"	"6"	""	"118355.20"	""	
"3d5.(4G).4p"	"3H*"	"5"	""	"118557.32"	""	
"3d5.(4G).4p"	"3H*"	"4"	""	"118686.41"	""	
"3d5.(4P).4p"	"3P*"	"2"	""	"119697.69"	""	
"3d5.(4P).4p"	"3P*"	"1"	""	"119982.34"	""	
"3d5.(4P).4p"	"3P*"	"0"	""	"120180.06"	""	
"3d5.(4D).4p"	"5F*"	"1"	""	"120697.39"	""	
"3d5.(4D).4p"	"5F*"	"2"	""	"120826.34"	""	
"3d5.(4D).4p"	"5F*"	"3"	""	"121008.91"	""	
"3d5.(4D).4p"	"5F*"	"4"	""	"121241.90"	""	
"3d5.(4D).4p"	"5F*"	"5"	""	"121469.06"	""	
"3d5.(4G).4p"	"3G*"	"3"	""	"121919.84"	""	
"3d5.(4G).4p"	"3G*"	"4"	""	"121941.47"	""	
"3d5.(4G).4p"	"3G*"	"5"	""	"121949.78"	""	
"3d5.(4P).4p"	"3D*"	"3"	""	"122346.75"	""	
"3d5.(4P).4p"	"3D*"	"2"	""	"122898.90"	""	
"3d5.(4P).4p"	"3D*"	"1"	""	"122921.66"	""	
"3d5.(4D).4p"	"5D*"	"2"	""	"122628.53"	""	
"3d5.(4D).4p"	"5D*"	"3"	""	"122829.68"	""	
"3d5.(4D).4p"	"5D*"	"1"	""	"122843.34"	""	
"3d5.(4D).4p"	"5D*"	"4"	""	"122944.26"	""	
"3d5.(4D).4p"	"5D*"	"0"	""	"123455.87"	""	
"3d5.(4D).4p"	"5P*"	"1"	""	"123553.12"	""	
"3d5.(4D).4p"	"5P*"	"2"	""	"123697.15"	""	
"3d5.(4D).4p"	"5P*"	"3"	""	"123750.63"	""	
"3d5.(4D).4p"	"3D*"	"3"	""	"124854.11"	""	
"3d5.(4D).4p"	"3D*"	"2"	""	"124904.09"	""	
"3d5.(4D).4p"	"3D*"	"1"	""	"124955.09"	""	
"3d5.(4D).4p"	"3F*"	"4"	""	"125443.72"	""	
"3d5.(4D).4p"	"3F*"	"3"	""	"125638.11"	""	
"3d5.(4D).4p"	"3F*"	"2"	""	"125673.05"	""	
"3d5.(4P).4p"	"3S*"	"1"	""	"126390.74"	""	
"3d5.(4D).4p"	"3P*"	"0"	""	"128371.99"	""	
"3d5.(4D).4p"	"3P*"	"1"	""	"128605.74"	""	
"3d5.(4D).4p"	"3P*"	"2"	""	"128917.66"	""	
"3d5.(2I).4p"	"3K*"	"6"	""	"129854.98"	""	
"3d5.(2I).4p"	"3K*"	"7"	""	"130040.60"	""	
"3d5.(2I).4p"	"3K*"	"8"	""	"130852.29"	""	
"3d5.(2I).4p"	"3I*"	"5"	""	"130256.42"	""	
"3d5.(2I).4p"	"3I*"	"6"	""	"130756.91"	""	
"3d5.(2I).4p"	"3I*"	"7"	""	"131035.14"	""	
"3d5.(2P).4s"	"3P"	"2"	""	"130857.17"	""	
"3d5.(2P).4s"	"3P"	"1"	""	"130862.08"	""	
"3d5.(2P).4s"	"3P"	"0"	""	"130869.1"	""	
"3d5.(a 2D).4p"	"1D*"	"2"	""	"131445.12"	""	
"3d5.(2I).4p"	"1H*"	"5"	""	"131710.73"	""	
"3d5.(2I).4p"	"1K*"	"7"	""	"131991.74"	""	
"3d5.(a 2D).4p"	"3F*"	"3"	""	"132080.04"	""	
"3d5.(a 2D).4p"	"3F*"	"2"	""	"132105.12"	""	
"3d5.(a 2D).4p"	"3F*"	"4"	""	"132785.41"	""	
"3d5.(2I).4p"	"3H*"	"6"	""	"132262.65"	""	
"3d5.(2I).4p"	"3H*"	"5"	""	"132564.91"	""	
"3d5.(2I).4p"	"3H*"	"4"	""	"132659.48"	""	
"3d5.(a 2D).4p"	"3P*"	"2"	""	"134265.49"	""	
"3d5.(a 2D).4p"	"3P*"	"1"	""	"134549.41"	""	
"3d5.(a 2D).4p"	"3P*"	"0"	""	"135088.55"	""	
"3d5.(a 2F).4p"	"1G*"	"4"	""	"134360.41"	""	
"3d5.(2P).4s"	"1P"	"1"	""	"134443.91"	""	
"3d5.(a 2F).4p"	"3G*"	"3"	""	"134549.01"	""	
"3d5.(a 2F).4p"	"3G*"	"5"	""	"135316.64"	""	
"3d5.(a 2F).4p"	"3G*"	"4"	""	"135554.39"	""	
"3d5.(4F).4p"	"5G*"	"2"	""	"134938.17"	""	
