Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	""	"0"	""	
"1s.2s"	"3S"	"1"	"("	"76910055"	")"	
"1s.2p"	"3P*"	"0"	"("	"77201852"	")"	
"1s.2p"	"3P*"	"1"	"("	"77223131"	")"	
"1s.2p"	"3P*"	"2"	"("	"77489001"	")"	
"1s.2s"	"1S"	"0"	"("	"77224526"	")"	
"1s.2p"	"1P*"	"1"	"("	"77656743"	")"	
"1s.3s"	"3S"	"1"	"("	"91177890"	")"	
"1s.3p"	"3P*"	"0"	"("	"91258296"	")"	
"1s.3p"	"3P*"	"1"	"("	"91264309"	")"	
"1s.3p"	"3P*"	"2"	"("	"91343770"	")"	
"1s.3s"	"1S"	"0"	"("	"91261000"	")"	
"1s.3d"	"3D"	"2"	"("	"91384940"	")"	
"1s.3d"	"3D"	"1"	"("	"91386420"	")"	
"1s.3d"	"3D"	"3"	"("	"91413710"	")"	
"1s.3p"	"1P*"	"1"	"("	"91389321"	")"	
"1s.3d"	"1D"	"2"	"("	"91416900"	")"	
"1s.4s"	"3S"	"1"	"("	"96121630"	")"	
"1s.4p"	"3P*"	"0"	"("	"96154668"	")"	
"1s.4p"	"3P*"	"1"	"("	"96157162"	")"	
"1s.4p"	"3P*"	"2"	"("	"96190731"	")"	
"1s.4s"	"1S"	"0"	"("	"96155290"	")"	
"1s.4d"	"3D"	"2"	"("	"96207761"	")"	
"1s.4d"	"3D"	"1"	"("	"96208271"	")"	
"1s.4d"	"3D"	"3"	"("	"96219797"	")"	
"1s.4p"	"1P*"	"1"	"("	"96209366"	")"	
"1s.4f"	"3F*"	"3"	"("	"96220892"	")"	
"1s.4f"	"3F*"	"2"	"("	"96221363"	")"	
"1s.4f"	"3F*"	"4"	"("	"96227129"	")"	
"1s.4d"	"1D"	"2"	"("	"96221339"	")"	
"1s.4f"	"1F*"	"3"	"("	"96227492"	")"	
"1s.5s"	"3S"	"1"	"("	"98396490"	")"	
"1s.5p"	"3P*"	"0"	"("	"98413187"	")"	
"1s.5p"	"3P*"	"1"	"("	"98414452"	")"	
"1s.5p"	"3P*"	"2"	"("	"98431638"	")"	
"1s.5s"	"1S"	"0"	"("	"98413390"	")"	
"1s.5d"	"3D"	"2"	"("	"98440275"	")"	
"1s.5d"	"3D"	"1"	"("	"98440512"	")"	
"1s.5d"	"3D"	"3"	"("	"98446414"	")"	
"1s.5p"	"1P*"	"1"	"("	"98441041"	")"	
"1s.5f"	"3F*"	"3"	"("	"98447024"	")"	
