Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	"["	"0.0000"	"]"	
"1s.2s"	"3S"	"1"	"["	"159855.971776"	"]"	
"1s.2s"	"1S"	"0"	"["	"166277.437635"	"]"	
"1s.2p"	"3P*"	"2"	"["	"169086.76391031"	"]"	
"1s.2p"	"3P*"	"1"	"["	"169086.84033581"	"]"	
"1s.2p"	"3P*"	"0"	"["	"169087.82825101"	"]"	
"1s.2p"	"1P*"	"1"	"["	"171134.894441"	"]"	
"1s.3s"	"3S"	"1"	"["	"183236.789095"	"]"	
"1s.3s"	"1S"	"0"	"["	"184864.826715"	"]"	
"1s.3p"	"3P*"	"2"	"["	"185564.55932651"	"]"	
"1s.3p"	"3P*"	"1"	"["	"185564.5813147"	"]"	
"1s.3p"	"3P*"	"0"	"["	"185564.8520073"	"]"	
"1s.3d"	"3D"	"3"	"["	"186101.54358476"	"]"	
"1s.3d"	"3D"	"2"	"["	"186101.54609533"	"]"	
"1s.3d"	"3D"	"1"	"["	"186101.59029341"	"]"	
"1s.3d"	"1D"	"2"	"["	"186104.96409510"	"]"	
"1s.3p"	"1P*"	"1"	"["	"186209.3623329"	"]"	
"1s.4s"	"3S"	"1"	"["	"190298.110654"	"]"	
"1s.4s"	"1S"	"0"	"["	"190940.223749"	"]"	
"1s.4p"	"3P*"	"2"	"["	"191217.0383609"	"]"	
"1s.4p"	"3P*"	"1"	"["	"191217.0473571"	"]"	
"1s.4p"	"3P*"	"0"	"["	"191217.1576834"	"]"	
"1s.4d"	"3D"	"3"	"["	"191444.47832914"	"]"	
"1s.4d"	"3D"	"2"	"["	"191444.47952984"	"]"	
"1s.4d"	"3D"	"1"	"["	"191444.49804915"	"]"	
"1s.4d"	"1D"	"2"	"["	"191446.45313936"	"]"	
"1s.4f"	"3F*"	"3"	"["	"191451.871342758"	"]"	
"1s.4f"	"3F*"	"4"	"["	"191451.878482501"	"]"	
"1s.4f"	"3F*"	"2"	"["	"191451.887100873"	"]"	
"1s.4f"	"1F*"	"3"	"["	"191451.894854811"	"]"	
"1s.4p"	"1P*"	"1"	"["	"191492.7093035"	"]"	
"1s.5s"	"3S"	"1"	"["	"193346.988738"	"]"	
"1s.5s"	"1S"	"0"	"["	"193663.509489"	"]"	
"1s.5p"	"3P*"	"2"	"["	"193800.7049900"	"]"	
"1s.5p"	"3P*"	"1"	"["	"193800.7095104"	"]"	
"1s.5p"	"3P*"	"0"	"["	"193800.7649571"	"]"	
"1s.5d"	"3D"	"3"	"["	"193917.14868441"	"]"	
"1s.5d"	"3D"	"2"	"["	"193917.14932512"	"]"	
"1s.5d"	"3D"	"1"	"["	"193917.15878310"	"]"	
"1s.5d"	"1D"	"2"	"["	"193918.28729754"	"]"	
"1s.5f"	"3F*"	"3"	"["	"193921.115658304"	"]"	
"1s.5f"	"3F*"	"4"	"["	"193921.118736664"	"]"	
"1s.5f"	"3F*"	"2"	"["	"193921.123147015"	"]"	
"1s.5f"	"1F*"	"3"	"["	"193921.128275032"	"]"	
"1s.5g"	"3G"	"4"	"["	"193921.612342687"	"]"	
"1s.5g"	"3G"	"5"	"["	"193921.615113207"	"]"	
"1s.5g"	"3G"	"3"	"["	"193921.617632089"	"]"	
"1s.5g"	"1G"	"4"	"["	"193921.619327049"	"]"	
"1s.5p"	"1P*"	"1"	"["	"193942.45968763"	"]"	
"1s.6s"	"3S"	"1"	"["	"194936.1170910"	"]"	
"1s.6s"	"1S"	"0"	"["	"195114.8660951"	"]"	
"1s.6p"	"3P*"	"2"	"["	"195192.7403680"	"]"	
"1s.6p"	"3P*"	"1"	"["	"195192.7429528"	"]"	
"1s.6p"	"3P*"	"0"	"["	"195192.7746751"	"]"	
"1s.6d"	"3D"	"3"	"["	"195260.06875373"	"]"	
"1s.6d"	"3D"	"2"	"["	"195260.06913189"	"]"	
"1s.6d"	"3D"	"1"	"["	"195260.07459804"	"]"	
"1s.6d"	"1D"	"2"	"["	"195260.76790341"	"]"	
"1s.6f"	"3F*"	"3"	"["	"195262.421610707"	"]"	
"1s.6f"	"3F*"	"4"	"["	"195262.423215351"	"]"	
"1s.6f"	"3F*"	"2"	"["	"195262.425766876"	"]"	
"1s.6f"	"1F*"	"3"	"["	"195262.429178233"	"]"	
"1s.6g"	"3G"	"4"	"["	"195262.720476278"	"]"	
"1s.6g"	"3G"	"5"	"["	"195262.722078133"	"]"	
"1s.6g"	"3G"	"3"	"["	"195262.723535674"	"]"	
"1s.6g"	"1G"	"4"	"["	"195262.724518244"	"]"	
"1s.6h"	"3H*"	"5"	"["	"195262.790444878"	"]"	
