Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.0000"	""	
"2p"	"2P*"	"1/2"	"("	"329179.2939406"	")"	
"2p"	"2P*"	"3/2"	"("	"329185.15110923"	")"	
"2s"	"2S"	"1/2"	"("	"329179.762313"	")"	
"3p"	"2P*"	"1/2"	"("	"390140.8249696"	")"	
"3p"	"2P*"	"3/2"	"("	"390142.5604306"	")"	
"3s"	"2S"	"1/2"	"("	"390140.964517"	")"	
"3d"	"2D"	"3/2"	"("	"390142.55757536"	")"	
"3d"	"2D"	"5/2"	"("	"390143.13600712"	")"	
"4p"	"2P*"	"1/2"	"("	"411477.1227550"	")"	
"4p"	"2P*"	"3/2"	"("	"411477.8548989"	")"	
"4s"	"2S"	"1/2"	"("	"411477.1817529"	")"	
"4d"	"2D"	"3/2"	"("	"411477.853680"	")"	
"4d"	"2D"	"5/2"	"("	"411478.097707"	")"	
"4f"	"2F*"	"5/2"	"("	"411478.097267"	")"	
"4f"	"2F*"	"7/2"	"("	"411478.219277"	")"	
"5p"	"2P*"	"1/2"	"("	"421352.6789311"	")"	
"5p"	"2P*"	"3/2"	"("	"421353.05378699"	")"	
"5s"	"2S"	"1/2"	"("	"421352.709172"	")"	
"5d"	"2D"	"3/2"	"("	"421353.053159"	")"	
"5d"	"2D"	"5/2"	"("	"421353.178101"	")"	
"5f"	"2F*"	"5/2"	"("	"421353.177874"	")"	
"5f"	"2F*"	"7/2"	"("	"421353.240343"	")"	
"5g"	"2G"	"7/2"	"("	"421353.2402246"	")"	
"5g"	"2G"	"9/2"	"("	"421353.2777059"	")"	
"6p"	"2P*"	"1/2"	"("	"426717.1361554"	")"	
"6p"	"2P*"	"3/2"	"("	"426717.3530854"	")"	
"6s"	"2S"	"1/2"	"("	"426717.1536654"	")"	
"6d"	"2D"	"3/2"	"("	"426717.352717"	")"	
"6d"	"2D"	"5/2"	"("	"426717.425022"	")"	
"6f"	"2F*"	"5/2"	"("	"426717.424890"	")"	
