Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5s2.5p5"	"2P*"	"3/2"	""	"0.0000"	""	
"5s2.5p5"	"2P*"	"1/2"	""	"7602.9762"	""	
"5s2.5p4.(3P<2>).6s"	"2[2]"	"5/2"	""	"54633.2819"	""	
"5s2.5p4.(3P<2>).6s"	"2[2]"	"3/2"	""	"56092.7112"	""	
"5s2.5p4.(3P<0>).6s"	"2[0]"	"1/2"	""	"60896.0739"	""	
"5s2.5p4.(3P<1>).6s"	"2[1]"	"3/2"	""	"61819.6111"	""	
"5s2.5p4.(3P<1>).6s"	"2[1]"	"1/2"	""	"63186.5971"	""	
"5s2.5p4.(3P<2>).6p"	"2[2]*"	"5/2"	""	"64906.1234"	""	
"5s2.5p4.(3P<2>).6p"	"2[2]*"	"3/2"	""	"64989.8299"	""	
"5s2.5p4.(3P<2>).6p"	"2[3]*"	"5/2"	""	"65644.3110"	""	
"5s2.5p4.(3P<2>).6p"	"2[3]*"	"7/2"	""	"65669.8213"	""	
"5s2.5p4.(3P<2>).6p"	"2[1]*"	"1/2"	""	"65856.7962"	""	
"5s2.5p4.(3P<2>).6p"	"2[1]*"	"3/2"	""	"67061.9638"	""	
"5s2.5p4.(3P<2>).5d"	"2[3]"	"7/2"	""	"66014.8630"	""	
"5s2.5p4.(3P<2>).5d"	"2[3]"	"5/2"	""	"66020.3051"	""	
"5s2.5p4.(3P<2>).5d"	"2[1]"	"3/2"	""	"66354.9277"	""	
"5s2.5p4.(3P<2>).5d"	"2[1]"	"1/2"	""	"67298.1641"	""	
"5s2.5p4.(3P<2>).5d"	"2[4]"	"9/2"	""	"67726.2533"	""	
"5s2.5p4.(3P<2>).5d"	"2[4]"	"7/2"	""	"68559.3743"	""	
"5s2.5p4.(1D<2>).6s"	"2[2]"	"3/2"	""	"68549.5824"	""	
"5s2.5p4.(1D<2>).6s"	"2[2]"	"5/2"	""	"68587.6921"	""	
"5s2.5p4.(3P<2>).5d"	"2[0]"	"1/2"	""	"68615.5757"	""	
"5s2.5p4.(3P<2>).5d"	"2[2]"	"5/2"	""	"70151.0423"	""	
"5s2.5p4.(3P<2>).5d"	"2[2]"	"3/2"	""	"70354.6730"	""	
"5s2.5p4.(3P<1>).6p"	"2[0]*"	"1/2"	""	"71501.3162"	""	
"5s2.5p4.(3P<0>).6p"	"2[1]*"	"1/2"	""	"71813.7975"	""	
"5s2.5p4.(3P<0>).6p"	"2[1]*"	"3/2"	""	"71976.5916"	""	
"5s2.5p4.(3P<2>).7s"	"2[2]"	"5/2"	""	"71903.5759"	""	
"5s2.5p4.(3P<2>).7s"	"2[2]"	"3/2"	""	"72294.7216"	""	
"5s2.5p4.(3P<1>).6p"	"2[2]*"	"5/2"	""	"72529.0200"	""	
"5s2.5p4.(3P<1>).6p"	"2[2]*"	"3/2"	""	"72807.0009"	""	
"5s2.5p4.(3P<1>).6p"	"2[1]*"	"3/2"	""	"73054.4376"	""	
