Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d10.4s"	"2S"	"1/2"	""	"0."	""	
"3d10.4p"	"2P*"	"1/2"	""	"143696."	""	
"3d10.4p"	"2P*"	"3/2"	""	"153476."	""	
"3d10.4d"	"2D"	"3/2"	""	"374046."	""	
"3d10.4d"	"2D"	"5/2"	""	"375377."	""	
"3d10.5s"	"2S"	"1/2"	""	"490087."	""	
"3d10.5p"	"2P*"	"1/2"	""	"546681."	""	
"3d10.5p"	"2P*"	"3/2"	""	"550444."	""	
"3d10.4f"	"2F*"	"7/2"	""	"562731."	""	
"3d10.4f"	"2F*"	"5/2"	""	"562765."	""	
"3d10.5d"	"2D"	"3/2"	""	"641076."	""	
"3d10.5d"	"2D"	"5/2"	""	"641617."	""	
"3d9.(2D).4s2"	"2D"	"5/2"	""	"657102"	""	
"3d9.(2D).4s2"	"2D"	"3/2"	""	"667276"	""	
"3d10.6s"	"2S"	"1/2"	""	"692518."	""	
"3d10.6p"	"2P*"	"1/2"	""	"720594."	""	
"3d10.6p"	"2P*"	"3/2"	""	"722471."	""	
"3d10.5f"	"2F*"	"5/2"	""	"724999."	""	
"3d10.5f"	"2F*"	"7/2"	""	"725004."	""	
"3d10.5g"	"2G"	"7/2"	""	"733091."	""	
"3d10.5g"	"2G"	"9/2"	""	"733093."	""	
"3d10.6d"	"2D"	"3/2"	""	"768919."	""	
"3d10.6d"	"2D"	"5/2"	""	"769247."	""	
"3d9.(2D).4s.4p.(3P*)"	"4P*"	"3/2"	""	"782852"	""	
"3d9.(2D).4s.4p.(3P*)"	"4P*"	"1/2"	""	"789316"	""	
"3d9.(2D).4s.4p.(3P*)"	"4F*"	"3/2"	""	"788563"	""	
"3d10.7s"	"2S"	"1/2"	""	"796490"	""	
"3d9.(2D).4s.4p.(3P*)"	"2D*"	"3/2"	""	"797213"	""	
"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	""	"801134"	""	
"3d9.(2D).4s.4p.(3P*)"	"2P*"	"1/2"	""	"801545"	""	
"3d9.(2D).4s.4p.(3P*)"	"4D*"	"1/2"	""	"803335"	""	
