Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.00"	""	
"2p"	"2P*"	"1/2"	"("	"11869986.166"	")"	
"2p"	"2P*"	"3/2"	"("	"11877612.9994"	")"	
"2s"	"2S"	"1/2"	"("	"11870294.86"	")"	
"3p"	"2P*"	"1/2"	"("	"14070814.75"	")"	
"3p"	"2P*"	"3/2"	"("	"14073074.80"	")"	
"3s"	"2S"	"1/2"	"("	"14070906.59"	")"	
"3d"	"2D"	"3/2"	"("	"14073070.9353"	")"	
"3d"	"2D"	"5/2"	"("	"14073821.6353"	")"	
"4p"	"2P*"	"1/2"	"("	"14840794.33"	")"	
"4p"	"2P*"	"3/2"	"("	"14841747.628"	")"	
"4s"	"2S"	"1/2"	"("	"14840833.23"	")"	
"4d"	"2D"	"3/2"	"("	"14841745.978"	")"	
"4d"	"2D"	"5/2"	"("	"14842062.728"	")"	
"4f"	"2F*"	"5/2"	"("	"14842062.159"	")"	
"4f"	"2F*"	"7/2"	"("	"14842220.396"	")"	
"5p"	"2P*"	"1/2"	"("	"15197052.422"	")"	
"5p"	"2P*"	"3/2"	"("	"15197540.422"	")"	
"5s"	"2S"	"1/2"	"("	"15197072.38"	")"	
"5d"	"2D"	"3/2"	"("	"15197539.574"	")"	
"5d"	"2D"	"5/2"	"("	"15197701.754"	")"	
"5f"	"2F*"	"5/2"	"("	"15197701.460"	")"	
"5f"	"2F*"	"7/2"	"("	"15197782.485"	")"	
"5g"	"2G"	"7/2"	"("	"15197782.3316"	")"	
"5g"	"2G"	"9/2"	"("	"15197830.9286"	")"	
"6p"	"2P*"	"1/2"	"("	"15390520.088"	")"	
"6p"	"2P*"	"3/2"	"("	"15390802.451"	")"	
"6s"	"2S"	"1/2"	"("	"15390531.640"	")"	
"6d"	"2D"	"3/2"	"("	"15390801.953"	")"	
"6d"	"2D"	"5/2"	"("	"15390895.805"	")"	
"6f"	"2F*"	"5/2"	"("	"15390895.634"	")"	
"6f"	"2F*"	"7/2"	"("	"15390942.525"	")"	
"6g"	"2G"	"7/2"	"("	"15390942.4361"	")"	
"6g"	"2G"	"9/2"	"("	"15390970.5611"	")"	
"6h"	"2H*"	"9/2"	"("	"15390970.5062"	")"	
"6h"	"2H*"	"11/2"	"("	"15390989.2530"	")"	
"7p"	"2P*"	"1/2"	"("	"15507149.426"	")"	
"7p"	"2P*"	"3/2"	"("	"15507327.222"	")"	
"7s"	"2S"	"1/2"	"("	"15507156.711"	")"	
"7d"	"2D"	"3/2"	"("	"15507326.906"	")"	
"7d"	"2D"	"5/2"	"("	"15507386.007"	")"	
"7f"	"2F*"	"5/2"	"("	"15507385.899"	")"	
"7f"	"2F*"	"7/2"	"("	"15507415.428"	")"	
"7g"	"2G"	"7/2"	"("	"15507415.3719"	")"	
"7g"	"2G"	"9/2"	"("	"15507433.0839"	")"	
"7h"	"2H*"	"9/2"	"("	"15507433.0490"	")"	
"7h"	"2H*"	"11/2"	"("	"15507444.8550"	")"	
"7i"	"2I"	"11/2"	"("	"15507444.83133"	")"	
"7i"	"2I"	"13/2"	"("	"15507453.26333"	")"	
"8p"	"2P*"	"1/2"	"("	"15582833.369"	")"	
"8p"	"2P*"	"3/2"	"("	"15582952.467"	")"	
"8s"	"2S"	"1/2"	"("	"15582838.249"	")"	
"8d"	"2D"	"3/2"	"("	"15582952.2535"	")"	
"8d"	"2D"	"5/2"	"("	"15582991.8455"	")"	
"8f"	"2F*"	"5/2"	"("	"15582991.7725"	")"	
"8f"	"2F*"	"7/2"	"("	"15583011.5545"	")"	
"8g"	"2G"	"7/2"	"("	"15583011.5172"	")"	
"8g"	"2G"	"9/2"	"("	"15583023.3829"	")"	
"8h"	"2H*"	"9/2"	"("	"15583023.3596"	")"	
"8h"	"2H*"	"11/2"	"("	"15583031.2688"	")"	
"8i"	"2I"	"11/2"	"("	"15583031.25304"	")"	
"8i"	"2I"	"13/2"	"("	"15583036.90194"	")"	
"8k"	"2K*"	"13/2"	"("	"15583036.89038"	")"	
"8k"	"2K*"	"15/2"	"("	"15583041.12678"	")"	
"9p"	"2P*"	"1/2"	"("	"15634714.903"	")"	
"9p"	"2P*"	"3/2"	"("	"15634798.5416"	")"	
"9s"	"2S"	"1/2"	"("	"15634718.331"	")"	
"9d"	"2D"	"3/2"	"("	"15634798.3916"	")"	
"9d"	"2D"	"5/2"	"("	"15634826.1976"	")"	
"9f"	"2F*"	"5/2"	"("	"15634826.1466"	")"	
"9f"	"2F*"	"7/2"	"("	"15634840.0396"	")"	
"9g"	"2G"	"7/2"	"("	"15634840.0133"	")"	
"9g"	"2G"	"9/2"	"("	"15634848.3470"	")"	
"9h"	"2H*"	"9/2"	"("	"15634848.3306"	")"	
"9h"	"2H*"	"11/2"	"("	"15634853.8856"	")"	
"9i"	"2I"	"11/2"	"("	"15634853.87438"	")"	
