Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d5.4s2"	"a 6S"	"5/2"	""	"0.00"	""	
"3d6.(5D).4s"	"a 6D"	"9/2"	""	"17052.29"	""	
"3d6.(5D).4s"	"a 6D"	"7/2"	""	"17282.00"	""	
"3d6.(5D).4s"	"a 6D"	"5/2"	""	"17451.52"	""	
"3d6.(5D).4s"	"a 6D"	"3/2"	""	"17568.48"	""	
"3d6.(5D).4s"	"a 6D"	"1/2"	""	"17637.15"	""	
"3d5.(6S).4s.4p.(3P*)"	"z 8P*"	"5/2"	""	"18402.46"	""	
"3d5.(6S).4s.4p.(3P*)"	"z 8P*"	"7/2"	""	"18531.64"	""	
"3d5.(6S).4s.4p.(3P*)"	"z 8P*"	"9/2"	""	"18705.37"	""	
"3d6.(5D).4s"	"a 4D"	"7/2"	""	"23296.67"	""	
"3d6.(5D).4s"	"a 4D"	"5/2"	""	"23549.20"	""	
"3d6.(5D).4s"	"a 4D"	"3/2"	""	"23719.52"	""	
"3d6.(5D).4s"	"a 4D"	"1/2"	""	"23818.87"	""	
"3d5.(6S).4s.4p.(3P*)"	"z 6P*"	"3/2"	""	"24779.32"	""	
"3d5.(6S).4s.4p.(3P*)"	"z 6P*"	"5/2"	""	"24788.05"	""	
"3d5.(6S).4s.4p.(3P*)"	"z 6P*"	"7/2"	""	"24802.25"	""	
"3d5.4s2"	"a 4G"	"11/2"	""	"25265.74"	""	
"3d5.4s2"	"a 4G"	"5/2"	""	"25281.04"	""	
"3d5.4s2"	"a 4G"	"9/2"	""	"25285.43"	""	
"3d5.4s2"	"a 4G"	"7/2"	""	"25287.74"	""	
"3d5.4s2"	"a 4P"	"5/2"	""	"27201.54"	""	
"3d5.4s2"	"a 4P"	"3/2"	""	"27248.00"	""	
"3d5.4s2"	"a 4P"	"1/2"	""	"27281.85"	""	
"3d5.4s2"	"b 4D"	"7/2"	""	"30354.21"	""	
"3d5.4s2"	"b 4D"	"1/2"	""	"30411.74"	""	
"3d5.4s2"	"b 4D"	"5/2"	""	"30419.61"	""	
"3d5.4s2"	"b 4D"	"3/2"	""	"30425.71"	""	
"3d5.(6S).4s.4p.(3P*)"	"z 4P*"	"5/2"	""	"31001.15"	""	
"3d5.(6S).4s.4p.(3P*)"	"z 4P*"	"3/2"	""	"31076.42"	""	
"3d5.(6S).4s.4p.(3P*)"	"z 4P*"	"1/2"	""	"31124.95"	""	
"3d6.(3P2).4s"	"b 4P"	"5/2"	""	"33825.49"	""	
"3d6.(3P2).4s"	"b 4P"	"3/2"	""	"34463.37"	""	
"3d6.(3P2).4s"	"b 4P"	"1/2"	""	"34845.26"	""	
"3d6.(3H).4s"	"a 4H"	"13/2"	""	"34138.88"	""	
"3d6.(3H).4s"	"a 4H"	"11/2"	""	"34250.52"	""	
"3d6.(3H).4s"	"a 4H"	"9/2"	""	"34343.90"	""	
"3d6.(3H).4s"	"a 4H"	"7/2"	""	"34423.27"	""	
"3d6.(3F2).4s"	"a 4F"	"9/2"	""	"34938.70"	""	
"3d6.(3F2).4s"	"a 4F"	"7/2"	""	"35041.37"	""	
"3d6.(3F2).4s"	"a 4F"	"5/2"	""	"35114.98"	""	
"3d6.(3F2).4s"	"a 4F"	"3/2"	""	"35165.05"	""	
"3d5.(6S).4s.4p.(1P*)"	"y 6P*"	"3/2"	""	"35689.98"	""	
"3d5.(6S).4s.4p.(1P*)"	"y 6P*"	"5/2"	""	"35725.85"	""	
"3d5.(6S).4s.4p.(1P*)"	"y 6P*"	"7/2"	""	"35769.97"	""	
"3d5.4s2"	"a 2I"	"11/2"	""	"37148.66"	""	
"3d5.4s2"	"a 2I"	"13/2"	""	"37164.25"	""	
"3d6.(3G).4s"	"b 4G"	"11/2"	""	"37420.24"	""	
"3d6.(3G).4s"	"b 4G"	"9/2"	""	"37630.62"	""	
"3d6.(3G).4s"	"b 4G"	"7/2"	""	"37737.22"	""	
"3d6.(3G).4s"	"b 4G"	"5/2"	""	"37789.93"	""	
"3d6.(3P2).4s"	"a 2P"	"3/2"	""	"37586.03"	""	
"3d6.(3P2).4s"	"a 2P"	"1/2"	""	"38351.78"	""	
"3d6.(3H).4s"	"a 2H"	"11/2"	""	"38008.70"	""	
"3d6.(3H).4s"	"a 2H"	"9/2"	""	"38120.18"	""	
"3d6.(3F2).4s"	"a 2F"	"7/2"	""	"38669.60"	""	
"3d6.(3F2).4s"	"a 2F"	"5/2"	""	"38934.94"	""	
"3d5.4s.(7S).5s"	"e 8S"	"7/2"	""	"39431.31"	""	
"3d6.(3G).4s"	"a 2G"	"9/2"	""	"41031.48"	""	
