Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d5.(6S).4s"	"a 7S"	"3"	""	"0.000"	""	
"3d5.(6S).4s"	"a 5S"	"2"	""	"9472.993"	""	
"3d6"	"a 5D"	"4"	""	"14325.866"	""	
"3d6"	"a 5D"	"3"	""	"14593.835"	""	
"3d6"	"a 5D"	"2"	""	"14781.205"	""	
"3d6"	"a 5D"	"1"	""	"14901.203"	""	
"3d6"	"a 5D"	"0"	""	"14959.876"	""	
"3d5.(4G).4s"	"a 5G"	"6"	""	"27547.26"	""	
"3d5.(4G).4s"	"a 5G"	"5"	""	"27571.25"	""	
"3d5.(4G).4s"	"a 5G"	"4"	""	"27583.59"	""	
"3d5.(4G).4s"	"a 5G"	"3"	""	"27588.53"	""	
"3d5.(4G).4s"	"a 5G"	"2"	""	"27589.36"	""	
"3d6"	"a 3P"	"2"	""	"29869.42"	""	
"3d6"	"a 3P"	"1"	""	"30684.96"	""	
"3d6"	"a 3P"	"0"	""	"31022.20"	""	
"3d5.(4P).4s"	"a 5P"	"3"	""	"29889.534"	""	
"3d5.(4P).4s"	"a 5P"	"2"	""	"29919.444"	""	
"3d5.(4P).4s"	"a 5P"	"1"	""	"29951.434"	""	
"3d6"	"a 3H"	"6"	""	"30523.71"	""	
"3d6"	"a 3H"	"5"	""	"30679.51"	""	
"3d6"	"a 3H"	"4"	""	"30796.06"	""	
"3d6"	"a 3F"	"4"	""	"31514.71"	""	
"3d6"	"a 3F"	"3"	""	"31662.04"	""	
"3d6"	"a 3F"	"2"	""	"31761.21"	""	
"3d5.(4D).4s"	"b 5D"	"4"	""	"32787.90"	""	
"3d5.(4D).4s"	"b 5D"	"0"	""	"32818.44"	""	
"3d5.(4D).4s"	"b 5D"	"1"	""	"32836.74"	""	
"3d5.(4D).4s"	"b 5D"	"3"	""	"32857.27"	""	
"3d5.(4D).4s"	"b 5D"	"2"	""	"32859.15"	""	
"3d5.(4G).4s"	"a 3G"	"5"	""	"33147.71"	""	
"3d5.(4G).4s"	"a 3G"	"4"	""	"33248.66"	""	
"3d5.(4G).4s"	"a 3G"	"3"	""	"33278.73"	""	
"3d6"	"b 3G"	"5"	""	"34762.098"	""	
"3d6"	"b 3G"	"4"	""	"34910.77"	""	
"3d6"	"b 3G"	"3"	""	"35004.79"	""	
"3d5.(4P).4s"	"b 3P"	"2"	""	"36274.62"	""	
"3d5.(4P).4s"	"b 3P"	"1"	""	"36364.64"	""	
"3d5.(4P).4s"	"b 3P"	"0"	""	"36428.22"	""	
"3d6"	"a 3D"	"1"	""	"37811.88"	""	
"3d6"	"a 3D"	"2"	""	"37848.225"	""	
"3d6"	"a 3D"	"3"	""	"37851.49"	""	
"3d5.(6S).4p"	"z 7P*"	"2"	""	"38366.232"	""	
"3d5.(6S).4p"	"z 7P*"	"3"	""	"38543.122"	""	
"3d5.(6S).4p"	"z 7P*"	"4"	""	"38806.691"	""	
"3d6"	"a 1I"	"6"	""	"38720.26"	""	
"3d6"	"a 1G"	"4"	""	"38901.88"	""	
"3d5.(4D).4s"	"b 3D"	"3"	""	"39808.492"	""	
"3d5.(4D).4s"	"b 3D"	"2"	""	"39813.76"	""	
"3d5.(4D).4s"	"b 3D"	"1"	""	"39826.91"	""	
"3d6"	"a 1S"	"0"	""	"40759.62"	""	
"3d5.(2I).4s"	"a 3I"	"7"	""	"41182.62"	""	
"3d5.(2I).4s"	"a 3I"	"6"	""	"41190.53"	""	
"3d5.(2I).4s"	"a 3I"	"5"	""	"41204.38"	""	
"3d6"	"a 1D"	"2"	""	"43131.51"	""	
"3d5.(4F).4s"	"a 5F"	"1"	""	"43311.324"	""	
"3d5.(4F).4s"	"a 5F"	"5"	""	"43528.661"	""	
"3d5.(4F).4s"	"a 5F"	"4"	""	"43537.186"	""	
"3d5.(4F).4s"	"a 5F"	"3"	""	"43696.217"	""	
"3d5.(4F).4s"	"a 5F"	"2"	""	"43850.341"	""	
"3d5.(2D).4s"	"c 3D"	"2"	""	"43339.452"	""	
"3d5.(2D).4s"	"c 3D"	"3"	""	"43395.395"	""	
"3d5.(2D).4s"	"c 3D"	"1"	""	"44139.031"	""	
"3d5.(6S).4p"	"z 5P*"	"3"	""	"43370.537"	""	
"3d5.(6S).4p"	"z 5P*"	"2"	""	"43484.664"	""	
"3d5.(6S).4p"	"z 5P*"	"1"	""	"43557.175"	""	
"3d5.(2I).4s"	"b 1I"	"6"	""	"44315.26"	""	
"3d5.(2F).4s"	"b 3F"	"4"	""	"44521.54"	""	
"3d5.(2F).4s"	"b 3F"	"2"	""	"44745.501"	""	
"3d5.(2F).4s"	"b 3F"	"3"	""	"44899.851"	""	
"3d5.(2D).4s"	"b 1D"	"2"	""	"46903.32"	""	
"3d5.(2F).4s"	"a 1F"	"3"	""	"47073.64"	""	
"3d5.(2H).4s"	"b 3H"	"4"	""	"48317.83"	""	
"3d5.(2H).4s"	"b 3H"	"5"	""	"48333.08"	""	
"3d5.(2H).4s"	"b 3H"	"6"	""	"48436.05"	""	
"3d6"	"b 1F"	"3"	""	"49291.36"	""	
"3d5.(2G).4s"	"c 3G"	"4"	""	"49427.371"	""	
"3d5.(2G).4s"	"c 3G"	"3"	""	"49465.15"	""	
"3d5.(2G).4s"	"c 3G"	"5"	""	"49517.69"	""	
"3d5.(4F).4s"	"c 3F"	"2"	""	"49820.205"	""	
"3d5.(4F).4s"	"c 3F"	"4"	""	"49882.208"	""	
"3d5.(4F).4s"	"c 3F"	"3"	""	"49889.927"	""	
"3d5.(2H).4s"	"a 1H"	"5"	""	"51553.11"	""	
"3d5.(2F).4s"	"d 3F"	"3"	""	"52373.269"	""	
"3d5.(2F).4s"	"d 3F"	"2"	""	"52379.41"	""	
"3d5.(2F).4s"	"d 3F"	"4"	""	"52383.78"	""	
"3d5.(2G).4s"	"b 1G"	"4"	""	"52653.327"	""	
"3d6"	"c 3P"	"0"	""	"52718.905"	""	
"3d6"	"c 3P"	"1"	""	"53017.188"	""	
"3d6"	"c 3P"	"2"	""	"53597.139"	""	
"3d6"	"e 3F"	"2"	""	"53698.736"	""	
