Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	""	"0.00"	""	
"1s.2s"	"3S"	"1"	"("	"3385849.915"	")"	
"1s.2p"	"3P*"	"0"	"("	"3438270.422"	")"	
"1s.2p"	"3P*"	"1"	"("	"3438279.098"	")"	
"1s.2p"	"3P*"	"2"	"("	"3438570.098"	")"	
"1s.2s"	"1S"	"0"	"("	"3439265.452"	")"	
"1s.2p"	"1P*"	"1"	"("	"3473794.8085"	")"	
"1s.3s"	"3S"	"1"	"("	"3991836.7"	")"	
"1s.3s"	"1S"	"0"	"("	"4005973.4"	")"	
"1s.3p"	"3P*"	"0"	"("	"4006042.8"	")"	
"1s.3p"	"3P*"	"1"	"("	"4006049.0"	")"	
"1s.3p"	"3P*"	"2"	"("	"4006134.9"	")"	
"1s.3d"	"3D"	"1"	"("	"4013403.2"	")"	
"1s.3d"	"3D"	"2"	"("	"4013406.7"	")"	
"1s.3d"	"3D"	"3"	"("	"4013432.2"	")"	
"1s.3d"	"1D"	"2"	"("	"4013730.6"	")"	
"1s.3p"	"1P*"	"1"	"("	"4015991.0"	")"	
"1s.4s"	"3S"	"1"	"("	"4196781.7"	")"	
"1s.4s"	"1S"	"0"	"("	"4202502.8"	")"	
"1s.4p"	"3P*"	"0"	"("	"4202586.1"	")"	
"1s.4p"	"3P*"	"1"	"("	"4202589.3"	")"	
"1s.4p"	"3P*"	"2"	"("	"4202625.5"	")"	
"1s.4d"	"3D"	"1"	"("	"4205619"	")"	
"1s.4d"	"3D"	"2"	"("	"4205620"	")"	
"1s.4d"	"3D"	"3"	"("	"4205631"	")"	
"1s.4f"	"3F*"	"3"	"("	"4205787.0"	")"	
"1s.4f"	"3F*"	"2"	"("	"4205790.0"	")"	
"1s.4f"	"3F*"	"4"	"("	"4205796.1"	")"	
"1s.4d"	"1D"	"2"	"("	"4205796.0"	")"	
"1s.4f"	"1F*"	"3"	"("	"4205799.5"	")"	
"1s.4p"	"1P*"	"1"	"("	"4206693.2"	")"	
"1s.5s"	"3S"	"1"	"("	"4290132.6"	")"	
"1s.5s"	"1S"	"0"	"("	"4293002.0"	")"	
"1s.5p"	"3P*"	"0"	"("	"4293057.3"	")"	
"1s.5p"	"3P*"	"1"	"("	"4293059.1"	")"	
"1s.5p"	"3P*"	"2"	"("	"4293077.6"	")"	
"1s.5d"	"3D"	"1"	"("	"4294598"	")"	
"1s.5d"	"3D"	"2"	"("	"4294599"	")"	
"1s.5d"	"3D"	"3"	"("	"4294605"	")"	
"1s.5f"	"3F*"	"3"	"("	"4294690.6"	")"	
"1s.5f"	"3F*"	"2"	"("	"4294691.7"	")"	
"1s.5f"	"3F*"	"4"	"("	"4294694.3"	")"	
"1s.5f"	"1F*"	"3"	"("	"4294695.0"	")"	
"1s.5d"	"1D"	"2"	"("	"4294698"	")"	
"1s.5g"	"3G"	"4"	"("	"4294698.6"	")"	
"1s.5g"	"3G"	"3"	"("	"4294700.1"	")"	
"1s.5g"	"3G"	"5"	"("	"4294701.0"	")"	
"1s.5g"	"1G"	"4"	"("	"4294701.5"	")"	
"1s.5p"	"1P*"	"1"	"("	"4295138.3"	")"	
"1s.6s"	"3S"	"1"	"("	"4340360.9"	")"	
"1s.6s"	"1S"	"0"	"("	"4342001.5"	")"	
"1s.6p"	"3P*"	"0"	"("	"4342037.5"	")"	
"1s.6p"	"3P*"	"1"	"("	"4342038.7"	")"	
"1s.6p"	"3P*"	"2"	"("	"4342049.3"	")"	
"1s.6d"	"3D"	"1"	"("	"4342921.6"	")"	
"1s.6d"	"3D"	"2"	"("	"4342922.1"	")"	
"1s.6d"	"3D"	"3"	"("	"4342923.7"	")"	
"1s.6d"	"1D"	"2"	"("	"4342965.6"	")"	
"1s.6f"	"3F*"	"3"	"("	"4342977.1"	")"	
"1s.6f"	"3F*"	"2"	"("	"4342977.8"	")"	
"1s.6f"	"3F*"	"4"	"("	"4342979.3"	")"	
"1s.6f"	"1F*"	"3"	"("	"4342979.6"	")"	
"1s.6g"	"3G"	"4"	"("	"4342981.3"	")"	
"1s.6g"	"3G"	"3"	"("	"4342981.8"	")"	
"1s.6g"	"3G"	"5"	"("	"4342982.7"	")"	
"1s.6g"	"1G"	"4"	"("	"4342983.0"	")"	
"1s.6h"	"3H*"	"5"	"("	"4342985.5"	")"	
"1s.6h"	"3H*"	"4"	"("	"4342985.8"	")"	
"1s.6h"	"3H*"	"6"	"("	"4342986.4"	")"	
"1s.6h"	"1H*"	"5"	"("	"4342986.7"	")"	
"1s.6p"	"1P*"	"1"	"("	"4343234.7"	")"	
"1s.7s"	"3S"	"1"	"("	"4370454.7"	")"	
"1s.7s"	"1S"	"0"	"("	"4371479.4"	")"	
"1s.7p"	"3P*"	"0"	"("	"4371504.0"	")"	
"1s.7p"	"3P*"	"1"	"("	"4371504.8"	")"	
"1s.7p"	"3P*"	"2"	"("	"4371511.6"	")"	
"1s.7d"	"3D"	"1"	"("	"4372059.1"	")"	
"1s.7d"	"3D"	"2"	"("	"4372059.4"	")"	
"1s.7d"	"3D"	"3"	"("	"4372060.8"	")"	
"1s.7d"	"1D"	"2"	"("	"4372094.8"	")"	
"1s.7g"	"1G"	"4"	"("	"4372099.2"	")"	
"1s.7g"	"3G"	"3"	"("	"4372099.2"	")"	
"1s.7g"	"3G"	"4"	"("	"4372099.2"	")"	
"1s.7g"	"3G"	"5"	"("	"4372099.2"	")"	
"1s.7h"	"1H*"	"5"	"("	"4372102.5"	")"	
"1s.7h"	"3H*"	"4"	"("	"4372102.5"	")"	
"1s.7h"	"3H*"	"5"	"("	"4372102.5"	")"	
"1s.7h"	"3H*"	"6"	"("	"4372102.5"	")"	
"1s.7p"	"1P*"	"1"	"("	"4372255.3"	")"	
"1s.8s"	"3S"	"1"	"("	"4389898.3"	")"	
"1s.8s"	"1S"	"0"	"("	"4390581.8"	")"	
"1s.8p"	"3P*"	"0"	"("	"4390598.3"	")"	
"1s.8p"	"3P*"	"1"	"("	"4390598.8"	")"	
"1s.8p"	"3P*"	"2"	"("	"4390603.3"	")"	
"1s.8d"	"3D"	"1"	"("	"4390968.7"	")"	
"1s.8d"	"3D"	"2"	"("	"4390968.9"	")"	
"1s.8d"	"3D"	"3"	"("	"4390969.8"	")"	
"1s.8d"	"1D"	"2"	"("	"4390992.9"	")"	
"1s.8h"	"1H*"	"5"	"("	"4390998.2"	")"	
"1s.8h"	"3H*"	"4"	"("	"4390998.2"	")"	
"1s.8h"	"3H*"	"5"	"("	"4390998.2"	")"	
"1s.8h"	"3H*"	"6"	"("	"4390998.2"	")"	
"1s.8p"	"1P*"	"1"	"("	"4391100.1"	")"	
"1s.9s"	"3S"	"1"	"("	"4403182.3"	")"	
"1s.9s"	"1S"	"0"	"("	"4403660.6"	")"	
"1s.9p"	"3P*"	"0"	"("	"4403672.4"	")"	
"1s.9p"	"3P*"	"1"	"("	"4403672.8"	")"	
"1s.9p"	"3P*"	"2"	"("	"4403675.9"	")"	
"1s.9d"	"3D"	"1"	"("	"4403932.1"	")"	
"1s.9d"	"3D"	"2"	"("	"4403932.3"	")"	
"1s.9d"	"3D"	"3"	"("	"4403932.9"	")"	
"1s.9d"	"1D"	"2"	"("	"4403949.3"	")"	
"1s.9p"	"1P*"	"1"	"("	"4404024.3"	")"	
"1s.10s"	"3S"	"1"	"("	"4412658.7"	")"	
"1s.10s"	"1S"	"0"	"("	"4413006.4"	")"	
"1s.10p"	"3P*"	"0"	"("	"4413015.1"	")"	
"1s.10p"	"3P*"	"1"	"("	"4413015.4"	")"	
"1s.10p"	"3P*"	"2"	"("	"4413017.7"	")"	
"1s.10d"	"3D"	"1"	"("	"4413204.2"	")"	
"1s.10d"	"3D"	"2"	"("	"4413204.3"	")"	
"1s.10d"	"3D"	"3"	"("	"4413204.7"	")"	
"1s.10d"	"1D"	"2"	"("	"4413216.8"	")"	
"1s.10p"	"1P*"	"1"	"("	"4413271.3"	")"	
"N VII (1s 2S<1/2>)"	"Limit"	"---"	"("	"4452723.93"	")"	
"2s2"	"1S"	"0"	"("	"7325400"	")"	
"2s.2p"	"3P*"	"0"	"("	"7340500"	")"	
"2s.2p"	"3P*"	"1"	"("	"7340600"	")"	
"2s.2p"	"3P*"	"2"	"("	"7341200"	")"	
"2p2"	"3P"	"0"	"("	"7386400"	")"	
"2p2"	"3P"	"1"	"("	"7386600"	")"	
"2p2"	"3P"	"2"	"("	"7387100"	")"	
"2p2"	"1D"	"2"	"("	"7409500"	")"	
"2s.2p"	"1P*"	"1"	"("	"7415900"	")"	
