Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.000"	""	
"2p"	"2P*"	"1/2"	"("	"4034761.9005"	")"	
"2p"	"2P*"	"3/2"	"("	"4035642.2253"	")"	
"2s"	"2S"	"1/2"	"("	"4034807.306"	")"	
"3p"	"2P*"	"1/2"	"("	"4782264.157"	")"	
"3p"	"2P*"	"3/2"	"("	"4782525.0020"	")"	
"3s"	"2S"	"1/2"	"("	"4782277.711"	")"	
"3d"	"2D"	"3/2"	"("	"4782524.56587"	")"	
"3d"	"2D"	"5/2"	"("	"4782611.41130"	")"	
"4p"	"2P*"	"1/2"	"("	"5043854.1492"	")"	
"4p"	"2P*"	"3/2"	"("	"5043964.1872"	")"	
"4s"	"2S"	"1/2"	"("	"5043859.8855"	")"	
"4d"	"2D"	"3/2"	"("	"5043964.0012"	")"	
"4d"	"2D"	"5/2"	"("	"5044000.6402"	")"	
"4f"	"2F*"	"5/2"	"("	"5044000.5745"	")"	
"4f"	"2F*"	"7/2"	"("	"5044018.8890"	")"	
"5p"	"2P*"	"1/2"	"("	"5164917.6642"	")"	
"5p"	"2P*"	"3/2"	"("	"5164974.0004"	")"	
"5s"	"2S"	"1/2"	"("	"5164920.6054"	")"	
"5d"	"2D"	"3/2"	"("	"5164973.9041"	")"	
"5d"	"2D"	"5/2"	"("	"5164992.6638"	")"	
"5f"	"2F*"	"5/2"	"("	"5164992.6297"	")"	
"5f"	"2F*"	"7/2"	"("	"5165002.0070"	")"	
"5g"	"2G"	"7/2"	"("	"5165001.98935"	")"	
"5g"	"2G"	"9/2"	"("	"5165007.61505"	")"	
"6p"	"2P*"	"1/2"	"("	"5230674.1843"	")"	
"6p"	"2P*"	"3/2"	"("	"5230706.7846"	")"	
"6s"	"2S"	"1/2"	"("	"5230675.8880"	")"	
"6d"	"2D"	"3/2"	"("	"5230706.7284"	")"	
"6d"	"2D"	"5/2"	"("	"5230717.5847"	")"	
"6f"	"2F*"	"5/2"	"("	"5230717.5649"	")"	
"6f"	"2F*"	"7/2"	"("	"5230722.9916"	")"	
"6g"	"2G"	"7/2"	"("	"5230722.98134"	")"	
"6g"	"2G"	"9/2"	"("	"5230726.23704"	")"	
"6h"	"2H*"	"9/2"	"("	"5230726.23062"	")"	
"6h"	"2H*"	"11/2"	"("	"5230728.40094"	")"	
"7p"	"2P*"	"1/2"	"("	"5270320.3420"	")"	
"7p"	"2P*"	"3/2"	"("	"5270340.8707"	")"	
"7s"	"2S"	"1/2"	"("	"5270321.4154"	")"	
"7d"	"2D"	"3/2"	"("	"5270340.8351"	")"	
"7d"	"2D"	"5/2"	"("	"5270347.6716"	")"	
"7f"	"2F*"	"5/2"	"("	"5270347.6591"	")"	
"7f"	"2F*"	"7/2"	"("	"5270351.0766"	")"	
"7g"	"2G"	"7/2"	"("	"5270351.07002"	")"	
"7g"	"2G"	"9/2"	"("	"5270353.12032"	")"	
"7h"	"2H*"	"9/2"	"("	"5270353.11628"	")"	
"7h"	"2H*"	"11/2"	"("	"5270354.48303"	")"	
"7i"	"2I"	"11/2"	"("	"5270354.480285"	")"	
"7i"	"2I"	"13/2"	"("	"5270355.456495"	")"	
"8p"	"2P*"	"1/2"	"("	"5296050.7235"	")"	
"8p"	"2P*"	"3/2"	"("	"5296064.47574"	")"	
"8s"	"2S"	"1/2"	"("	"5296051.4429"	")"	
"8d"	"2D"	"3/2"	"("	"5296064.4518"	")"	
"8d"	"2D"	"5/2"	"("	"5296069.0317"	")"	
"8f"	"2F*"	"5/2"	"("	"5296069.02334"	")"	
"8f"	"2F*"	"7/2"	"("	"5296071.31274"	")"	
"8g"	"2G"	"7/2"	"("	"5296071.30834"	")"	
"8g"	"2G"	"9/2"	"("	"5296072.68185"	")"	
"8h"	"2H*"	"9/2"	"("	"5296072.67915"	")"	
"8h"	"2H*"	"11/2"	"("	"5296073.59477"	")"	
"8i"	"2I"	"11/2"	"("	"5296073.592933"	")"	
"8i"	"2I"	"13/2"	"("	"5296074.246923"	")"	
"8k"	"2K*"	"13/2"	"("	"5296074.245587"	")"	
"8k"	"2K*"	"15/2"	"("	"5296074.736071"	")"	
