Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	""	"0.0"	""	
"1s.2s"	"3S"	"1"	"("	"8935152.53"	")"	
"1s.2p"	"3P*"	"0"	"("	"9022168.49"	")"	
"1s.2p"	"3P*"	"1"	"("	"9022691.03"	")"	
"1s.2p"	"3P*"	"2"	"("	"9025098.397"	")"	
"1s.2s"	"1S"	"0"	"("	"9027804.75"	")"	
"1s.2p"	"1P*"	"1"	"("	"9088517.931"	")"	
"1s.3s"	"3S"	"1"	"("	"10558765"	")"	
"1s.3p"	"3P*"	"0"	"("	"10582604.8"	")"	
"1s.3p"	"3P*"	"1"	"("	"10582774.2"	")"	
"1s.3p"	"3P*"	"2"	"("	"10583485.7"	")"	
"1s.3s"	"1S"	"0"	"("	"10583256"	")"	
"1s.3d"	"3D"	"1"	"("	"10596450.4"	")"	
"1s.3d"	"3D"	"2"	"("	"10596482.1"	")"	
"1s.3d"	"3D"	"3"	"("	"10596729.4"	")"	
"1s.3d"	"1D"	"2"	"("	"10597346.4"	")"	
"1s.3p"	"1P*"	"1"	"("	"10600902.4"	")"	
"1s.4s"	"3S"	"1"	"("	"11114909"	")"	
"1s.4p"	"3P*"	"0"	"("	"11124694.3"	")"	
"1s.4p"	"3P*"	"1"	"("	"11124767.6"	")"	
"1s.4p"	"3P*"	"2"	"("	"11125067.3"	")"	
"1s.4s"	"1S"	"0"	"("	"11124830"	")"	
"1s.4d"	"3D"	"1"	"("	"11130389"	")"	
"1s.4d"	"3D"	"2"	"("	"11130408"	")"	
"1s.4d"	"3D"	"3"	"("	"11130507"	")"	
"1s.4f"	"3F*"	"3"	"("	"11130807"	")"	
"1s.4f"	"3F*"	"2"	"("	"11130826"	")"	
"1s.4f"	"3F*"	"4"	"("	"11130886"	")"	
"1s.4d"	"1D"	"2"	"("	"11130847"	")"	
"1s.4f"	"1F*"	"3"	"("	"11130898"	")"	
"1s.4p"	"1P*"	"1"	"("	"11132217.3"	")"	
"1s.5s"	"3S"	"1"	"("	"11369721"	")"	
"1s.5p"	"3P*"	"0"	"("	"11374665.0"	")"	
"1s.5p"	"3P*"	"1"	"("	"11374702.9"	")"	
"1s.5p"	"3P*"	"2"	"("	"11374856.2"	")"	
"1s.5s"	"1S"	"0"	"("	"11374702"	")"	
"1s.5d"	"3D"	"1"	"("	"11377553"	")"	
"1s.5d"	"3D"	"2"	"("	"11377563"	")"	
"1s.5d"	"3D"	"3"	"("	"11377611"	")"	
"1s.5f"	"3F*"	"3"	"("	"11377778"	")"	
