Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.00"	""	
"2p"	"2P*"	"1/2"	"("	"9971493.811"	")"	
"2p"	"2P*"	"3/2"	"("	"9976874.7642"	")"	
"2s"	"2S"	"1/2"	"("	"9971720.91"	")"	
"3p"	"2P*"	"1/2"	"("	"11819973.41"	")"	
"3p"	"2P*"	"3/2"	"("	"11821567.91"	")"	
"3s"	"2S"	"1/2"	"("	"11820041.87"	")"	
"3d"	"2D"	"3/2"	"("	"11821565.1921"	")"	
"3d"	"2D"	"5/2"	"("	"11822095.1241"	")"	
"4p"	"2P*"	"1/2"	"("	"12466722.295"	")"	
"4p"	"2P*"	"3/2"	"("	"12467394.885"	")"	
"4s"	"2S"	"1/2"	"("	"12466750.94"	")"	
"4d"	"2D"	"3/2"	"("	"12467393.726"	")"	
"4d"	"2D"	"5/2"	"("	"12467617.321"	")"	
"4f"	"2F*"	"5/2"	"("	"12467616.917"	")"	
"4f"	"2F*"	"7/2"	"("	"12467728.632"	")"	
"5p"	"2P*"	"1/2"	"("	"12765981.210"	")"	
"5p"	"2P*"	"3/2"	"("	"12766325.518"	")"	
"5s"	"2S"	"1/2"	"("	"12765995.896"	")"	
"5d"	"2D"	"3/2"	"("	"12766324.920"	")"	
"5d"	"2D"	"5/2"	"("	"12766439.402"	")"	
"5f"	"2F*"	"5/2"	"("	"12766439.194"	")"	
"5f"	"2F*"	"7/2"	"("	"12766496.397"	")"	
"5g"	"2G"	"7/2"	"("	"12766496.2883"	")"	
"5g"	"2G"	"9/2"	"("	"12766530.5997"	")"	
"6p"	"2P*"	"1/2"	"("	"12928502.616"	")"	
"6p"	"2P*"	"3/2"	"("	"12928701.847"	")"	
"6s"	"2S"	"1/2"	"("	"12928511.127"	")"	
"6d"	"2D"	"3/2"	"("	"12928701.497"	")"	
"6d"	"2D"	"5/2"	"("	"12928767.747"	")"	
"6f"	"2F*"	"5/2"	"("	"12928767.626"	")"	
"6f"	"2F*"	"7/2"	"("	"12928800.730"	")"	
"6g"	"2G"	"7/2"	"("	"12928800.6673"	")"	
"6g"	"2G"	"9/2"	"("	"12928820.5243"	")"	
"6h"	"2H*"	"9/2"	"("	"12928820.48538"	")"	
"6h"	"2H*"	"11/2"	"("	"12928833.72138"	")"	
"7p"	"2P*"	"1/2"	"("	"13026479.870"	")"	
"7p"	"2P*"	"3/2"	"("	"13026605.321"	")"	
"7s"	"2S"	"1/2"	"("	"13026485.233"	")"	
"7d"	"2D"	"3/2"	"("	"13026605.0990"	")"	
"7d"	"2D"	"5/2"	"("	"13026646.8180"	")"	
"7f"	"2F*"	"5/2"	"("	"13026646.7420"	")"	
"7f"	"2F*"	"7/2"	"("	"13026667.5890"	")"	
"7g"	"2G"	"7/2"	"("	"13026667.5491"	")"	
"7g"	"2G"	"9/2"	"("	"13026680.0541"	")"	
"7h"	"2H*"	"9/2"	"("	"13026680.02958"	")"	
"7h"	"2H*"	"11/2"	"("	"13026688.36498"	")"	
"7i"	"2I"	"11/2"	"("	"13026688.34829"	")"	
"7i"	"2I"	"13/2"	"("	"13026694.30168"	")"	
"8p"	"2P*"	"1/2"	"("	"13090061.714"	")"	
"8p"	"2P*"	"3/2"	"("	"13090145.7488"	")"	
"8s"	"2S"	"1/2"	"("	"13090065.307"	")"	
"8d"	"2D"	"3/2"	"("	"13090145.5988"	")"	
"8d"	"2D"	"5/2"	"("	"13090173.5468"	")"	
"8f"	"2F*"	"5/2"	"("	"13090173.4958"	")"	
"8f"	"2F*"	"7/2"	"("	"13090187.4618"	")"	
"8g"	"2G"	"7/2"	"("	"13090187.4352"	")"	
"8g"	"2G"	"9/2"	"("	"13090195.8126"	")"	
"8h"	"2H*"	"9/2"	"("	"13090195.79611"	")"	
"8h"	"2H*"	"11/2"	"("	"13090201.38031"	")"	
"8i"	"2I"	"11/2"	"("	"13090201.36912"	")"	
"8i"	"2I"	"13/2"	"("	"13090205.35750"	")"	
"8k"	"2K*"	"13/2"	"("	"13090205.34936"	")"	
"8k"	"2K*"	"15/2"	"("	"13090208.34049"	")"	
"9p"	"2P*"	"1/2"	"("	"13133648.1860"	")"	
"9p"	"2P*"	"3/2"	"("	"13133707.2020"	")"	
"9s"	"2S"	"1/2"	"("	"13133650.711"	")"	
"9d"	"2D"	"3/2"	"("	"13133707.0970"	")"	
"9d"	"2D"	"5/2"	"("	"13133726.7260"	")"	
"9f"	"2F*"	"5/2"	"("	"13133726.6900"	")"	
"9f"	"2F*"	"7/2"	"("	"13133736.4980"	")"	
"9g"	"2G"	"7/2"	"("	"13133736.4795"	")"	
"9g"	"2G"	"9/2"	"("	"13133742.3632"	")"	
"9h"	"2H*"	"9/2"	"("	"13133742.35161"	")"	
"9h"	"2H*"	"11/2"	"("	"13133746.27361"	")"	
"9i"	"2I"	"11/2"	"("	"13133746.26573"	")"	
"9i"	"2I"	"13/2"	"("	"13133749.06693"	")"	
"9k"	"2K*"	"13/2"	"("	"13133749.06120"	")"	
"9k"	"2K*"	"15/2"	"("	"13133751.16199"	")"	
"9l"	"2L"	"15/2"	"("	"13133751.157642"	")"	
"9l"	"2L"	"17/2"	"("	"13133752.791532"	")"	
"10p"	"2P*"	"1/2"	"("	"13164822.3944"	")"	
"10p"	"2P*"	"3/2"	"("	"13164865.4154"	")"	
"10s"	"2S"	"1/2"	"("	"13164824.2353"	")"	
"10d"	"2D"	"3/2"	"("	"13164865.3383"	")"	
"10d"	"2D"	"5/2"	"("	"13164879.6470"	")"	
"10f"	"2F*"	"5/2"	"("	"13164879.6207"	")"	
"10f"	"2F*"	"7/2"	"("	"13164886.7711"	")"	
"10g"	"2G"	"7/2"	"("	"13164886.7574"	")"	
