Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s2"	"1S"	"0"	""	"0.0"	""	
"1s.2s"	"3S"	"1"	"("	"7299818.12"	")"	
"1s.2p"	"3P*"	"0"	"("	"7378082.095"	")"	
"1s.2p"	"3P*"	"1"	"("	"7378382.742"	")"	
"1s.2p"	"3P*"	"2"	"("	"7379940.384"	")"	
"1s.2s"	"1S"	"0"	"("	"7382565.05"	")"	
"1s.2p"	"1P*"	"1"	"("	"7436435.990"	")"	
"1s.3s"	"3S"	"1"	"("	"8622882"	")"	
"1s.3p"	"3P*"	"0"	"("	"8644285.4"	")"	
"1s.3p"	"3P*"	"1"	"("	"8644385.7"	")"	
"1s.3p"	"3P*"	"2"	"("	"8644845.8"	")"	
"1s.3s"	"1S"	"0"	"("	"8644761"	")"	
"1s.3d"	"3D"	"1"	"("	"8656378.6"	")"	
"1s.3d"	"3D"	"2"	"("	"8656401.4"	")"	
"1s.3d"	"3D"	"3"	"("	"8656555.6"	")"	
"1s.3d"	"1D"	"2"	"("	"8657094.0"	")"	
"1s.3p"	"1P*"	"1"	"("	"8660413.0"	")"	
"1s.4s"	"3S"	"1"	"("	"9075101"	")"	
"1s.4p"	"3P*"	"0"	"("	"9083879.5"	")"	
"1s.4p"	"3P*"	"1"	"("	"9083923.3"	")"	
"1s.4p"	"3P*"	"2"	"("	"9084117.0"	")"	
"1s.4s"	"1S"	"0"	"("	"9083963"	")"	
"1s.4d"	"3D"	"1"	"("	"9088854"	")"	
"1s.4d"	"3D"	"2"	"("	"9088867"	")"	
"1s.4d"	"3D"	"3"	"("	"9088929"	")"	
"1s.4f"	"3F*"	"3"	"("	"9089189"	")"	
"1s.4f"	"3F*"	"2"	"("	"9089203"	")"	
"1s.4f"	"3F*"	"4"	"("	"9089242"	")"	
"1s.4d"	"1D"	"2"	"("	"9089226"	")"	
"1s.4f"	"1F*"	"3"	"("	"9089249"	")"	
"1s.4p"	"1P*"	"1"	"("	"9090513.9"	")"	
"1s.5s"	"3S"	"1"	"("	"9282094"	")"	
"1s.5p"	"3P*"	"0"	"("	"9286526.5"	")"	
"1s.5p"	"3P*"	"1"	"("	"9286549.2"	")"	
"1s.5p"	"3P*"	"2"	"("	"9286648.3"	")"	
"1s.5s"	"1S"	"0"	"("	"9286542"	")"	
"1s.5d"	"3D"	"1"	"("	"9289050"	")"	
"1s.5d"	"3D"	"2"	"("	"9289058"	")"	
"1s.5d"	"3D"	"3"	"("	"9289088"	")"	
"1s.5f"	"3F*"	"3"	"("	"9289230"	")"	
"1s.5f"	"3F*"	"2"	"("	"9289237"	")"	
"1s.5f"	"3F*"	"4"	"("	"9289256"	")"	
"1s.5d"	"1D"	"2"	"("	"9289255"	")"	
"1s.5g"	"3G"	"4"	"("	"9289260"	")"	
"1s.5g"	"3G"	"5"	"("	"9289276"	")"	
"1s.5g"	"3G"	"3"	"("	"9289264"	")"	
"1s.5f"	"1F*"	"3"	"("	"9289261"	")"	
"1s.5g"	"1G"	"4"	"("	"9289279"	")"	
"1s.5p"	"1P*"	"1"	"("	"9289882.9"	")"	
"1s.6s"	"3S"	"1"	"("	"9393790"	")"	
"1s.6p"	"3P*"	"0"	"("	"9396334.3"	")"	
"1s.6p"	"3P*"	"1"	"("	"9396347.5"	")"	
"1s.6p"	"3P*"	"2"	"("	"9396404.8"	")"	
"1s.6s"	"1S"	"0"	"("	"9396335"	")"	
"1s.6d"	"3D"	"1"	"("	"9397778.3"	")"	
"1s.6d"	"3D"	"2"	"("	"9397782.3"	")"	
