Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.00"	""	
"2p"	"2P*"	"1/2"	"("	"8238938.384"	")"	
"2p"	"2P*"	"3/2"	"("	"8242611.0852"	")"	
"2s"	"2S"	"1/2"	"("	"8239100.49"	")"	
"3p"	"2P*"	"1/2"	"("	"9765979.58"	")"	
"3p"	"2P*"	"3/2"	"("	"9767067.862"	")"	
"3s"	"2S"	"1/2"	"("	"9766027.90"	")"	
"3d"	"2D"	"3/2"	"("	"9767066.0207"	")"	
"3d"	"2D"	"5/2"	"("	"9767427.9002"	")"	
"4p"	"2P*"	"1/2"	"("	"10300294.573"	")"	
"4p"	"2P*"	"3/2"	"("	"10300753.643"	")"	
"4s"	"2S"	"1/2"	"("	"10300315.030"	")"	
"4d"	"2D"	"3/2"	"("	"10300752.854"	")"	
"4d"	"2D"	"5/2"	"("	"10300905.539"	")"	
"4f"	"2F*"	"5/2"	"("	"10300905.2636"	")"	
"4f"	"2F*"	"7/2"	"("	"10300981.5596"	")"	
"5p"	"2P*"	"1/2"	"("	"10547542.316"	")"	
"5p"	"2P*"	"3/2"	"("	"10547777.331"	")"	
"5s"	"2S"	"1/2"	"("	"10547552.809"	")"	
"5d"	"2D"	"3/2"	"("	"10547776.924"	")"	
"5d"	"2D"	"5/2"	"("	"10547855.100"	")"	
"5f"	"2F*"	"5/2"	"("	"10547854.9581"	")"	
"5f"	"2F*"	"7/2"	"("	"10547894.0241"	")"	
"5g"	"2G"	"7/2"	"("	"10547893.9497"	")"	
"5g"	"2G"	"9/2"	"("	"10547917.3836"	")"	
"6p"	"2P*"	"1/2"	"("	"10681823.127"	")"	
"6p"	"2P*"	"3/2"	"("	"10681959.1156"	")"	
"6s"	"2S"	"1/2"	"("	"10681829.203"	")"	
"6d"	"2D"	"3/2"	"("	"10681958.8786"	")"	
"6d"	"2D"	"5/2"	"("	"10682004.1186"	")"	
"6f"	"2F*"	"5/2"	"("	"10682004.0356"	")"	
"6f"	"2F*"	"7/2"	"("	"10682026.6436"	")"	
"6g"	"2G"	"7/2"	"("	"10682026.6008"	")"	
"6g"	"2G"	"9/2"	"("	"10682040.1626"	")"	
"6h"	"2H*"	"9/2"	"("	"10682040.13610"	")"	
"6h"	"2H*"	"11/2"	"("	"10682049.17610"	")"	
"7p"	"2P*"	"1/2"	"("	"10762777.913"	")"	
"7p"	"2P*"	"3/2"	"("	"10762863.5431"	")"	
"7s"	"2S"	"1/2"	"("	"10762781.742"	")"	
"7d"	"2D"	"3/2"	"("	"10762863.3931"	")"	
"7d"	"2D"	"5/2"	"("	"10762891.8811"	")"	
"7f"	"2F*"	"5/2"	"("	"10762891.8291"	")"	
"7f"	"2F*"	"7/2"	"("	"10762906.0661"	")"	
"7g"	"2G"	"7/2"	"("	"10762906.0393"	")"	
"7g"	"2G"	"9/2"	"("	"10762914.5798"	")"	
"7h"	"2H*"	"9/2"	"("	"10762914.56301"	")"	
"7h"	"2H*"	"11/2"	"("	"10762920.25601"	")"	
"7i"	"2I"	"11/2"	"("	"10762920.24463"	")"	
"7i"	"2I"	"13/2"	"("	"10762924.31077"	")"	
"8p"	"2P*"	"1/2"	"("	"10815314.4282"	")"	
"8p"	"2P*"	"3/2"	"("	"10815371.7902"	")"	
"8s"	"2S"	"1/2"	"("	"10815316.9937"	")"	
"8d"	"2D"	"3/2"	"("	"10815371.6882"	")"	
"8d"	"2D"	"5/2"	"("	"10815390.7732"	")"	
"8f"	"2F*"	"5/2"	"("	"10815390.7382"	")"	
"8f"	"2F*"	"7/2"	"("	"10815400.2761"	")"	
"8g"	"2G"	"7/2"	"("	"10815400.2578"	")"	
"8g"	"2G"	"9/2"	"("	"10815405.9793"	")"	
"8h"	"2H*"	"9/2"	"("	"10815405.96805"	")"	
"8h"	"2H*"	"11/2"	"("	"10815409.78195"	")"	
"8i"	"2I"	"11/2"	"("	"10815409.77432"	")"	
"8i"	"2I"	"13/2"	"("	"10815412.49836"	")"	
"8k"	"2K*"	"13/2"	"("	"10815412.492800"	")"	
"8k"	"2K*"	"15/2"	"("	"10815414.535730"	")"	
"9p"	"2P*"	"1/2"	"("	"10851329.8565"	")"	
"9p"	"2P*"	"3/2"	"("	"10851370.1415"	")"	
"9s"	"2S"	"1/2"	"("	"10851331.6591"	")"	
"9d"	"2D"	"3/2"	"("	"10851370.0697"	")"	
"9d"	"2D"	"5/2"	"("	"10851383.4733"	")"	
"9f"	"2F*"	"5/2"	"("	"10851383.4487"	")"	
"9f"	"2F*"	"7/2"	"("	"10851390.1473"	")"	
"9g"	"2G"	"7/2"	"("	"10851390.1345"	")"	
"9g"	"2G"	"9/2"	"("	"10851394.1529"	")"	
"9h"	"2H*"	"9/2"	"("	"10851394.14499"	")"	
"9h"	"2H*"	"11/2"	"("	"10851396.82369"	")"	
"9i"	"2I"	"11/2"	"("	"10851396.81826"	")"	
"9i"	"2I"	"13/2"	"("	"10851398.73145"	")"	
"9k"	"2K*"	"13/2"	"("	"10851398.72754"	")"	
"9k"	"2K*"	"15/2"	"("	"10851400.16238"	")"	
"9l"	"2L"	"15/2"	"("	"10851400.159405"	")"	
"9l"	"2L"	"17/2"	"("	"10851401.275356"	")"	
"10p"	"2P*"	"1/2"	"("	"10877089.4740"	")"	
"10p"	"2P*"	"3/2"	"("	"10877118.8403"	")"	
