Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d6"	"5D"	"4"	""	"0.00"	""	
"3d6"	"5D"	"3"	""	"889.55"	""	
"3d6"	"5D"	"2"	""	"1489.81"	""	
"3d6"	"5D"	"1"	""	"1871.4"	""	
"3d6"	"5D"	"0"	""	"2057.6"	""	
"3d6"	"3P2"	"2"	""	"26152.7"	""	
"3d6"	"3P2"	"1"	""	"28697.5"	""	
"3d6"	"3P2"	"0"	""	"29640.4"	""	
"3d6"	"3H"	"6"	""	"27111.6"	""	
"3d6"	"3H"	"5"	""	"27578.7"	""	
"3d6"	"3H"	"4"	""	"27859.2"	""	
"3d6"	"3F2"	"4"	""	"29123.98"	""	
"3d6"	"3F2"	"3"	""	"29571.09"	""	
"3d6"	"3F2"	"2"	""	"29898.9"	""	
"3d6"	"3G"	"5"	""	"33256.60"	""	
"3d6"	"3G"	"4"	""	"34062.09"	""	
"3d6"	"3G"	"3"	""	"34416.3"	""	
"3d6"	"1I"	"6"	""	"41252.8"	""	
"3d6"	"3D"	"2"	""	"41627.4"	""	
"3d6"	"3D"	"1"	""	"41701.3"	""	
"3d6"	"3D"	"3"	""	"41920.7"	""	
"3d6"	"1G2"	"4"	""	"42208.66"	""	
"3d6"	"1S2"	"0"	""	"47700.1"	""	
"3d6"	"1D2"	"2"	""	"48607.3"	""	
"3d6"	"1F"	"3"	""	"57924.5"	""	
"3d6"	"3P1"	"0"	""	"66738.5"	""	
"3d6"	"3P1"	"1"	""	"67548.7"	""	
"3d6"	"3P1"	"2"	""	"69156.7"	""	
"3d6"	"3F1"	"2"	""	"68632.6"	""	
"3d6"	"3F1"	"4"	""	"68719.4"	""	
"3d6"	"3F1"	"3"	""	"68855.5"	""	
"3d6"	"1G1"	"4"	""	"77900.3"	""	
"3d6"	"1D1"	"2"	""	"104422.2"	""	
"3d5.(6S).4s"	"7S"	"3"	""	"164523.5"	""	
"3d5.(6S).4s"	"5S"	"2"	""	"178019.63"	""	
"3d5.(4G).4s"	"5G"	"6"	""	"208046.25"	""	
"3d5.(4G).4s"	"5G"	"5"	""	"208130.75"	""	
"3d5.(4G).4s"	"5G"	"2"	""	"208151.82"	""	
"3d5.(4G).4s"	"5G"	"4"	""	"208163.58"	""	
"3d5.(4G).4s"	"5G"	"3"	""	"208164.9"	""	
"3d5.(4P).4s"	"5P"	"3"	""	"212095.36"	""	
"3d5.(4P).4s"	"5P"	"2"	""	"212253.31"	""	
"3d5.(4P).4s"	"5P"	"1"	""	"212455.07"	""	
"3d5.(4D).4s"	"5D"	"4"	""	"216190.14"	""	
"3d5.(4D).4s"	"5D"	"0"	""	"216305.8"	""	
"3d5.(4D).4s"	"5D"	"1"	""	"216434.85"	""	
"3d5.(4D).4s"	"5D"	"2"	""	"216590.69"	""	
"3d5.(4D).4s"	"5D"	"3"	""	"216596.19"	""	
"3d5.(4G).4s"	"3G"	"5"	""	"217049.77"	""	
"3d5.(4G).4s"	"3G"	"3"	""	"217101.30"	""	
"3d5.(4G).4s"	"3G"	"4"	""	"217130.46"	""	
"3d5.(4P).4s"	"3P"	"2"	""	"221087.38"	""	
"3d5.(4P).4s"	"3P"	"1"	""	"221428.86"	""	
"3d5.(4D).4s"	"3D"	"3"	""	"225201.99"	""	
"3d5.(4D).4s"	"3D"	"1"	""	"225545.77"	""	
"3d5.(4D).4s"	"3D"	"2"	""	"225617.55"	""	
"3d5.(2I).4s"	"3I"	"6"	""	"229409.70"	""	
"3d5.(2I).4s"	"3I"	"5"	""	"229413.86"	""	
"3d5.(2I).4s"	"3I"	"7"	""	"229441.21"	""	
"3d5.(2D3).4s"	"3D"	"3"	""	"232546.16"	""	
"3d5.(2D3).4s"	"3D"	"2"	""	"232656.04"	""	
