Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.000"	""	
"2p"	"2P*"	"1/2"	"("	"5270783.2108"	")"	
"2p"	"2P*"	"3/2"	"("	"5272285.7548"	")"	
"2s"	"2S"	"1/2"	"("	"5270856.453"	")"	
"3p"	"2P*"	"1/2"	"("	"6247401.103"	")"	
"3p"	"2P*"	"3/2"	"("	"6247846.321"	")"	
"3s"	"2S"	"1/2"	"("	"6247422.961"	")"	
"3d"	"2D"	"3/2"	"("	"6247845.57354"	")"	
"3d"	"2D"	"5/2"	"("	"6247993.74923"	")"	
"4p"	"2P*"	"1/2"	"("	"6589156.258"	")"	
"4p"	"2P*"	"3/2"	"("	"6589344.0711"	")"	
"4s"	"2S"	"1/2"	"("	"6589165.511"	")"	
"4d"	"2D"	"3/2"	"("	"6589343.7511"	")"	
"4d"	"2D"	"5/2"	"("	"6589406.2671"	")"	
"4f"	"2F*"	"5/2"	"("	"6589406.1543"	")"	
"4f"	"2F*"	"7/2"	"("	"6589437.4001"	")"	
"5p"	"2P*"	"1/2"	"("	"6747313.9882"	")"	
"5p"	"2P*"	"3/2"	"("	"6747410.1402"	")"	
"5s"	"2S"	"1/2"	"("	"6747318.7335"	")"	
"5d"	"2D"	"3/2"	"("	"6747409.9762"	")"	
"5d"	"2D"	"5/2"	"("	"6747441.9842"	")"	
"5f"	"2F*"	"5/2"	"("	"6747441.9261"	")"	
"5f"	"2F*"	"7/2"	"("	"6747457.9246"	")"	
"5g"	"2G"	"7/2"	"("	"6747457.89426"	")"	
"5g"	"2G"	"9/2"	"("	"6747467.49186"	")"	
"6p"	"2P*"	"1/2"	"("	"6833215.9446"	")"	
"6p"	"2P*"	"3/2"	"("	"6833271.5850"	")"	
"6s"	"2S"	"1/2"	"("	"6833218.6928"	")"	
"6d"	"2D"	"3/2"	"("	"6833271.4886"	")"	
"6d"	"2D"	"5/2"	"("	"6833290.0116"	")"	
"6f"	"2F*"	"5/2"	"("	"6833289.9781"	")"	
"6f"	"2F*"	"7/2"	"("	"6833299.2367"	")"	
"6g"	"2G"	"7/2"	"("	"6833299.21908"	")"	
"6g"	"2G"	"9/2"	"("	"6833304.77338"	")"	
"6h"	"2H*"	"9/2"	"("	"6833304.76248"	")"	
"6h"	"2H*"	"11/2"	"("	"6833308.46505"	")"	
"7p"	"2P*"	"1/2"	"("	"6885007.0802"	")"	
