Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0.00"	""	
"2p"	"2P*"	"1/2"	"("	"18564055.697"	")"	
"2p"	"2P*"	"3/2"	"("	"18582726.091"	")"	
"2s"	"2S"	"1/2"	"("	"18564730.96"	")"	
"3p"	"2P*"	"1/2"	"("	"22008293.3"	")"	
"3p"	"2P*"	"3/2"	"("	"22013826.25"	")"	
"3s"	"2S"	"1/2"	"("	"22008493.3"	")"	
"3d"	"2D"	"3/2"	"("	"22013816.642"	")"	
"3d"	"2D"	"5/2"	"("	"22015650.785"	")"	
"4p"	"2P*"	"1/2"	"("	"23213015.93"	")"	
"4p"	"2P*"	"3/2"	"("	"23215349.52"	")"	
"4s"	"2S"	"1/2"	"("	"23213100.63"	")"	
"4d"	"2D"	"3/2"	"("	"23215345.42"	")"	
"4d"	"2D"	"5/2"	"("	"23216119.39"	")"	
"4f"	"2F*"	"5/2"	"("	"23216117.998"	")"	
"4f"	"2F*"	"7/2"	"("	"23216504.458"	")"	
"5p"	"2P*"	"1/2"	"("	"23770306.00"	")"	
"5p"	"2P*"	"3/2"	"("	"23771500.49"	")"	
"5s"	"2S"	"1/2"	"("	"23770349.50"	")"	
"5d"	"2D"	"3/2"	"("	"23771498.368"	")"	
"5d"	"2D"	"5/2"	"("	"23771894.648"	")"	
"5f"	"2F*"	"5/2"	"("	"23771893.938"	")"	
"5f"	"2F*"	"7/2"	"("	"23772091.828"	")"	
"5g"	"2G"	"7/2"	"("	"23772091.4532"	")"	
"5g"	"2G"	"9/2"	"("	"23772210.1242"	")"	
"6p"	"2P*"	"1/2"	"("	"24072896.21"	")"	
"6p"	"2P*"	"3/2"	"("	"24073587.30"	")"	
"6s"	"2S"	"1/2"	"("	"24072921.38"	")"	
"6d"	"2D"	"3/2"	"("	"24073586.063"	")"	
"6d"	"2D"	"5/2"	"("	"24073815.393"	")"	
"6f"	"2F*"	"5/2"	"("	"24073814.971"	")"	
"6f"	"2F*"	"7/2"	"("	"24073929.498"	")"	
"6g"	"2G"	"7/2"	"("	"24073929.281"	")"	
"6g"	"2G"	"9/2"	"("	"24073997.962"	")"	
"6h"	"2H*"	"9/2"	"("	"24073997.8270"	")"	
"6h"	"2H*"	"11/2"	"("	"24074043.6015"	")"	
"7p"	"2P*"	"1/2"	"("	"24255286.01"	")"	
"7p"	"2P*"	"3/2"	"("	"24255721.129"	")"	
"7s"	"2S"	"1/2"	"("	"24255301.87"	")"	
"7d"	"2D"	"3/2"	"("	"24255720.350"	")"	
"7d"	"2D"	"5/2"	"("	"24255864.758"	")"	
"7f"	"2F*"	"5/2"	"("	"24255864.494"	")"	
"7f"	"2F*"	"7/2"	"("	"24255936.617"	")"	
"7g"	"2G"	"7/2"	"("	"24255936.4803"	")"	
"7g"	"2G"	"9/2"	"("	"24255979.7323"	")"	
"7h"	"2H*"	"9/2"	"("	"24255979.6477"	")"	
"7h"	"2H*"	"11/2"	"("	"24256008.4752"	")"	
"7i"	"2I"	"11/2"	"("	"24256008.41746"	")"	
"7i"	"2I"	"13/2"	"("	"24256029.00526"	")"	
"8p"	"2P*"	"1/2"	"("	"24373632.227"	")"	
"8p"	"2P*"	"3/2"	"("	"24373923.677"	")"	
"8s"	"2S"	"1/2"	"("	"24373642.850"	")"	
"8d"	"2D"	"3/2"	"("	"24373923.152"	")"	
"8d"	"2D"	"5/2"	"("	"24374019.889"	")"	
"8f"	"2F*"	"5/2"	"("	"24374019.712"	")"	
"8f"	"2F*"	"7/2"	"("	"24374068.028"	")"	
"8g"	"2G"	"7/2"	"("	"24374067.9361"	")"	
"8g"	"2G"	"9/2"	"("	"24374096.9121"	")"	
"8h"	"2H*"	"9/2"	"("	"24374096.8556"	")"	
"8h"	"2H*"	"11/2"	"("	"24374116.1683"	")"	
"8i"	"2I"	"11/2"	"("	"24374116.1295"	")"	
"8i"	"2I"	"13/2"	"("	"24374129.9222"	")"	
"8k"	"2K*"	"13/2"	"("	"24374129.89409"	")"	
"8k"	"2K*"	"15/2"	"("	"24374140.23759"	")"	
"9p"	"2P*"	"1/2"	"("	"24454752.556"	")"	
"9p"	"2P*"	"3/2"	"("	"24454957.230"	")"	
"9s"	"2S"	"1/2"	"("	"24454760.029"	")"	
"9d"	"2D"	"3/2"	"("	"24454956.859"	")"	
"9d"	"2D"	"5/2"	"("	"24455024.797"	")"	
"9f"	"2F*"	"5/2"	"("	"24455024.673"	")"	
"9f"	"2F*"	"7/2"	"("	"24455058.606"	")"	
"9g"	"2G"	"7/2"	"("	"24455058.5416"	")"	
"9g"	"2G"	"9/2"	"("	"24455078.8926"	")"	
"9h"	"2H*"	"9/2"	"("	"24455078.8522"	")"	
"9h"	"2H*"	"11/2"	"("	"24455092.4163"	")"	
"9i"	"2I"	"11/2"	"("	"24455092.3891"	")"	
"9i"	"2I"	"13/2"	"("	"24455102.0763"	")"	
"9k"	"2K*"	"13/2"	"("	"24455102.05650"	")"	
"9k"	"2K*"	"15/2"	"("	"24455109.32130"	")"	
"9l"	"2L"	"15/2"	"("	"24455109.30626"	")"	
"9l"	"2L"	"17/2"	"("	"24455114.95624"	")"	
"10p"	"2P*"	"1/2"	"("	"24512767.265"	")"	
"10p"	"2P*"	"3/2"	"("	"24512916.456"	")"	
"10s"	"2S"	"1/2"	"("	"24512772.709"	")"	
"10d"	"2D"	"3/2"	"("	"24512916.184"	")"	
"10d"	"2D"	"5/2"	"("	"24512965.710"	")"	
"10f"	"2F*"	"5/2"	"("	"24512965.619"	")"	
"10f"	"2F*"	"7/2"	"("	"24512990.356"	")"	
"10g"	"2G"	"7/2"	"("	"24512990.3085"	")"	
"10g"	"2G"	"9/2"	"("	"24513005.1435"	")"	
"10h"	"2H*"	"9/2"	"("	"24513005.1147"	")"	
"10h"	"2H*"	"11/2"	"("	"24513015.0030"	")"	
"10i"	"2I"	"11/2"	"("	"24513014.9831"	")"	
"10i"	"2I"	"13/2"	"("	"24513022.0452"	")"	
"10k"	"2K*"	"13/2"	"("	"24513022.03084"	")"	
"10k"	"2K*"	"15/2"	"("	"24513027.32694"	")"	
"10l"	"2L"	"15/2"	"("	"24513027.31594"	")"	
"10l"	"2L"	"17/2"	"("	"24513031.43484"	")"	
"10m"	"2M*"	"17/2"	"("	"24513031.426228"	")"	
