Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5d9.6s"	"3D"	"3"	""	"0.0000"	""	
"5d9.6s"	"3D"	"2"	""	"6567.4517"	""	
"5d9.6s"	"3D"	"1"	""	"10131.8684"	""	
"5d9.6s"	"a 1D"	"2"	""	"775.8761"	""	
"5d8.6s2"	"3F"	"4"	""	"823.6608"	""	
"5d8.6s2"	"3F"	"3"	""	"10116.7158"	""	
"5d8.6s2"	"3F"	"2"	""	"15501.8344"	""	
"5d10"	"1S"	"0"	""	"6140.170"	""	
"5d9.6s"	"b 1D"	"2"	""	"13496.2595"	""	
"5d8.6s2"	"3P"	"0"	""	"16983.435"	""	
"5d8.6s2"	"3P"	"1"	""	"18566.5450"	""	
"5d8.6s2"	"1G"	"4"	""	"21967.101"	""	
"5d8.6s2"	"1D"	"2"	""	"26638.576"	""	
"5d8.6s.(4F).6p"	"5D*"	"4"	""	"30156.846"	""	
"5d8.6s.(4F).6p"	"5D*"	"2"	""	"40516.229"	""	
"5d8.6s.(4F).6p"	"5D*"	"1"	""	"43187.829"	""	
"5d9.6p"	"a 3P*"	"2"	""	"32620.0047"	""	
"5d8.6s.(4F).6p"	"a 5F*"	"5"	""	"33680.390"	""	
"5d9.6p"	"3F*"	"3"	""	"34122.1452"	""	
"5d9.6p"	"3F*"	"4"	""	"37590.5647"	""	
"5d9.6p"	"3F*"	"2"	""	"46170.3757"	""	
"5d8.6s.(4F).6p"	"a 5D*"	"3"	""	"35321.6370"	""	
"5d8.6s.(4F).6p"	"a 5G*"	"4"	""	"36296.294"	""	
"5d8.6s.(4F).6p"	"5G*"	"6"	""	"36781.545"	""	
"5d8.6s.(4F).6p"	"5G*"	"3"	""	"40970.1568"	""	
"5d8.6s.(4F).6p"	"5G*"	"2"	""	"48535.587"	""	
"5d9.6p"	"3P*"	"1"	""	"36844.695"	""	
"5d9.6p"	"3P*"	"0"	""	"50387.658"	""	
"5d9.6p"	"b 3P*"	"2"	""	"37342.089"	""	
"5d9.6p"	"3D*"	"3"	""	"37769.0673"	""	
"5d9.6p"	"3D*"	"2"	""	"49880.8667"	""	
"5d8.6s.(4F).6p"	"b 5F*"	"5"	""	"38536.1439"	""	
"5d8.6s.(2D).6p"	"a 3F*"	"2"	""	"38815.8940"	""	
"5d8.6s.(4F).6p"	"5F*"	"4"	""	"40194.2203"	""	
"5d8.6s.(4F).6p"	"5F*"	"2"	""	"44444.346"	""	
"5d8.6s.(4F).6p"	"5F*"	"1"	""	"50055.296"	""	
"5d8.6s.(4P).6p"	"5P*"	"2"	""	"40787.8417"	""	
"5d8.6s.(4P).6p"	"5P*"	"1"	""	"45398.466"	""	
"5d8.6s.(2D).6p"	"3P*"	"0"	""	"40873.510"	""	
"5d8.6s.(2D).6p"	"a 3D*"	"1"	""	"41802.733"	""	
"5d8.6s.(4F).6p"	"b 5D*"	"3"	""	"42660.048"	""	
"5d8.6s.(4P).6p"	"a 5P*"	"3"	""	"43945.534"	""	
"5d8.6s.(4F).6p"	"b 5G*"	"4"	""	"44432.651"	""	
"5d8.6s.(2F).6p"	"a 3D*"	"3"	""	"44730.3062"	""	
"5d8.6s.(4P).6p"	"a 5D*"	"2"	""	"46419.952"	""	
"5d8.6s.(4P).6p"	"a 5D*"	"4"	""	"46963.6658"	""	
"5d8.6s.(4P).6p"	"5D*"	"0"	""	"46433.898"	""	
"5d8.6s.(4P).6p"	"5D*"	"3"	""	"51097.5087"	""	
"5d8.6s.(4P).6p"	"5D*"	"1"	""	"52071.669"	""	
"5d8.6s.(2F).6p"	"b 3D*"	"3"	""	"46622.4900"	""	
"5d8.6s.(4F).6p"	"3G*"	"5"	""	"46792.9402"	""	
"5d9.6p"	"1P*"	"1"	""	"47740.5680"	""	
"5d8.6s.(4F).6p"	"3F*"	"4"	""	"48351.9153"	""	
"5d8.6s.(4F).6p"	"3F*"	"3"	""	"60328.0281"	""	
"5d8.6s.(4F).6p"	"a 3D*"	"3"	""	"48779.3250"	""	
"5d8.6s.(4P).6p"	"b 5P*"	"3"	""	"49286.1051"	""	
"5d9.6p"	"a 3D*"	"1"	""	"49544.552"	""	
"5d8.6s.(2F).6p"	"a 3F*"	"4"	""	"50010.1497"	""	
"5d7.(4F).6s2.6p"	"a 3G*"	"5"	""	"50299.3510"	""	
"5d8.6s.(2F).6p"	"1D*"	"2"	""	"51286.9345"	""	
"5d8.6s.(4F).6p"	"b 3D*"	"3"	""	"51545.5216"	""	
"5d8.6s.(2F).6p"	"3F*"	"2"	""	"51753.2970"	""	
"5d9.7s"	"3D"	"3"	""	"52379.367"	""	
"5d9.7s"	"3D"	"1"	""	"60357.790"	""	
"5d9.7s"	"3D"	"2"	""	"60640.659"	""	
"5d8.6s.(2F).6p"	"3G*"	"5"	""	"52438.5877"	""	
"5d8.6s.(2F).6p"	"b 3F*"	"4"	""	"52520.1199"	""	
"5d9.7s"	"1D"	"2"	""	"52667.196"	""	
"5d8.6s.(4P).6p"	"b 5D*"	"2"	""	"52708.3577"	""	
"5d8.6s.(4P).6p"	"b 5D*"	"4"	""	"54178.5090"	""	
"5d8.6s.(2F).6p"	"3D*"	"1"	""	"53019.296"	""	
"5d8.6s.(2P).6p"	"3D*"	"1"	""	"53665.238"	""	
"5d8.6s.(2P).6p"	"3D*"	"3"	""	"55536.263"	""	
"5d8.6s.(2P).6p"	"3D*"	"2"	""	"58326.72"	""	
"5d8.6s.(2P).6p"	"3P*"	"2"	""	"53953.3553"	""	
"5d8.6s.(2P).6p"	"3P*"	"1"	""	"63466.278"	""	
"5d8.6s.(4P).6p"	"c 5P*"	"3"	""	"54011.138"	""	
"5d8.6s.(4P).6p"	"5S*"	"2"	""	"54133.2504"	""	
"5d8.6s.(4P).6p"	"a 3D*"	"3"	""	"54839.1873"	""	
"5d8.6s.(2G).6p"	"3H*"	"4"	""	"55009.362"	""	
"5d8.6s.(2G).6p"	"3H*"	"5"	""	"55984.5279"	""	
"5d9.6p"	"b 3D*"	"1"	""	"55216.815"	""	
"5d8.(3F<4>).6s.7s.(3S<1>)"	"(4,1)"	"5"	""	"55640.612"	""	
"5d8.(3F<4>).6s.7s.(3S<1>)"	"(4,1)"	"4"	""	"56784.314"	""	
"5d8.(3F<4>).6s.7s.(3S<1>)"	"(4,1)"	"3"	""	"60790.380"	""	
"5d8.6s.(2G).6p"	"3F*"	"4"	""	"56288.6642"	""	
"5d8.6s.(4P).6p"	"3P*"	"2"	""	"56670.1789"	""	
"5d8.6s.(4P).6p"	"3P*"	"1"	""	"57041.7312"	""	
"5d7.(4F).6s2.6p"	"b 3G*"	"5"	""	"56794.4378"	""	
"5d8.6s.(2G).6p"	"a 3F*"	"3"	""	"57506.2281"	""	
"5d8.6s.(2G).6p"	"a 3F*"	"2"	""	"61097.467"	""	
"5d9.7p"	"3P*"	"2"	""	"57987.379"	""	
"5d9.7p"	"3F*"	"3"	""	"58101.165"	""	
"5d7.(4F).6s2.6p"	"5G*"	"4"	""	"58388.4588"	""	
"5d7.(4F).6s2.6p"	"5G*"	"3"	""	"59686.1878"	""	
"5d9.7p"	"1F*"	"3"	""	"58482.1533"	""	
"5d9.7p"	"a 1P*"	"1"	""	"58780.7888"	""	
"5d8.6s.(2D).6p"	"b 3F*"	"2"	""	"59127.701"	""	
"5d9.7p"	"a 3F*"	"4"	""	"59346.3215"	""	
"5d9.7p"	"a 1D*"	"2"	""	"59462.287"	""	
"5d9.7p"	"b 3F*"	"4"	""	"59492.37"	""	
"5d9.6d"	"3S"	"1"	""	"59591.803"	""	
