Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5d5"	"6S"	"5/2"	""	"0.0"	""	
"5d5"	"17343"	"5/2"	""	"17343.4"	""	
"5d5"	"4G"	"7/2"	""	"24306.7"	""	
"5d5"	"4G"	"11/2"	""	"26050.2"	""	
"5d5"	"4G"	"9/2"	""	"27382.7"	""	
"5d5"	"25062"	"3/2"	""	"25062.5"	""	
"5d5"	"26684"	"5/2"	""	"26684.6"	""	
"5d5"	"4P"	"1/2"	""	"29079.4"	""	
"5d5"	"4D"	"7/2"	""	"33240.1"	""	
"5d5"	"4D"	"1/2"	""	"38476.4"	""	
"5d5"	"34968"	"5/2"	""	"34968.5"	""	
"5d5"	"2I"	"11/2"	""	"38773.4"	""	
"5d5"	"2I"	"13/2"	""	"43012.3"	""	
"5d5"	"2F2"	"7/2"	""	"39348.56"	""	
"5d5"	"39616"	"3/2"	""	"39616.4"	""	
"5d5"	"41547"	"9/2"	""	"41547.48"	""	
"5d5"	"4F"	"3/2"	""	"41965.0"	""	
"5d5"	"4F"	"7/2"	""	"58759.3"	""	
"5d5"	"44075"	"5/2"	""	"44075.1"	""	
"5d5"	"49791"	"9/2"	""	"49791.26"	""	
"5d5"	"50069"	"5/2"	""	"50069.7"	""	
"5d5"	"2G2"	"7/2"	""	"50625.1"	""	
"5d5"	"53433"	"5/2"	""	"53433.2"	""	
"5d5"	"2D3"	"3/2"	""	"54114.9"	""	
"5d5"	"2F1"	"7/2"	""	"55582.2"	""	
"5d5"	"2S"	"1/2"	""	"57375.0"	""	
"5d5"	"60458"	"9/2"	""	"60458.0"	""	
"5d5"	"2H"	"11/2"	""	"61033.6"	""	
"5d5"	"2D2"	"3/2"	""	"65245.2"	""	
"5d5"	"67515"	"5/2"	""	"67515.8"	""	
"5d5"	"71514"	"5/2"	""	"71514.1"	""	
"5d5"	"2G1"	"9/2"	""	"72487.57"	""	
"5d5"	"2G1"	"7/2"	""	"75431.5"	""	
"5d5"	"2P"	"3/2"	""	"80630.1"	""	
"5d5"	"2P"	"1/2"	""	"86409.1"	""	
"5d5"	"2D1"	"5/2"	""	"94723.7"	""	
"5d5"	"2D1"	"3/2"	""	"97214.8"	""	
"5d4.(5D).6s"	"6D"	"1/2"	""	"108552.1"	""	
"5d4.(5D).6s"	"6D"	"3/2"	""	"114156.49"	""	
"5d4.(5D).6s"	"6D"	"5/2"	""	"118952.32"	""	
"5d4.(5D).6s"	"6D"	"7/2"	""	"122687.73"	""	
"5d4.(5D).6s"	"6D"	"9/2"	""	"125415.77"	""	
"5d4.(5D).6s"	"4D"	"1/2"	""	"126707.55"	""	
"5d4.(5D).6s"	"4D"	"3/2"	""	"133445.35"	""	
"5d4.(5D).6s"	"4D"	"7/2"	""	"143505.43"	""	
"5d4.(3H).6s"	"4H"	"7/2"	""	"134385.64"	""	
"5d4.(3H).6s"	"4H"	"9/2"	""	"137883.00"	""	
"5d4.(3H).6s"	"4H"	"11/2"	""	"143493.31"	""	
"5d4.(3H).6s"	"4H"	"13/2"	""	"146580.52"	""	
"5d4.6s"	"136963"	"5/2"	""	"136963.19"	""	
"5d4.(3P2).6s"	"4P"	"1/2"	""	"137768.26"	""	
"5d4.(3P2).6s"	"4P"	"3/2"	""	"145435.1"	""	
"5d4.6s"	"143390"	"5/2"	""	"143390.87"	""	
"5d4.(3F2).6s"	"4F"	"3/2"	""	"143674.58"	""	
"5d4.6s"	"143694"	"7/2"	""	"143694.89"	""	
"5d4.6s"	"145811"	"5/2"	""	"145811.22"	""	
"5d4.6s"	"148525"	"9/2"	""	"148525.94"	""	
