Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4d8"	"a 3F"	"4"	""	"0.0"	""	
"4d8"	"a 3F"	"3"	""	"2401.3"	""	
"4d8"	"a 3F"	"2"	""	"3580.7"	""	
"4d8"	"a 3P"	"2"	""	"8164.4"	""	
"4d8"	"a 3P"	"1"	""	"10515.0"	""	
"4d8"	"a 3P"	"0"	""	"10760.8"	""	
"4d8"	"a 1D"	"2"	""	"11643.7"	""	
"4d8"	"a 1G"	"4"	""	"14855.4"	""	
"4d7.(4F).5s"	"a 5F"	"5"	""	"16884.8"	""	
"4d7.(4F).5s"	"a 5F"	"4"	""	"18540.4"	""	
"4d7.(4F).5s"	"a 5F"	"3"	""	"19792.4"	""	
"4d7.(4F).5s"	"a 5F"	"2"	""	"20646.9"	""	
"4d7.(4F).5s"	"a 5F"	"1"	""	"21180.0"	""	
"4d7.(4F).5s"	"b 3F"	"4"	""	"25376.9"	""	
"4d7.(4F).5s"	"b 3F"	"3"	""	"27439.4"	""	
"4d7.(4F).5s"	"b 3F"	"2"	""	"28834.6"	""	
"4d7.(4P).5s"	"a 5P"	"3"	""	"27801.4"	""	
"4d7.(4P).5s"	"a 5P"	"2"	""	"28131.4"	""	
"4d7.(4P).5s"	"a 5P"	"1"	""	"29073.0"	""	
"4d7.(2G).5s"	"a 3G"	"5"	""	"31730.5"	""	
"4d7.(2G).5s"	"a 3G"	"4"	""	"32604.7"	""	
"4d7.(2G).5s"	"a 3G"	"3"	""	"33845.4"	""	
"4d7.(2P).5s"	"b 3P"	"2"	""	"34243.0"	""	
"4d7.(2P).5s"	"b 3P"	"1"	""	"34726.1"	""	
"4d7.(2P).5s"	"b 3P"	"0"	"["	"36241"	"]"	
"4d8"	"a 1S"	"0"	""	"35012.0"	""	
"4d7.(2H).5s"	"a 3H"	"6"	""	"35787.2"	""	
"4d7.(2H).5s"	"a 3H"	"5"	""	"36794.5"	""	
"4d7.(2H).5s"	"a 3H"	"4"	""	"38943.2"	""	
"4d7.(4P).5s"	"c 3P"	"2"	""	"36366.3"	""	
"4d7.(4P).5s"	"c 3P"	"1"	""	"36710.0"	""	
"4d7.(2G).5s"	"b 1G"	"4"	""	"36486.4"	""	
"4d7.(2D2).5s"	"a 3D"	"3"	""	"36938.9"	""	
"4d7.(2D2).5s"	"a 3D"	"2"	""	"38622.3"	""	
"4d7.(2D2).5s"	"a 3D"	"1"	""	"38687.5"	""	
"4d7.(2H).5s"	"a 1H"	"5"	""	"41045.3"	""	
"4d7.(2D2).5s"	"b 1D"	"2"	""	"42872.3"	""	
"4d7.(4F).5p"	"z 5F*"	"4"	""	"56547.3"	""	
"4d7.(4F).5p"	"z 5F*"	"5"	""	"57020.8"	""	
"4d7.(4F).5p"	"z 5F*"	"3"	""	"58358.5"	""	
"4d7.(4F).5p"	"z 5F*"	"2"	""	"59698.6"	""	
"4d7.(4F).5p"	"z 5F*"	"1"	""	"60573.2"	""	
"4d7.(4F).5p"	"z 5D*"	"4"	""	"59161.5"	""	
"4d7.(4F).5p"	"z 5D*"	"3"	""	"60448.4"	""	
