Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3s2.3p4"	"3P"	"2"	""	"0.0000"	""	
"3s2.3p4"	"3P"	"1"	""	"396.05648"	""	
"3s2.3p4"	"3P"	"0"	""	"573.59573"	""	
"3s2.3p4"	"1D"	"2"	""	"9238.6090"	""	
"3s2.3p4"	"1S"	"0"	""	"22179.9542"	""	
"3s2.3p3.(4S*).4s"	"5S*"	"2"	""	"52623.605"	""	
"3s2.3p3.(4S*).4s"	"3S*"	"1"	""	"55330.775"	""	
"3s2.3p3.(4S*).4p"	"5P"	"1"	""	"63446.038"	""	
"3s2.3p3.(4S*).4p"	"5P"	"2"	""	"63457.1166"	""	
"3s2.3p3.(4S*).4p"	"5P"	"3"	""	"63475.027"	""	
"3s2.3p3.(4S*).4p"	"3P"	"1"	""	"64888.9325"	""	
"3s2.3p3.(4S*).4p"	"3P"	"0"	""	"64891.3536"	""	
"3s2.3p3.(4S*).4p"	"3P"	"2"	""	"64892.5514"	""	
"3s2.3p3.(2D*).4s"	"3D*"	"1"	""	"67816.321"	""	
"3s2.3p3.(2D*).4s"	"3D*"	"2"	""	"67825.166"	""	
"3s2.3p3.(2D*).4s"	"3D*"	"3"	""	"67842.8458"	""	
"3s2.3p3.(4S*).3d"	"5D*"	"4"	""	"67877.620"	""	
"3s2.3p3.(4S*).3d"	"5D*"	"0"	""	"67884.126"	""	
"3s2.3p3.(4S*).3d"	"5D*"	"1"	""	"67885.508"	""	
"3s2.3p3.(4S*).3d"	"5D*"	"2"	""	"67887.782"	""	
"3s2.3p3.(4S*).3d"	"5D*"	"3"	""	"67889.998"	""	
"3s2.3p3.(2D*).4s"	"1D*"	"2"	""	"69237.872"	""	
"3s2.3p3.(4S*).3d"	"3D*"	"1"	""	"70164.610"	""	
"3s2.3p3.(4S*).3d"	"3D*"	"2"	""	"70166.1526"	""	
"3s2.3p3.(4S*).3d"	"3D*"	"3"	""	"70173.9334"	""	
"3s2.3p3.(4S*).5s"	"5S*"	"2"	""	"70702.7652"	""	
"3s2.3p3.(4S*).5s"	"3S*"	"1"	""	"71351.3635"	""	
"3s.3p5"	"3P*"	"2"	""	"72023.471"	""	
"3s.3p5"	"3P*"	"1"	""	"72382.305"	""	
"3s.3p5"	"3P*"	"0"	""	"72571.602"	""	
"3s2.3p3.(4S*).5p"	"5P"	"1"	""	"73911.238"	""	
"3s2.3p3.(4S*).5p"	"5P"	"2"	""	"73914.910"	""	
"3s2.3p3.(4S*).5p"	"5P"	"3"	""	"73920.945"	""	
"3s2.3p3.(4S*).5p"	"3P"	"2"	""	"74268.528"	""	
"3s2.3p3.(4S*).5p"	"3P"	"1"	""	"74269.575"	""	
"3s2.3p3.(4S*).5p"	"3P"	"0"	""	"74271.626"	""	
"3s2.3p3.(4S*).4d"	"5D*"	"4"	""	"74973.214"	""	
"3s2.3p3.(4S*).4d"	"5D*"	"3"	""	"74974.115"	""	
"3s2.3p3.(4S*).4d"	"5D*"	"2"	""	"74975.141"	""	
"3s2.3p3.(4S*).4d"	"5D*"	"1"	""	"74976.061"	""	
"3s2.3p3.(4S*).4d"	"5D*"	"0"	""	"74976.625"	""	
"3s2.3p3.(4S*).4d"	"3D*"	"1"	""	"75951.780"	""	
"3s2.3p3.(4S*).4d"	"3D*"	"2"	""	"75952.293"	""	
"3s2.3p3.(4S*).4d"	"3D*"	"3"	""	"75956.411"	""	
"3s2.3p3.(4S*).6s"	"5S*"	"2"	""	"76463.989"	""	
"3s2.3p3.(4S*).4f"	"5F"	"5"	""	"76654.762"	""	
"3s2.3p3.(4S*).4f"	"5F"	"4"	""	"76654.763"	""	
"3s2.3p3.(4S*).4f"	"5F"	"3"	""	"76654.775"	""	
"3s2.3p3.(4S*).4f"	"5F"	"2"	""	"76654.786"	""	
"3s2.3p3.(4S*).4f"	"5F"	"1"	""	"76654.808"	""	
"3s2.3p3.(4S*).4f"	"3F"	"3"	""	"76656.2917"	""	
"3s2.3p3.(4S*).4f"	"3F"	"4"	""	"76656.2926"	""	
"3s2.3p3.(4S*).4f"	"3F"	"2"	""	"76656.308"	""	
"3s2.3p3.(4S*).6s"	"3S*"	"1"	""	"76720.685"	""	
"3s2.3p3.(2P*).4s"	"3P*"	"0"	""	"77135.55"	""	
"3s2.3p3.(2P*).4s"	"3P*"	"1"	""	"77150.15"	""	
"3s2.3p3.(2P*).4s"	"3P*"	"2"	""	"77181.13"	""	
"3s2.3p3.(4S*).6p"	"5P"	"1"	""	"77850.724"	""	
"3s2.3p3.(4S*).6p"	"5P"	"2"	""	"77853.220"	""	
"3s2.3p3.(4S*).6p"	"5P"	"3"	""	"77856.448"	""	
"3s2.3p3.(2D*).4p"	"1P"	"1"	""	"77854.873"	""	
"3s2.3p3.(4S*).6p"	"3P"	"2"	""	"77890.518"	""	
"3s2.3p3.(4S*).6p"	"3P"	"0"	""	"77902.181"	""	
"3s2.3p3.(4S*).6p"	"3P"	"1"	""	"77913.528"	""	
"3s2.3p3.(2D*).4p"	"3D"	"2"	""	"78152.048"	""	
"3s2.3p3.(2D*).4p"	"3D"	"1"	""	"78152.313"	""	
"3s2.3p3.(2D*).4p"	"3D"	"3"	""	"78203.163"	""	
"3s2.3p3.(4S*).5d"	"5D*"	"4"	""	"78270.022"	""	
"3s2.3p3.(4S*).5d"	"5D*"	"3"	""	"78270.364"	""	
"3s2.3p3.(4S*).5d"	"5D*"	"2"	""	"78270.692"	""	
"3s2.3p3.(4S*).5d"	"5D*"	"1"	""	"78270.938"	""	
"3s2.3p3.(4S*).5d"	"5D*"	"0"	""	"78271.10"	""	
"3s2.3p3.(2P*).4s"	"1P*"	"1"	""	"78288.43"	""	
"3s2.3p3.(2D*).4p"	"3F"	"2"	""	"78409.917"	""	
"3s2.3p3.(2D*).4p"	"3F"	"3"	""	"78435.857"	""	
"3s2.3p3.(2D*).4p"	"3F"	"4"	""	"78463.106"	""	
"3s2.3p3.(2D*).4p"	"1F"	"3"	""	"78637.305"	""	
"3s2.3p3.(4S*).5d"	"3D*"	"2"	""	"78691.430"	""	
"3s2.3p3.(4S*).5d"	"3D*"	"3"	""	"78691.843"	""	
"3s2.3p3.(4S*).5d"	"3D*"	"1"	""	"78692.557"	""	
"3s2.3p3.(4S*).7s"	"5S*"	"2"	""	"79057.965"	""	
"3s2.3p3.(4S*).5f"	"5F"	"1"	""	"79142.833"	"u"	
"3s2.3p3.(4S*).5f"	"5F"	"5"	""	"79142.833"	"u"	
"3s2.3p3.(4S*).5f"	"5F"	"2"	""	"79142.833"	"u"	
"3s2.3p3.(4S*).5f"	"5F"	"4"	""	"79142.833"	"u"	
"3s2.3p3.(4S*).5f"	"5F"	"3"	""	"79142.833"	"u"	
"3s2.3p3.(4S*).5f"	"3F"	"4"	""	"79144.099"	"u"	
"3s2.3p3.(4S*).5f"	"3F"	"2"	""	"79144.099"	"u"	
"3s2.3p3.(4S*).5f"	"3F"	"3"	""	"79144.099"	"u"	
"3s2.3p3.(4S*).5g"	""	""	""	"79163.866"	""	
"3s2.3p3.(4S*).7s"	"3S*"	"1"	""	"79185.35"	""	
"3s2.3p3.(2D*).4p"	"3P"	"2"	""	"79375.778"	""	
"3s2.3p3.(2D*).4p"	"3P"	"1"	""	"79405.255"	""	
"3s2.3p3.(2D*).4p"	"3P"	"0"	""	"79417.91"	""	
"3s2.3p3.(4S*).7p"	"5P"	"3"	""	"79810.66"	"?"	
"3s2.3p3.(4S*).6d"	"5D*"	"4"	""	"79991.995"	""	
"3s2.3p3.(4S*).6d"	"5D*"	"3"	""	"79992.167"	""	
"3s2.3p3.(4S*).6d"	"5D*"	"0"	""	"79992.46"	"u"	
"3s2.3p3.(4S*).6d"	"5D*"	"2"	""	"79992.46"	"u"	
"3s2.3p3.(4S*).6d"	"5D*"	"1"	""	"79992.46"	"u"	
"3s2.3p3.(4S*).7p"	"3P"	"2"	""	"80112.775"	""	
"3s2.3p3.(4S*).7p"	"3P"	"1"	""	"80119.96"	""	
"3s2.3p3.(4S*).7p"	"3P"	"0"	""	"80123.66"	""	
"3s2.3p3.(4S*).6d"	"3D*"	"3"	""	"80182.18"	""	
"3s2.3p3.(4S*).6d"	"3D*"	"2"	""	"80183.71"	""	
"3s2.3p3.(4S*).6d"	"3D*"	"1"	""	"80185.51"	""	
"3s2.3p3.(4S*).8s"	"5S*"	"2"	""	"80449.10"	""	
"3s2.3p3.(4S*).6f"	"5F"	"4"	""	"80494.260"	"u"	
"3s2.3p3.(4S*).6f"	"5F"	"3"	""	"80494.260"	"u"	
"3s2.3p3.(4S*).6f"	"5F"	"1"	""	"80494.260"	"u"	
"3s2.3p3.(4S*).6f"	"5F"	"2"	""	"80494.260"	"u"	
"3s2.3p3.(4S*).6f"	"5F"	"5"	""	"80494.260"	"u"	
"3s2.3p3.(4S*).6f"	"3F"	"3"	""	"80495.196"	""	
"3s2.3p3.(4S*).6f"	"3F"	"4"	""	"80495.196"	""	
"3s2.3p3.(4S*).6f"	"3F"	"2"	""	"80495.20"	""	
"3s2.3p3.(4S*).6g"	""	""	""	"80507.180"	""	
"3s2.3p3.(4S*).6h"	""	""	""	"80509.758"	""	
"3s2.3p3.(4S*).8s"	"3S*"	"1"	""	"80521.46"	""	
"3s2.3p3.(4S*).7d"	"5D*"	"4"	""	"80995.24"	""	
"3s2.3p3.(4S*).7d"	"5D*"	"3"	""	"80995.39"	""	
