Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5d3.(4F).6s"	"a 5F"	"1"	""	"0.00"	""	
"5d3.(4F).6s"	"a 5F"	"2"	""	"1031.33"	""	
"5d3.(4F).6s"	"a 5F"	"3"	""	"2642.19"	""	
"5d3.(4F).6s"	"a 5F"	"4"	""	"4415.70"	""	
"5d3.(4F).6s"	"a 5F"	"5"	""	"6186.72"	""	
"5d2.6s2"	"a 3F"	"2"	""	"3180.04"	""	
"5d2.6s2"	"a 3F"	"3"	""	"6831.35"	""	
"5d2.6s2"	"a 3F"	"4"	""	"9746.33"	""	
"5d2.6s2"	"a 3P"	"0"	""	"4124.77"	""	
"5d2.6s2"	"a 3P"	"1"	""	"5330.66"	""	
"5d2.6s2"	"a 3P"	"2"	""	"5658.00"	""	
"5d3.(4F).6s"	"b 3F"	"2"	""	"9690.46"	""	
"5d3.(4F).6s"	"b 3F"	"3"	""	"14581.00"	""	
"5d3.(4F).6s"	"b 3F"	"4"	""	"18493.67"	""	
"5d3.(4P).6s"	"a 5P"	"1"	""	"10713.30"	""	
"5d3.(4P).6s"	"a 5P"	"2"	""	"11875.46"	""	
"5d3.(4P).6s"	"a 5P"	"3"	""	"12435.85"	""	
"5d3.(2G).6s"	"a 3G"	"3"	""	"11767.14"	""	
"5d3.(2G).6s"	"a 3G"	"4"	""	"12705.32"	""	
"5d3.(2G).6s"	"a 3G"	"5"	""	"12830.94"	""	
"5d4"	"a 5D"	"0"	""	"12600.87"	""	
"5d4"	"a 5D"	"1"	""	"13475.40"	""	
"5d4"	"a 5D"	"2"	""	"14494.90"	""	
"5d4"	"a 5D"	"3"	""	"15726.06"	""	
"5d4"	"a 5D"	"4"	""	"17231.22"	""	
"5d2.6s2"	"a 1D"	"2"	""	"13560.25"	""	
"5d2.6s2"	"a 1G"	"4"	""	"14205.53"	""	
"5d3.(2D2).6s"	"a 3D"	"1"	""	"14627.75"	""	
"5d3.(2D2).6s"	"a 3D"	"2"	""	"17168.50"	""	
"5d3.(2D2).6s"	"a 3D"	"3"	""	"18553.83"	""	
"5d3.(2H).6s"	"a 3H"	"5"	""	""	""	
"5d3.(2H).6s"	"a 3H"	"6"	""	""	""	
"5d3.(2H).6s"	"a 3H"	"4"	""	"15851.12"	""	
"5d3.(4P).6s"	"b 3P"	"0"	""	""	""	
"5d3.(4P).6s"	"b 3P"	"1"	""	"17375.11"	""	
"5d3.(4P).6s"	"b 3P"	"2"	""	"18500.60"	""	
"5d3.(2F).6s"	"c 3F"	"2"	""	"22928.62"	""	
"5d3.(2F).6s"	"c 3F"	"4"	""	"23082.70"	""	
"5d3.(2F).6s"	"c 3F"	"3"	""	"23620.36"	""	
"5d3.(2D2).6s"	"b 1D"	"2"	""	"23294.70"	""	
