Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5f.6d"	"3H*"	"4"	""	"0.00000"	""	
"5f.6d"	"3H*"	"5"	""	"4489.6410"	""	
"5f.6d"	"3H*"	"6"	""	"8436.8256"	""	
"6d2"	"3F"	"2"	""	"63.26679"	""	
"6d2"	"3F"	"3"	""	"4056.01548"	""	
"6d2"	"3F"	"4"	""	"6537.81726"	""	
"5f.6d"	"3F*"	"2"	""	"510.75823"	""	
"5f.7s"	"*"	"3"	""	"2527.09550"	""	
"5f.7s"	"3F*"	"2"	""	"3181.5024"	""	
"5f.7s"	"3F*"	"4"	""	"6310.80773"	""	
"5f.6d"	"*"	"4"	""	"3188.30107"	""	
"6d2"	""	"2"	""	"4676.43214"	""	
"5f.6d"	"*"	"3"	""	"4826.82620"	""	
"5f.6d"	"3G*"	"3"	""	"5060.54386"	""	
"5f.6d"	"3G*"	"4"	""	"8141.74929"	""	
"5f.6d"	"3G*"	"5"	""	"11276.80704"	""	
"6d2"	"3P"	"0"	""	"5090.0564"	""	
"6d2"	"3P"	"1"	""	"7875.8244"	""	
"6d2"	"3P"	"2"	""	"10440.2372"	""	
"6d.7s"	"3D"	"1"	""	"5523.8809"	""	
"6d.7s"	"3D"	"2"	""	"7176.10661"	""	
"6d.7s"	"3D"	"3"	""	"9953.58098"	""	
"5f.6d"	"*"	"2"	""	"6288.2212"	""	
"5f.7s"	"*"	"3"	""	"7500.60523"	""	
"5f.6d"	"3D*"	"1"	""	"7921.08782"	""	
"5f.6d"	"3D*"	"2"	""	"10180.76592"	""	
"5f.6d"	"3D*"	"3"	""	"10741.15004"	""	
"5f.6d"	"*"	"4"	""	"8980.55749"	""	
"6d2"	"1G"	"4"	""	"10542.89873"	""	
"5f.6d"	"3P*"	"1"	""	"11123.1791"	""	
"5f.6d"	"3P*"	"0"	""	"11232.6148"	""	
"5f.6d"	"3P*"	"2"	""	"13208.2137"	""	
"7s2"	"1S"	"0"	""	"11961.1316"	""	
"5f2"	"3H"	"4"	""	"15148.51938"	""	
"5f2"	"3H"	"5"	""	"17887.40925"	""	
"5f2"	"3H"	"6"	""	"20770.89593"	""	
"5f.6d"	"1F*"	"3"	""	"15453.41152"	""	
"6d.7s"	"1D"	"2"	""	"16037.64127"	""	
"5f2"	"3F"	"2"	""	"18863.86913"	""	
"5f2"	"3F"	"3"	""	"20840.48853"	""	
"5f2"	"3F"	"4"	""	"21783.86935"	""	
"6d2"	""	"0"	""	"18993.3145"	""	
"5f.6d"	"1H*"	"5"	""	"19009.90952"	""	
"5f.6d"	"1P*"	"1"	""	"20710.9487"	""	
"5f2"	"1G"	"4"	""	"25972.17312"	""	
"5f2"	"1D"	"2"	""	"28232.5024"	""	
"5f2"	"1I"	"6"	""	"28349.96275"	""	
"5f2"	"3P"	"0"	""	"29299.5142"	""	
"5f2"	"3P"	"1"	""	"30402.8549"	""	
"5f2"	"3P"	"2"	""	"32867.2744"	""	
"5f.7p"	"(5/2,1/2)"	"3"	""	"33562.3507"	""	
"5f.7p"	"(5/2,1/2)"	"2"	""	"34996.0881"	""	
"6d.7p"	"(3/2,1/2)*"	"2"	""	"37280.2302"	""	
"6d.7p"	"(3/2,1/2)*"	"1"	""	"39280.8646"	""	
"5f.7p"	"(7/2,1/2)"	"3"	""	"38431.6411"	""	
"5f.7p"	"(7/2,1/2)"	"4"	""	"38580.6005"	""	
"7s.7p"	"3P*"	"0"	""	"42259.7128"	""	
"7s.7p"	"3P*"	"1"	""	"45063.97"	""	
"7s.7p"	"3P*"	"2"	""	"55399.07"	""	
"5f.7p"	"(5/2,3/2)"	"3"	""	"42313.0562"	""	
"5f.7p"	"(5/2,3/2)"	"4"	""	"43701.6657"	""	
"5f.7p"	"(5/2,3/2)"	"2"	""	"43759.2235"	""	
"5f.7p"	"(5/2,3/2)"	"1"	""	"44603.1019"	""	
"6d.7p"	"(5/2,1/2)*"	"2"	""	"44088.2817"	""	
"6d.7p"	"(5/2,1/2)*"	"3"	""	"44464.9593"	""	
"5f.7p"	"(7/2,3/2)"	"4"	""	"47261.1025"	""	
"5f.7p"	"(7/2,3/2)"	"5"	""	"47421.940"	""	
"5f.7p"	"(7/2,3/2)"	"3"	""	"47471.48"	""	
