Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d3.4s2"	"a 4F"	"3/2"	""	"0.000"	""	
"3d3.4s2"	"a 4F"	"5/2"	""	"137.383"	""	
"3d3.4s2"	"a 4F"	"7/2"	""	"323.432"	""	
"3d3.4s2"	"a 4F"	"9/2"	""	"552.955"	""	
"3d4.(5D).4s"	"a 6D"	"1/2"	""	"2112.282"	""	
"3d4.(5D).4s"	"a 6D"	"3/2"	""	"2153.221"	""	
"3d4.(5D).4s"	"a 6D"	"5/2"	""	"2220.156"	""	
"3d4.(5D).4s"	"a 6D"	"7/2"	""	"2311.369"	""	
"3d4.(5D).4s"	"a 6D"	"9/2"	""	"2424.809"	""	
"3d4.(5D).4s"	"a 4D"	"1/2"	""	"8413.009"	""	
"3d4.(5D).4s"	"a 4D"	"3/2"	""	"8476.234"	""	
"3d4.(5D).4s"	"a 4D"	"5/2"	""	"8578.542"	""	
"3d4.(5D).4s"	"a 4D"	"7/2"	""	"8715.747"	""	
"3d3.4s2"	"a 4P"	"1/2"	""	"9544.635"	""	
"3d3.4s2"	"a 4P"	"3/2"	""	"9637.039"	""	
"3d3.4s2"	"a 4P"	"5/2"	""	"9824.626"	""	
"3d3.4s2"	"a 2G"	"7/2"	""	"10892.520"	""	
"3d3.4s2"	"a 2G"	"9/2"	""	"11100.596"	""	
"3d3.4s2"	"a 2P"	"3/2"	""	"13801.551"	""	
"3d3.4s2"	"a 2P"	"1/2"	""	"13810.910"	""	
"3d3.4s2"	"2D2"	"3/2"	""	"14514.756"	""	
"3d3.4s2"	"2D2"	"5/2"	""	"14548.816"	""	
"3d4.(3H).4s"	"a 4H"	"7/2"	""	"14909.958"	""	
"3d4.(3H).4s"	"a 4H"	"9/2"	""	"14949.359"	""	
"3d4.(3H).4s"	"a 4H"	"11/2"	""	"15000.937"	""	
"3d4.(3H).4s"	"a 4H"	"13/2"	""	"15062.959"	""	
"3d4.(3P2).4s"	"b 4P"	"1/2"	""	"15078.387"	""	
"3d4.(3P2).4s"	"b 4P"	"3/2"	""	"15270.582"	""	
"3d4.(3P2).4s"	"b 4P"	"5/2"	""	"15572.035"	""	
"3d3.4s2"	"a 2H"	"9/2"	""	"15103.784"	""	
"3d3.4s2"	"a 2H"	"11/2"	""	"15264.832"	""	
"3d4.(3F2).4s"	"b 4F"	"3/2"	""	"15664.801"	""	
"3d4.(3F2).4s"	"b 4F"	"5/2"	""	"15688.862"	""	
"3d4.(3F2).4s"	"b 4F"	"7/2"	""	"15724.229"	""	
"3d4.(3F2).4s"	"b 4F"	"9/2"	""	"15770.789"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"3/2"	""	"16361.489"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"5/2"	""	"16449.875"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"7/2"	""	"16572.638"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"9/2"	""	"16728.803"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"11/2"	""	"16917.210"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"13/2"	""	"17136.538"	""	
"3d4.(3G).4s"	"a 4G"	"5/2"	""	"17054.924"	""	
"3d4.(3G).4s"	"a 4G"	"7/2"	""	"17116.947"	""	
"3d4.(3G).4s"	"a 4G"	"9/2"	""	"17182.073"	""	
"3d4.(3G).4s"	"a 4G"	"11/2"	""	"17242.070"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"1/2"	""	"18085.952"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"3/2"	""	"18126.250"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"5/2"	""	"18198.091"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"7/2"	""	"18302.280"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"9/2"	""	"18438.044"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"1/2"	""	"18120.104"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"3/2"	""	"18174.074"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"5/2"	""	"18258.855"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"7/2"	""	"18372.462"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"9/2"	""	"18513.403"	""	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"11/2"	""	"18680.070"	""	
"3d4.(3P2).4s"	"b 2P"	"1/2"	""	"18805.048"	""	
"3d4.(3P2).4s"	"b 2P"	"3/2"	""	"19189.283"	""	
"3d4.(3H).4s"	"b 2H"	"9/2"	""	"19023.531"	""	
"3d4.(3H).4s"	"b 2H"	"11/2"	""	"19145.148"	""	
"3d4.(3F2).4s"	"a 2F"	"5/2"	""	"19026.326"	""	
"3d4.(3F2).4s"	"a 2F"	"7/2"	""	"19078.112"	""	
"3d5"	"a 6S"	"5/2"	""	"20202.551"	""	
