Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d4"	"a 5D"	"0"	""	"0.000"	""	
"3d4"	"a 5D"	"1"	""	"36.1017"	""	
"3d4"	"a 5D"	"2"	""	"106.6421"	""	
"3d4"	"a 5D"	"3"	""	"208.7901"	""	
"3d4"	"a 5D"	"4"	""	"339.1256"	""	
"3d3.(4F).4s"	"a 5F"	"1"	""	"2605.0400"	""	
"3d3.(4F).4s"	"a 5F"	"2"	""	"2687.2090"	""	
"3d3.(4F).4s"	"a 5F"	"3"	""	"2808.9590"	""	
"3d3.(4F).4s"	"a 5F"	"4"	""	"2968.3883"	""	
"3d3.(4F).4s"	"a 5F"	"5"	""	"3162.9673"	""	
"3d3.(4F).4s"	"a 3F"	"2"	""	"8640.3641"	""	
"3d3.(4F).4s"	"a 3F"	"3"	""	"8842.0507"	""	
"3d3.(4F).4s"	"a 3F"	"4"	""	"9097.8891"	""	
"3d4"	"a 3P2"	"0"	""	"11295.511"	""	
"3d4"	"a 3P2"	"1"	""	"11514.7845"	""	
"3d4"	"a 3P2"	"2"	""	"11908.2593"	""	
"3d4"	"a 3H"	"4"	""	"12545.1024"	""	
"3d4"	"a 3H"	"5"	""	"12621.4857"	""	
"3d4"	"a 3H"	"6"	""	"12706.0798"	""	
"3d4"	"b 3F2"	"2"	""	"13490.8843"	""	
"3d4"	"b 3F2"	"3"	""	"13542.6461"	""	
"3d4"	"b 3F2"	"4"	""	"13608.9393"	""	
"3d3.(4P).4s"	"a 5P"	"1"	""	"13511.7993"	""	
"3d3.(4P).4s"	"a 5P"	"2"	""	"13594.726"	""	
"3d3.(4P).4s"	"a 5P"	"3"	""	"13741.6394"	""	
"3d4"	"a 3G"	"3"	""	"14461.7495"	""	
"3d4"	"a 3G"	"4"	""	"14556.0689"	""	
"3d4"	"a 3G"	"5"	""	"14655.6082"	""	
"3d3.(2G).4s"	"b 3G"	"3"	""	"16340.9837"	""	
"3d3.(2G).4s"	"b 3G"	"4"	""	"16421.5292"	""	
"3d3.(2G).4s"	"b 3G"	"5"	""	"16532.9841"	""	
"3d4"	"a 1G2"	"4"	""	"17910.9147"	""	
"3d4"	"a 3D"	"1"	""	"18269.515"	""	
"3d4"	"a 3D"	"2"	""	"18293.8723"	""	
"3d4"	"a 3D"	"3"	""	"18353.830"	""	
"3d3.(2G).4s"	"b 1G"	"4"	""	"19112.9298"	""	
"3d3.(2P).4s"	"b 3P"	"2"	""	"19132.792"	""	
"3d3.(2P).4s"	"b 3P"	"0"	""	"19161.422"	""	
"3d3.(2P).4s"	"b 3P"	"1"	""	"19166.315"	""	
"3d4"	"a 1I"	"6"	""	"19191.3276"	""	
"3d4"	"a 1S2"	"0"	""	"19902.609"	""	
"3d3.(4P).4s"	"c 3P"	"1"	""	"20089.6495"	""	
"3d3.(4P).4s"	"c 3P"	"0"	""	"20156.670"	""	
"3d3.(4P).4s"	"c 3P"	"2"	""	"20343.0477"	""	
"3d3.(2H).4s"	"b 3H"	"4"	""	"20242.385"	""	
"3d3.(2H).4s"	"b 3H"	"5"	""	"20280.2493"	""	
"3d3.(2H).4s"	"b 3H"	"6"	""	"20363.3370"	""	
"3d3.(2D2).4s"	"b 3D"	"1"	""	"20522.148"	""	
"3d3.(2D2).4s"	"b 3D"	"2"	""	"20617.0735"	""	
"3d3.(2D2).4s"	"b 3D"	"3"	""	"20622.9852"	""	
"3d4"	"a 1D2"	"2"	""	"20980.9260"	""	
"3d3.(2P).4s"	"a 1P"	"1"	""	"22273.6366"	""	
"3d3.(2H).4s"	"a 1H"	"5"	""	"23391.1513"	""	
"3d3.(2D2).4s"	"b 1D"	"2"	""	"25191.0356"	""	
"3d4"	"a 1F"	"3"	""	"26839.749"	""	
"3d3.(2F).4s"	"c 3F"	"2"	""	"30267.511"	""	
"3d3.(2F).4s"	"c 3F"	"3"	""	"30306.389"	""	
"3d3.(2F).4s"	"c 3F"	"4"	""	"30318.5317"	""	
"3d4"	"d 3F1"	"4"	""	"30613.910"	""	
"3d4"	"d 3F1"	"3"	""	"30641.7674"	""	
"3d4"	"d 3F1"	"2"	""	"30673.089"	""	
"3d4"	"d 3P1"	"2"	""	"32040.641"	""	
"3d4"	"d 3P1"	"1"	""	"32299.266"	""	
"3d4"	"d 3P1"	"0"	""	"32420.046"	""	
"3d3.(2F).4s"	"b 1F"	"3"	""	"34228.8534"	""	
"3d3.(4F).4p"	"z 5G*"	"2"	""	"34592.8439"	""	
"3d3.(4F).4p"	"z 5G*"	"3"	""	"34745.8281"	""	
"3d3.(4F).4p"	"z 5G*"	"4"	""	"34946.6366"	""	
"3d3.(4F).4p"	"z 5G*"	"5"	""	"35193.1820"	""	
"3d3.(4F).4p"	"z 5G*"	"6"	""	"35483.6058"	""	
"3d4"	"c 1G1"	"4"	""	"36424.875"	""	
"3d3.(4F).4p"	"z 3D*"	"1"	""	"36489.4382"	""	
"3d3.(4F).4p"	"z 3D*"	"2"	""	"37041.1798"	""	
"3d3.(4F).4p"	"z 3D*"	"3"	""	"37205.0213"	""	
"3d3.(4F).4p"	"z 5F*"	"2"	""	"36673.5838"	""	
"3d3.(4F).4p"	"z 5F*"	"3"	""	"36919.2647"	""	
"3d3.(4F).4p"	"z 5F*"	"1"	""	"36954.6872"	""	
"3d3.(4F).4p"	"z 5F*"	"4"	""	"37150.6143"	""	
"3d3.(4F).4p"	"z 5F*"	"5"	""	"37352.4639"	""	
"3d3.(4F).4p"	"z 5D*"	"0"	""	"37201.5378"	""	
"3d3.(4F).4p"	"z 5D*"	"1"	""	"37259.5288"	""	
"3d3.(4F).4p"	"z 5D*"	"2"	""	"37369.1542"	""	
"3d3.(4F).4p"	"z 5D*"	"3"	""	"37520.6639"	""	
"3d3.(4F).4p"	"z 5D*"	"4"	""	"37531.1324"	""	
"3d2.4s2"	"e 3F"	"2"	""	"37937.703"	""	
"3d2.4s2"	"e 3F"	"3"	""	"38193.023"	""	
"3d2.4s2"	"e 3F"	"4"	""	"38517.085"	""	
"3d3.(4F).4p"	"z 3G*"	"3"	""	"39234.0877"	""	
"3d3.(4F).4p"	"z 3G*"	"4"	""	"39403.7873"	""	
"3d3.(4F).4p"	"z 3G*"	"5"	""	"39612.9643"	""	
"3d3.(4F).4p"	"z 3F*"	"2"	""	"40001.7556"	""	
"3d3.(4F).4p"	"z 3F*"	"3"	""	"40195.5675"	""	
"3d3.(4F).4p"	"z 3F*"	"4"	""	"40430.0878"	""	
"3d3.(2D1).4s"	"c 3D"	"3"	""	"44098.469"	""	
"3d3.(2D1).4s"	"c 3D"	"2"	""	"44159.461"	""	
"3d3.(2D1).4s"	"c 3D"	"1"	""	"44201.678"	""	
"3d2.4s2"	"c 1D"	"2"	""	"44658.000"	""	
"3d3.(4P).4p"	"y 5D*"	"0"	""	"46586.481"	""	
"3d3.(4P).4p"	"y 5D*"	"1"	""	"46690.4958"	""	
"3d3.(4P).4p"	"y 5D*"	"2"	""	"47101.9320"	""	
"3d3.(4P).4p"	"y 5D*"	"3"	""	"47181.2361"	""	
"3d3.(4P).4p"	"y 5D*"	"4"	""	"47420.2319"	""	
"3d3.(4P).4p"	"z 3P*"	"2"	""	"46740.0100"	""	
"3d3.(4P).4p"	"z 3P*"	"0"	""	"47028.034"	""	
"3d3.(4P).4p"	"z 3P*"	"1"	""	"47108.0794"	""	
"3d3.(4P).4p"	"z 5P*"	"1"	""	"46754.5327"	""	
"3d3.(4P).4p"	"z 5P*"	"2"	""	"46879.9114"	""	
"3d3.(4P).4p"	"z 5P*"	"3"	""	"47051.8885"	""	
"3d3.(2G).4p"	"z 3H*"	"4"	""	"47056.321"	""	
"3d3.(2G).4p"	"z 3H*"	"5"	""	"47297.1150"	""	
"3d3.(2G).4p"	"z 3H*"	"6"	""	"47607.8215"	""	
"3d3.(2D1).4s"	"d 1D"	"2"	""	"47324.292"	""	
"3d3.(2P).4p"	"z 1S*"	"0"	""	"48258.30"	""	
"3d3.(2G).4p"	"y 3G*"	"3"	""	"48579.9945"	""	
"3d3.(2G).4p"	"y 3G*"	"4"	""	"48730.7480"	""	
"3d3.(2G).4p"	"y 3G*"	"5"	""	"48853.0973"	""	
"3d2.4s2"	"e 3P"	"0"	""	"48898.05"	""	
"3d2.4s2"	"e 3P"	"1"	""	"48975.74"	""	
"3d2.4s2"	"e 3P"	"2"	""	"49204.648"	""	
"3d3.(2G).4p"	"y 3F*"	"2"	""	"49201.7171"	""	
"3d3.(2G).4p"	"y 3F*"	"3"	""	"49210.8445"	""	
"3d3.(2G).4p"	"y 3F*"	"4"	""	"49268.6174"	""	
"3d3.(2G).4p"	"z 1F*"	"3"	""	"49568.4673"	""	
"3d3.(2G).4p"	"z 1H*"	"5"	""	"49593.4096"	""	
"3d3.(2G).4p"	"z 1G*"	"4"	""	"49723.6766"	""	
"3d3.(4P).4p"	"z 5S*"	"2"	""	"49731.388"	""	
"3d3.(2P).4p"	"z 1D*"	"2"	""	"49898.2618"	""	
"3d3.(2P).4p"	"y 3D*"	"1"	""	"50473.874"	""	
"3d3.(2P).4p"	"y 3D*"	"2"	""	"50775.5487"	""	
"3d3.(2P).4p"	"y 3D*"	"3"	""	"51085.7739"	""	
"3d3.(2P).4p"	"y 3P*"	"0"	""	"50662.363"	""	
"3d3.(2P).4p"	"y 3P*"	"1"	""	"50738.861"	""	
"3d3.(2P).4p"	"y 3P*"	"2"	""	"51123.299"	""	
"3d4"	"e 1D1"	"2"	""	"50951.737"	""	
"3d3.(2H).4p"	"y 3H*"	"4"	""	"52082.8854"	""	
"3d3.(2H).4p"	"y 3H*"	"5"	""	"52153.5082"	""	
"3d3.(2H).4p"	"y 3H*"	"6"	""	"52252.6480"	""	
"3d3.(2P).4p"	"z 3S*"	"1"	""	"52181.204"	""	
"3d3.(2D2).4p"	"x 3F*"	"2"	""	"52245.733"	""	
"3d3.(2D2).4p"	"x 3F*"	"3"	""	"52391.9627"	""	
"3d3.(2D2).4p"	"x 3F*"	"4"	""	"52657.4892"	""	
"3d3.(4P).4p"	"x 3D*"	"1"	""	"52604.222"	""	
"3d3.(4P).4p"	"x 3D*"	"2"	""	"52700.067"	""	
"3d3.(4P).4p"	"x 3D*"	"3"	""	"52767.3745"	""	
"3d3.(2D2).4p"	"z 1P*"	"1"	""	"52803.796"	""	
"3d3.(2H).4p"	"z 3I*"	"5"	""	"52878.029"	""	
"3d3.(2H).4p"	"z 3I*"	"6"	""	"53076.8305"	""	
"3d3.(2H).4p"	"z 3I*"	"7"	""	"53319.539"	""	
"3d2.4s2"	"d 1G"	"4"	""	"53607.206"	""	
"3d3.(2D2).4p"	"w 3D*"	"1"	""	"53751.589"	""	
"3d3.(2D2).4p"	"w 3D*"	"2"	""	"53868.671"	""	
"3d3.(2D2).4p"	"w 3D*"	"3"	""	"53927.2005"	""	
"3d3.(2H).4p"	"y 1G*"	"4"	""	"54144.1912"	""	
"3d3.(2D2).4p"	"x 3P*"	"2"	""	"54715.687"	""	
"3d3.(2D2).4p"	"x 3P*"	"1"	""	"54717.923"	""	
"3d3.(2D2).4p"	"x 3P*"	"0"	""	"54813.486"	""	
"3d3.(2D2).4p"	"y 1F*"	"3"	""	"55142.0747"	""	
"3d3.(2H).4p"	"x 3G*"	"5"	""	"55206.8615"	""	
"3d3.(2H).4p"	"x 3G*"	"4"	""	"55304.3869"	""	
"3d3.(2H).4p"	"x 3G*"	"3"	""	"55349.707"	""	
"3d3.(2H).4p"	"z 1I*"	"6"	""	"55403.4184"	""	
"3d3.(2H).4p"	"y 1H*"	"5"	""	"55499.3690"	""	
"3d3.(4P).4p"	"y 3S*"	"1"	""	"55663.385"	""	
"3d3.(2P).4p"	"y 1P*"	"1"	""	"56171.509"	""	
"3d3.(2D2).4p"	"y 1D*"	"2"	""	"57342.637"	""	
"3d3.(2F).4p"	"w 3F*"	"2"	""	"62085.063"	""	
"3d3.(2F).4p"	"w 3F*"	"3"	""	"62133.354"	""	
"3d3.(2F).4p"	"w 3F*"	"4"	""	"62176.232"	""	
"3d2.(3F).4s.4p.(3P*)"	"5G*"	"2"	""	"62285.957"	""	
"3d2.(3F).4s.4p.(3P*)"	"5G*"	"3"	""	"62444.366"	""	
"3d2.(3F).4s.4p.(3P*)"	"5G*"	"4"	""	"62682.213"	""	
"3d2.(3F).4s.4p.(3P*)"	"5G*"	"5"	""	"62987.803"	""	
