Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4p6.4d8"	"3F"	"4"	""	"0"	""	
"4p6.4d8"	"3F"	"2"	""	"13140."	""	
"4p6.4d8"	"3F"	"3"	""	"15205."	""	
"4p6.4d8"	"3P"	"2"	""	"26670."	""	
"4p6.4d8"	"3P"	"0"	""	"32210."	""	
"4p6.4d8"	"3P"	"1"	""	"34610."	""	
"4p6.4d8"	"1G"	"4"	""	"40835."	""	
"4p6.4d8"	"1D"	"2"	""	"42900."	""	
"4p6.4d8"	"1S"	"0"	""	"88130."	""	
"4p5.4d9"	"679572*"	"3"	""	"679572"	"?"	
"4p5.4d9"	"681023*"	"2"	""	"681023"	"?"	
"4p5.4d9"	"687020*"	"4"	""	"687020"	"?"	
"4p6.4d7.5p"	"695376*"	"4"	""	"695376"	"?"	
"4p6.4d7.5p"	"709285*"	"3"	""	"709285"	"?"	
"4p6.4d7.5p"	"712223*"	"4"	""	"712223"	""	
"4p6.4d7.5p"	"714855*"	"3"	""	"714855"	""	
"4p6.4d7.5p"	"715730*"	"2"	""	"715730"	""	
"4p5.4d9"	"717330*"	"3"	""	"717330"	"?"	
"4p6.4d7.5p"	"721001*"	"2"	""	"721001"	"?"	
"4p6.4d7.5p"	"722439*"	"5"	""	"722439"	""	
"4p6.4d7.5p"	"725053*"	"4"	""	"725053"	""	
"4p6.4d7.5p"	"725825*"	"3"	""	"725825"	""	
"4p6.4d7.4f"	"730235*"	"4"	""	"730235"	"?"	
"4p6.4d7.5p"	"730345*"	"5"	""	"730345"	""	
"4p6.4d7.5p"	"731458*"	"4"	""	"731458"	""	
"4p6.4d7.5p"	"733755*"	"3"	""	"733755"	""	
"4p6.4d7.4f"	"735246*"	"4"	""	"735246"	""	
"4p6.4d7.4f"	"736077*"	"5"	""	"736077"	"?"	
"4p6.4d7.5p"	"737388*"	"4"	""	"737388"	""	
"4p6.4d7.5p"	"738248*"	"5"	""	"738248"	""	
"4p6.4d7.5p"	"739322*"	"3"	""	"739322"	""	
"4p6.4d7.5p"	"739542*"	"4"	""	"739542"	""	
"4p6.4d7.5p"	"740348*"	"5"	""	"740348"	""	
"4p6.4d7.5p"	"740757*"	"2"	""	"740757"	""	
"4p6.4d7.5p"	"741800*"	"3"	""	"741800"	""	
"4p6.4d7.4f"	"742430*"	"5"	""	"742430"	""	
"4p6.4d7.5p"	"742594*"	"1"	""	"742594"	""	
"4p6.4d7.5p"	"744537*"	"4"	""	"744537"	""	
"4p6.4d7.5p"	"744955*"	"3"	""	"744955"	""	
"4p6.4d7.5p"	"745470*"	"1"	""	"745470"	""	
"4p6.4d7.4f"	"745762*"	"3"	""	"745762"	""	
"4p6.4d7.5p"	"746445*"	"3"	""	"746445"	""	
"4p6.4d7.5p"	"746552*"	"2"	""	"746552"	""	
"4p6.4d7.4f"	"748644*"	"1"	""	"748644"	"?"	
"4p6.4d7.5p"	"749351*"	"3"	""	"749351"	""	
"4p6.4d7.5p"	"750512*"	"2"	""	"750512"	""	
"4p6.4d7.5p"	"752054*"	"3"	""	"752054"	""	
"4p6.4d7.5p"	"752155*"	"1"	""	"752155"	""	
"4p6.4d7.5p"	"752285*"	"4"	""	"752285"	""	
"4p6.4d7.5p"	"753352*"	"5"	""	"753352"	""	
"4p6.4d7.5p"	"753795*"	"2"	""	"753795"	""	
"4p6.4d7.5p"	"754745*"	"1"	""	"754745"	""	
"4p6.4d7.5p"	"754860*"	"3"	""	"754860"	""	
"4p6.4d7.5p"	"755831*"	"4"	""	"755831"	""	
"4p6.4d7.5p"	"756016*"	"4"	""	"756016"	""	
"4p6.4d7.5p"	"756170*"	"2"	""	"756170"	""	
"4p6.4d7.5p"	"758337*"	"1"	""	"758337"	""	
"4p6.4d7.5p"	"759110*"	"3"	""	"759110"	""	
"4p6.4d7.5p"	"759260*"	"5"	""	"759260"	""	
"4p6.4d7.5p"	"760950*"	"1"	""	"760950"	""	
"4p6.4d7.5p"	"761266*"	"3"	""	"761266"	""	
"4p6.4d7.5p"	"762105*"	"2"	""	"762105"	""	
"4p6.4d7.5p"	"763070*"	"4"	""	"763070"	""	
"4p6.4d7.5p"	"765052*"	"2"	""	"765052"	""	
"4p6.4d7.5p"	"765770*"	"1"	""	"765770"	""	
"4p6.4d7.5p"	"766625*"	"2"	""	"766625"	""	
"4p6.4d7.5p"	"766860*"	"3"	""	"766860"	""	
"4p6.4d7.5p"	"766947*"	"5"	""	"766947"	""	
"4p6.4d7.5p"	"767369*"	"1"	""	"767369"	""	
"4p6.4d7.5p"	"767700*"	"5"	""	"767700"	""	
"4p6.4d7.5p"	"768773*"	"3"	""	"768773"	""	
"4p6.4d7.4f"	"769217*"	"2"	""	"769217"	""	
"4p6.4d7.4f"	"772875*"	"4"	""	"772875"	""	
"4p6.4d7.5p"	"773315*"	"2"	""	"773315"	""	
"4p6.4d7.4f"	"773363*"	"4"	""	"773363"	""	
"4p6.4d7.4f"	"773519*"	"5"	""	"773519"	""	
"4p6.4d7.5p"	"773715*"	"3"	""	"773715"	""	
"4p6.4d7.5p"	"773968*"	"4"	""	"773968"	""	
"4p6.4d7.5p"	"773968*"	"5"	""	"773968"	""	
"4p6.4d7.5p"	"775030*"	"1"	""	"775030"	""	
"4p6.4d7.5p"	"775570*"	"3"	""	"775570"	""	
"4p6.4d7.5p"	"775775*"	"4"	""	"775775"	""	
"4p6.4d7.4f"	"776253*"	"3"	""	"776253"	""	
"4p6.4d7.4f"	"776787*"	"4"	""	"776787"	""	
"4p6.4d7.5p"	"778350*"	"1"	""	"778350"	""	
"4p6.4d7.5p"	"780503*"	"3"	""	"780503"	""	
"4p6.4d7.4f"	"780805*"	"2"	""	"780805"	""	
"4p6.4d7.5p"	"781822*"	"2"	""	"781822"	""	
"4p6.4d7.5p"	"784035*"	"1"	""	"784035"	""	
"4p6.4d7.4f"	"784826*"	"3"	""	"784826"	""	
"4p6.4d7.5p"	"786580*"	"2"	""	"786580"	""	
"4p6.4d7.4f"	"787403*"	"1"	""	"787403"	""	
"4p6.4d7.5p"	"788145*"	"2"	""	"788145"	""	
"4p6.4d7.5p"	"788396*"	"1"	""	"788396"	""	
"4p6.4d7.5p"	"788465*"	"3"	""	"788465"	""	
"4p6.4d7.5p"	"789029*"	"5"	""	"789029"	""	
"4p6.4d7.4f"	"791395*"	"3"	""	"791395"	""	
"4p6.4d7.5p"	"791805*"	"1"	""	"791805"	""	
"4p6.4d7.5p"	"792311*"	"0"	""	"792311"	""	
"4p6.4d7.4f"	"794365*"	"2"	""	"794365"	""	
"4p6.4d7.5p"	"795135*"	"3"	""	"795135"	""	
"4p6.4d7.5p"	"795995*"	"2"	""	"795995"	""	
"4p6.4d7.5p"	"801225*"	"3"	""	"801225"	""	
"4p6.4d7.5p"	"802905*"	"2"	""	"802905"	""	
"4p6.4d7.5p"	"808130*"	"1"	""	"808130"	""	
"4p6.4d7.5p"	"824474*"	"3"	""	"824474"	""	
"4p6.4d7.5p"	"828875*"	"2"	""	"828875"	""	
"4p6.4d7.5p"	"830260*"	"1"	""	"830260"	""	
"4p6.4d7.5p"	"838289*"	"3"	""	"838289"	""	
"4p6.4d7.4f"	"892420*"	"4"	""	"892420"	""	
"4p6.4d7.4f"	"894941*"	"3"	""	"894941"	""	
"4p6.4d7.4f"	"897383*"	"5"	""	"897383"	""	
"4p6.4d7.4f"	"902577*"	"1"	""	"902577"	""	
"4p6.4d7.4f"	"907711*"	"2"	""	"907711"	""	
"4p6.4d7.4f"	"908390*"	"3"	""	"908390"	""	
"4p6.4d7.4f"	"911082*"	"4"	""	"911082"	""	
"4p6.4d7.4f"	"911665*"	"2"	""	"911665"	""	
"4p6.4d7.4f"	"912600*"	"3"	""	"912600"	""	
"4p6.4d7.4f"	"913877*"	"1"	""	"913877"	""	
"4p6.4d7.4f"	"922295*"	"3"	""	"922295"	""	
"4p6.4d7.4f"	"924500*"	"2"	""	"924500"	""	
"4p6.4d7.4f"	"925010*"	"1"	""	"925010"	""	
"4p6.4d7.4f"	"925626*"	"4"	""	"925626"	""	
