Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4s2.4p6"	"1S"	"0"	""	"0.0"	""	
"4s2.4p5.4d"	"3P*"	"0"	""	"209651.1"	""	
"4s2.4p5.4d"	"3P*"	"1"	""	"211370.1"	""	
"4s2.4p5.4d"	"3P*"	"2"	""	"214839.0"	""	
"4s2.4p5.4d"	"3F*"	"4"	""	"217958.1"	""	
"4s2.4p5.4d"	"3F*"	"3"	""	"220226.6"	""	
"4s2.4p5.4d"	"3F*"	"2"	""	"223255.83"	""	
"4s2.4p5.4d"	"3D*"	"3"	""	"230433.8"	""	
"4s2.4p5.4d"	"3D*"	"1"	""	"235279.41"	""	
"4s2.4p5.4d"	"3D*"	"2"	""	"237407.06"	""	
"4s2.4p5.4d"	"1D*"	"2"	""	"234173.67"	""	
"4s2.4p5.4d"	"1F*"	"3"	""	"239283.94"	""	
"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	""	"256209.51"	""	
"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	""	"258516.28"	""	
"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	""	"268400.20"	""	
"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	""	"269963.30"	""	
"4s2.4p5.4d"	"1P*"	"1"	""	"281010.52"	""	
"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	""	"294302.89"	""	
"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	""	"308034.72"	""	
"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	""	"298651.07"	""	
"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	""	"299748.02"	""	
"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	""	"301671.98"	""	
"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	""	"303242.55"	""	
"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	""	"310721.72"	""	
"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	""	"313585.95"	""	
