Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4s2.4p5"	"2P*"	"3/2"	""	"0.0"	""	
"4s2.4p5"	"2P*"	"1/2"	""	"12460.1"	""	
"4s.4p6"	"2S"	"1/2"	""	"170945.6"	""	
"4s2.4p4.(3P).4d"	"4D"	"5/2"	""	"218417.1"	""	
"4s2.4p4.(3P).4d"	"4D"	"7/2"	""	"218556.8"	""	
"4s2.4p4.(3P).4d"	"4D"	"3/2"	""	"219373.8"	""	
"4s2.4p4.(3P).4d"	"4D"	"1/2"	""	"220794.7"	""	
"4s2.4p4.(3P).4d"	"4F"	"9/2"	""	"229786.6"	""	
"4s2.4p4.(3P).4d"	"4F"	"7/2"	""	"233703.8"	""	
"4s2.4p4.(3P).4d"	"4F"	"5/2"	""	"237677.7"	""	
"4s2.4p4.(3P).4d"	"4F"	"3/2"	""	"238215.1"	""	
"4s2.4p4.(1D).4d"	"2P"	"1/2"	""	"233712.4"	""	
"4s2.4p4.(1D).4d"	"2P"	"3/2"	""	"244613.2"	""	
"4s2.4p4.(3P).4d"	"4P"	"1/2"	""	"238898.3"	""	
"4s2.4p4.(3P).4d"	"4P"	"3/2"	""	"239132.8"	""	
"4s2.4p4.(3P).4d"	"4P"	"5/2"	""	"244311.6"	""	
"4s2.4p4.(1D).4d"	"2D"	"3/2"	""	"240949.3"	""	
"4s2.4p4.(1D).4d"	"2D"	"5/2"	""	"247861.2"	""	
"4s2.4p4.(3P).4d"	"2F"	"7/2"	""	"242336.3"	""	
"4s2.4p4.(3P).4d"	"2F"	"5/2"	""	"251403.9"	""	
"4s2.4p4.(1D).4d"	"2G"	"7/2"	""	"250882.7"	""	
"4s2.4p4.(1D).4d"	"2G"	"9/2"	""	"251052.4"	""	
"4s2.4p4.(1D).4d"	"2F"	"5/2"	""	"263184.0"	""	
"4s2.4p4.(1D).4d"	"2F"	"7/2"	""	"266196.8"	""	
"4s2.4p4.(1S).4d"	"2D"	"3/2"	""	"281244.5"	""	
"4s2.4p4.(1S).4d"	"2D"	"5/2"	""	"286001.7"	""	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	""	"294102.42"	""	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"3/2"	""	"298378.79"	""	
"4s2.4p4.(1D).4d"	"2S"	"1/2"	""	"294965.68"	""	
"4s2.4p4.(3P).4d"	"2P"	"3/2"	""	"297071.14"	""	
"4s2.4p4.(3P).4d"	"2P"	"1/2"	""	"302664.42"	""	
"4s2.4p4.(3P).4d"	"2D"	"5/2"	""	"300224.19"	""	
"4s2.4p4.(3P).4d"	"2D"	"3/2"	""	"312044.02"	""	
"4s2.4p4.(3P<0>).5s"	"2[0]"	"1/2"	""	"304564.94"	""	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"3/2"	""	"306215.37"	""	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	""	"310857.80"	""	
"4s2.4p4.(1D<2>).5s"	"2[2]"	"5/2"	""	"319132.57"	""	
"4s2.4p4.(1D<2>).5s"	"2[2]"	"3/2"	""	"319603.81"	""	
"4s2.4p4.(3P<2>).5p"	"2[1]*"	"3/2"	""	"341856.85"	""	
"4s2.4p4.(3P<2>).5p"	"2[1]*"	"1/2"	""	"345442.71"	""	
"4s2.4p4.(3P<2>).5p"	"2[2]*"	"5/2"	""	"342193.59"	""	
"4s2.4p4.(3P<2>).5p"	"2[2]*"	"3/2"	""	"352980.10"	""	
"4s2.4p4.(1S<0>).5s"	"2[0]"	"1/2"	""	"345802.3"	""	
"4s2.4p4.(3P<2>).5p"	"2[3]*"	"5/2"	""	"346658.00"	""	
"4s2.4p4.(3P<2>).5p"	"2[3]*"	"7/2"	""	"346841.13"	""	
"4s2.4p4.(3P<1>).5p"	"2[0]*"	"1/2"	""	"352605.14"	""	
"4s2.4p4.(3P<0>).5p"	"2[1]*"	"1/2"	""	"354751.98"	""	
"4s2.4p4.(3P<0>).5p"	"2[1]*"	"3/2"	""	"359326.26"	""	
"4s2.4p4.(3P<1>).5p"	"2[2]*"	"3/2"	""	"355073.09"	""	
"4s2.4p4.(3P<1>).5p"	"2[2]*"	"5/2"	""	"357042.76"	""	
"4s2.4p4.(3P<1>).5p"	"2[1]*"	"1/2"	""	"360635.14"	""	
"4s2.4p4.(3P<1>).5p"	"2[1]*"	"3/2"	""	"360853.08"	""	
"4s2.4p4.(1D<2>).5p"	"2[3]*"	"5/2"	""	"366490.78"	""	
"4s2.4p4.(1D<2>).5p"	"2[3]*"	"7/2"	""	"368917.16"	""	
