Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d10.4s2"	"1S"	"0"	""	"0.0000"	""	
"3d10.4s.4p"	"3P*"	"0"	""	"32311.3176"	""	
"3d10.4s.4p"	"3P*"	"1"	""	"32501.3990"	""	
"3d10.4s.4p"	"3P*"	"2"	""	"32890.3267"	""	
"3d10.4s.4p"	"1P*"	"1"	""	"46745.4032"	""	
"3d10.4s.5s"	"3S"	"1"	""	"53672.2398"	""	
"3d10.4s.5s"	"1S"	"0"	""	"55789.216"	""	
"3d10.4s.5p"	"3P*"	"0"	""	"61247.866"	""	
"3d10.4s.5p"	"3P*"	"1"	""	"61274.419"	""	
"3d10.4s.5p"	"3P*"	"2"	""	"61330.845"	""	
"3d10.4s.4d"	"1D"	"2"	""	"62458.5323"	""	
"3d10.4s.4d"	"3D"	"1"	""	"62768.7462"	""	
"3d10.4s.4d"	"3D"	"2"	""	"62772.0144"	""	
"3d10.4s.4d"	"3D"	"3"	""	"62776.9809"	""	
"3d10.4s.5p"	"1P*"	"1"	""	"62910.436"	""	
"3d10.4s.6s"	"3S"	"1"	""	"65432.2887"	""	
"3d10.4s.6s"	"1S"	"0"	""	"66037.6663"	""	
"3d10.4s.6p"	"3P*"	"0"	""	"68070.882"	""	
"3d10.4s.6p"	"3P*"	"1"	""	"68080.708"	""	
"3d10.4s.6p"	"3P*"	"2"	""	"68101.825"	""	
"3d10.4s.5d"	"1D"	"2"	""	"68338.5233"	""	
"3d10.4s.5d"	"3D"	"1"	""	"68579.1399"	""	
"3d10.4s.5d"	"3D"	"2"	""	"68580.7053"	""	
"3d10.4s.5d"	"3D"	"3"	""	"68583.0827"	""	
"3d10.4s.6p"	"1P*"	"1"	""	"68607.231"	""	
"3d10.4s.4f"	"3F*"	"2"	""	"68833.807"	""	
"3d10.4s.4f"	"3F*"	"3"	""	"68833.858"	""	
"3d10.4s.4f"	"3F*"	"4"	""	"68834.017"	""	
"3d10.4s.4f"	"1F*"	"3"	""	"68834.228"	""	
"3d10.4s.7s"	"3S"	"1"	""	"69745.9590"	""	
"3d10.4s.7s"	"1S"	"0"	""	"70003.737"	""	
"3d10.4s.7p"	"3P*"	"0"	""	"70977.365"	""	
"3d10.4s.7p"	"3P*"	"1"	""	"70982.101"	""	
"3d10.4s.7p"	"3P*"	"2"	""	"70992.304"	""	
"3d10.4s.6d"	"1D"	"2"	""	"71051.040"	""	
"3d10.4s.6d"	"3D"	"1"	""	"71212.1380"	""	
"3d10.4s.6d"	"3D"	"2"	""	"71212.9743"	""	
"3d10.4s.6d"	"3D"	"3"	""	"71214.2430"	""	
"3d10.4s.7p"	"1P*"	"1"	""	"71218.994"	""	
"3d10.4s.5f"	"3F*"	"2"	""	"71335.845"	""	
"3d10.4s.5f"	"3F*"	"3"	""	"71335.863"	""	
"3d10.4s.5f"	"3F*"	"4"	""	"71335.981"	""	
"3d10.4s.5f"	"1F*"	"3"	""	"71336.126"	""	
"3d10.4s.5g"	"1G"	"4"	""	"71369.240"	""	
"3d10.4s.5g"	"3G"	"3"	""	"71369.240"	""	
"3d10.4s.5g"	"3G"	"4"	""	"71369.240"	""	
"3d10.4s.5g"	"3G"	"5"	""	"71369.240"	""	
"3d10.4s.8s"	"3S"	"1"	""	"71823.3"	""	
"3d10.4s.8s"	"1S"	"0"	""	"71956.23"	""	
"3d10.4s.8p"	"3P*"	"0"	""	"72495.80"	""	
"3d10.4s.8p"	"3P*"	"1"	""	"72498.78"	""	
"3d10.4s.8p"	"3P*"	"2"	""	"72504.16"	""	
"3d10.4s.7d"	"1D"	"2"	""	"72517.00"	""	
